分區編號,投票站編號 ,地方選區,選民人數,累積投票率 Aggregate Voter Turnout Rate,,,,,,,,,,,,,,
District Code,Polling Station Code,"Geographical
Constituency",No. of Electors,08:30,09:30,10:30,11:30,12:30,13:30,14:30,15:30,16:30,17:30,18:30,19:30,20:30,21:30,22:30
G,G0501,LC2,"10,048 ",2.01%,3.01%,7.37%,12.05%,15.55%,18.37%,21.35%,24.42%,27.25%,31.18%,34.01%,37.70%,41.29%,45.05%,49.83%
G,G0601,LC2,"5,555 ",0.23%,0.88%,1.46%,2.21%,3.24%,3.94%,4.70%,5.63%,25.67%,28.75%,31.95%,35.81%,39.39%,42.84%,48.93%
G,G0602,LC2,"3,286 ",1.25%,4.35%,8.34%,11.87%,16.46%,19.60%,21.49%,24.16%,28.45%,31.62%,36.28%,39.90%,43.55%,46.87%,51.67%
G,G0701,LC2,"4,406 ",0.54%,2.18%,4.83%,7.65%,11.19%,14.07%,16.02%,18.93%,21.47%,25.19%,28.82%,32.43%,36.20%,40.04%,45.07%
G,G0801,LC2,"5,159 ",0.68%,2.52%,5.06%,7.68%,11.15%,13.53%,16.73%,20.06%,22.93%,26.13%,30.32%,33.81%,37.16%,43.40%,48.36%
G,G0901,LC2,"5,996 ",0.53%,1.70%,3.99%,6.54%,10.47%,14.39%,16.69%,20.98%,24.70%,28.25%,31.60%,35.22%,37.68%,41.59%,46.05%
G,G0902,LC2,907 ,1.10%,3.31%,5.40%,8.27%,12.13%,16.54%,19.18%,22.05%,25.58%,28.11%,30.76%,34.73%,38.81%,43.00%,48.73%
G,G1001,LC2,"6,935 ",1.01%,3.27%,6.66%,9.92%,12.80%,14.88%,17.72%,20.36%,23.04%,26.19%,28.59%,31.84%,34.61%,37.62%,40.78%
G,G1101,LC2,"10,849 ",1.13%,3.47%,6.35%,9.41%,12.31%,14.49%,17.45%,20.63%,23.57%,26.51%,29.61%,32.74%,36.67%,40.11%,44.55%
G,G1201,LC2,"7,614 ",1.60%,4.56%,8.47%,11.52%,14.60%,16.98%,19.45%,21.62%,24.86%,28.49%,32.95%,35.87%,39.55%,44.05%,48.94%
G,G1301,LC2,"5,309 ",1.64%,4.18%,7.82%,11.23%,13.43%,15.94%,18.21%,20.72%,23.32%,26.90%,30.40%,33.47%,36.39%,39.08%,41.61%
G,G1401,LC2,"6,760 ",0.01%,0.75%,3.20%,8.96%,11.20%,13.42%,15.65%,18.68%,21.45%,25.00%,28.27%,31.76%,34.62%,38.36%,42.00%
G,G1501,LC2,"3,924 ",0.48%,1.17%,1.83%,2.75%,3.57%,4.49%,5.38%,6.70%,28.41%,32.67%,36.85%,40.57%,45.16%,50.31%,56.75%
G,G1601,LC2,"6,781 ",1.17%,3.45%,6.46%,9.88%,13.76%,17.43%,22.03%,26.69%,31.06%,34.80%,38.64%,42.75%,46.88%,53.18%,59.37%
G,G1701,LC2,"7,507 ",0.79%,2.68%,5.25%,8.74%,12.77%,16.01%,20.31%,23.74%,28.40%,32.28%,35.93%,39.66%,43.69%,48.06%,54.38%
G,G1801,LC2,"9,253 ",0.78%,3.13%,6.50%,10.61%,14.14%,16.99%,20.06%,23.10%,26.55%,30.17%,33.41%,36.66%,40.11%,42.49%,47.28%
G,G1901,LC2,"5,653 ",1.36%,3.29%,6.30%,9.20%,12.70%,15.62%,17.35%,20.34%,23.30%,25.95%,29.38%,32.69%,36.09%,39.24%,43.46%
G,G2001,LC2,"6,518 ",1.43%,4.46%,8.44%,12.29%,15.88%,18.63%,22.32%,25.19%,28.95%,32.65%,36.54%,40.26%,43.69%,46.73%,51.23%
G,G2101,LC2,"7,446 ",2.50%,4.38%,7.55%,10.82%,13.30%,15.22%,17.24%,19.82%,22.78%,26.60%,30.35%,33.56%,36.60%,41.23%,45.97%
G,G2201,LC2,"10,702 ",1.24%,3.74%,6.55%,9.63%,14.02%,16.92%,20.06%,22.53%,26.12%,29.92%,33.93%,37.66%,41.63%,46.22%,52.12%
H,H0101,LC3,"12,100 ",0.95%,2.85%,5.44%,8.47%,10.97%,13.28%,15.76%,18.61%,21.22%,24.37%,27.26%,30.26%,32.88%,36.02%,38.81%
H,H0201,LC3,"10,973 ",0.88%,3.18%,5.50%,8.38%,11.33%,13.30%,15.47%,15.47%,18.09%,23.94%,26.75%,29.81%,32.33%,35.67%,39.80%
H,H0301,LC3,"6,466 ",0.80%,2.74%,6.22%,9.57%,12.03%,14.41%,16.64%,18.91%,21.79%,24.81%,27.39%,29.32%,31.69%,34.72%,37.83%
H,H0401,LC3,"6,046 ",1.11%,2.93%,4.93%,7.31%,12.24%,13.15%,17.70%,18.16%,22.18%,23.24%,26.17%,31.18%,32.45%,37.12%,40.90%
H,H0501,LC3,"13,575 ",0.01%,0.15%,0.30%,0.39%,0.50%,0.64%,3.81%,20.38%,23.59%,26.73%,30.09%,32.77%,35.81%,39.05%,43.06%
H,H0601,LC3,"8,510 ",0.55%,2.31%,4.79%,8.91%,12.09%,15.06%,18.23%,21.19%,24.08%,26.97%,30.04%,33.13%,37.10%,40.55%,44.50%
H,H0701,LC3,"4,924 ",1.44%,3.31%,6.66%,10.32%,13.75%,15.98%,18.89%,21.24%,24.27%,26.91%,29.89%,32.86%,36.03%,38.85%,42.22%
H,H0702,LC3,"5,088 ",1.06%,2.79%,5.01%,8.06%,10.65%,13.56%,16.53%,18.87%,22.88%,26.16%,29.28%,33.04%,36.83%,40.27%,45.11%
H,H0801,LC3,"8,846 ",1.36%,3.83%,7.25%,10.34%,12.34%,14.36%,16.96%,19.27%,22.10%,25.14%,28.79%,31.10%,33.81%,36.56%,39.05%
H,H0901,LC3,"4,645 ",1.85%,4.97%,7.10%,10.10%,12.85%,14.90%,16.94%,19.42%,21.49%,24.63%,27.60%,30.14%,32.83%,36.43%,39.25%
H,H1001,LC3,"12,930 ",1.27%,3.55%,6.06%,9.45%,12.20%,13.99%,16.30%,18.35%,21.39%,24.15%,27.57%,30.43%,33.16%,36.27%,39.71%
H,H1201,LC3,"5,717 ",1.71%,4.62%,7.21%,10.88%,14.05%,17.47%,21.08%,23.96%,27.62%,30.86%,34.04%,37.54%,40.51%,44.45%,48.40%
H,H1202,LC3,"12,134 ",1.51%,4.29%,7.27%,10.73%,13.54%,16.90%,19.59%,21.98%,24.77%,28.23%,31.56%,34.84%,37.67%,41.40%,46.57%
H,H1301,LC3,"5,060 ",1.13%,3.34%,6.28%,9.98%,13.24%,15.95%,18.91%,21.44%,24.01%,27.06%,29.86%,32.55%,35.67%,38.68%,42.43%
H,H1302,LC3,"7,081 ",1.09%,3.40%,5.63%,8.85%,11.59%,14.09%,16.69%,19.19%,21.59%,23.84%,26.87%,30.39%,33.16%,36.79%,40.79%
H,H1401,LC3,"5,303 ",1.70%,4.19%,7.35%,10.65%,13.48%,15.84%,17.78%,20.06%,22.69%,25.87%,29.02%,31.60%,34.11%,36.06%,38.86%
H,H1402,LC3,"4,297 ",0.95%,2.79%,5.03%,7.14%,9.70%,11.85%,13.85%,16.22%,19.73%,22.29%,25.27%,28.42%,31.79%,35.84%,40.21%
H,H1501,LC3,"11,598 ",1.02%,3.12%,5.85%,9.17%,11.86%,14.45%,16.66%,19.37%,22.73%,26.12%,29.42%,32.28%,35.30%,38.48%,42.52%
H,H1601,LC3,"10,978 ",0.00%,0.04%,0.08%,0.14%,0.19%,0.25%,15.71%,18.08%,20.54%,23.16%,26.20%,29.09%,32.43%,36.10%,40.16%
H,H1701,LC3,"9,753 ",0.06%,0.15%,0.29%,0.41%,0.57%,0.68%,19.25%,21.76%,25.02%,28.49%,31.77%,35.10%,38.17%,42.69%,47.56%
H,H1801,LC3,"9,460 ",0.01%,0.07%,0.12%,0.17%,0.18%,0.19%,19.71%,22.30%,25.69%,28.66%,32.35%,35.78%,39.01%,43.27%,47.16%
H,H1901,LC3,"10,164 ",0.06%,0.10%,0.24%,0.30%,0.39%,0.48%,18.08%,20.89%,23.60%,27.28%,30.92%,34.37%,37.85%,42.13%,45.86%
H,H2001,LC3,"12,321 ",1.71%,4.79%,9.20%,12.61%,16.31%,19.91%,23.26%,26.18%,29.11%,31.85%,35.20%,38.10%,41.70%,45.38%,50.90%
H,H2101,LC3,"7,423 ",0.96%,3.42%,6.24%,9.17%,12.42%,14.43%,17.28%,19.84%,22.38%,22.38%,27.44%,30.57%,33.61%,37.11%,40.64%
H,H2201,LC3,"7,784 ",0.86%,2.71%,5.28%,8.31%,10.88%,12.98%,15.58%,17.59%,20.22%,23.21%,25.60%,28.12%,30.96%,34.12%,36.83%
H,H2301,LC3,"7,116 ",1.26%,3.37%,5.94%,8.98%,11.42%,13.60%,16.01%,18.75%,21.22%,24.44%,27.60%,30.62%,33.33%,37.18%,41.54%
H,H2401,LC3,"4,954 ",1.51%,3.73%,7.04%,10.36%,14.17%,17.12%,20.02%,23.84%,26.91%,29.94%,33.33%,38.11%,41.48%,45.20%,51.07%
H,H2402,LC3,"4,104 ",1.61%,4.24%,7.50%,10.60%,14.23%,16.69%,18.98%,21.15%,24.12%,27.00%,30.36%,33.24%,36.53%,39.25%,42.15%
H,H2501,LC3,"7,714 ",0.83%,3.34%,6.16%,9.70%,12.82%,15.09%,18.25%,20.64%,23.77%,26.52%,29.88%,32.99%,36.45%,39.62%,43.38%
J,J0101,LC3,"1,819 ",1.10%,2.69%,6.32%,9.79%,11.87%,14.73%,16.93%,18.64%,21.11%,24.02%,27.16%,31.28%,34.96%,38.81%,42.66%
J,J0102,LC3,"3,206 ",1.22%,3.56%,6.11%,9.51%,12.16%,16.00%,18.18%,20.59%,24.70%,27.73%,30.91%,33.69%,36.68%,39.68%,42.48%
J,J0201,LC3,"6,227 ",1.03%,3.23%,6.13%,10.17%,13.57%,16.75%,20.75%,24.38%,28.12%,31.65%,34.85%,38.20%,41.45%,46.12%,50.47%
J,J0301,LC3,"7,559 ",1.79%,5.89%,10.80%,14.82%,17.70%,20.62%,23.52%,26.25%,29.26%,32.54%,36.01%,39.44%,42.64%,45.98%,48.18%
J,J0401,LC3,"9,687 ",0.89%,3.37%,7.03%,9.95%,13.03%,15.80%,18.36%,21.23%,24.80%,28.15%,31.67%,34.72%,38.37%,43.25%,49.10%
J,J0501,LC3,"8,825 ",1.51%,6.38%,10.44%,14.28%,17.81%,21.03%,23.89%,26.41%,29.75%,32.44%,36.48%,39.66%,43.14%,46.57%,49.95%
J,J0601,LC3,"2,347 ",1.45%,3.66%,4.90%,9.46%,12.14%,15.13%,19.05%,22.07%,24.67%,27.87%,30.72%,33.87%,37.79%,40.56%,45.76%
J,J0602,LC3,"4,468 ",0.00%,4.30%,7.05%,10.74%,12.98%,15.73%,18.33%,20.37%,23.66%,26.25%,29.21%,31.98%,34.94%,37.96%,41.85%
J,J0603,LC3,"2,374 ",0.88%,2.99%,6.36%,10.61%,14.07%,17.27%,19.67%,22.83%,25.95%,29.19%,32.48%,34.96%,38.29%,41.91%,44.95%
J,J0701,LC3,"13,051 ",1.03%,4.33%,8.60%,11.60%,14.15%,15.97%,18.12%,20.37%,22.90%,25.75%,28.86%,31.71%,35.05%,38.73%,42.04%
J,J0801,LC3,"8,080 ",1.00%,3.84%,6.39%,9.80%,13.23%,15.83%,18.56%,21.31%,24.57%,27.86%,30.43%,33.17%,36.58%,39.39%,44.46%
J,J0802,LC3,"4,764 ",0.92%,2.04%,4.51%,6.93%,9.61%,11.84%,14.57%,16.71%,19.63%,22.69%,25.27%,28.00%,31.93%,35.35%,39.80%
J,J0901,LC3,"4,512 ",0.64%,2.68%,5.36%,8.89%,11.37%,13.50%,16.00%,18.13%,21.01%,23.96%,26.77%,30.03%,32.82%,35.90%,40.16%
J,J1001,LC3,"10,834 ",0.94%,4.32%,7.86%,12.05%,15.48%,18.72%,21.62%,24.30%,27.63%,30.95%,34.84%,38.21%,41.82%,45.92%,52.40%
J,J1101,LC3,"10,204 ",1.75%,5.93%,10.11%,12.88%,15.62%,18.12%,20.75%,23.16%,26.31%,29.43%,32.93%,35.75%,38.92%,41.91%,45.46%
J,J1201,LC3,"6,302 ",1.33%,4.47%,7.82%,11.63%,15.04%,18.45%,21.56%,24.44%,27.37%,30.85%,34.02%,38.05%,41.91%,45.45%,50.49%
J,J1202,LC3,"4,969 ",1.35%,3.76%,6.00%,10.28%,13.16%,17.33%,20.12%,23.02%,26.36%,29.74%,33.55%,36.65%,40.47%,45.18%,50.77%
J,J1301,LC3,"9,765 ",1.56%,4.30%,7.80%,11.21%,13.44%,16.48%,18.79%,21.08%,23.72%,26.91%,29.78%,32.02%,36.02%,39.42%,42.80%
J,J1401,LC3,"11,182 ",0.93%,3.51%,6.67%,9.73%,12.27%,14.29%,16.66%,18.81%,21.47%,24.24%,27.46%,30.69%,33.21%,36.17%,39.69%
J,J1501,LC3,"7,257 ",1.32%,3.76%,7.04%,10.14%,13.15%,16.15%,19.57%,22.38%,25.78%,29.81%,32.70%,35.66%,38.34%,41.52%,45.76%
J,J1601,LC3,"8,522 ",1.69%,4.69%,8.27%,11.16%,13.56%,16.29%,18.96%,20.49%,24.92%,27.90%,30.27%,32.99%,35.66%,38.78%,41.86%
J,J1602,LC3,"4,650 ",1.31%,4.02%,7.42%,10.99%,14.09%,16.62%,19.31%,21.76%,25.18%,28.65%,31.76%,34.90%,37.70%,41.51%,45.46%
J,J1701,LC3,"10,591 ",1.47%,4.05%,7.47%,10.43%,13.06%,15.51%,17.66%,20.32%,23.16%,26.56%,29.16%,32.08%,34.48%,37.58%,41.90%
J,J1801,LC3,"8,612 ",0.53%,2.50%,5.19%,7.78%,10.18%,13.90%,16.76%,19.80%,23.15%,26.16%,29.51%,32.62%,35.60%,39.22%,45.29%
J,J1901,LC3,"5,935 ",0.05%,0.15%,0.25%,0.40%,0.49%,0.64%,0.81%,1.01%,24.18%,27.16%,30.45%,33.45%,36.65%,41.62%,46.35%
J,J1902,LC3,"5,095 ",1.69%,4.83%,8.36%,12.46%,15.84%,17.92%,20.67%,23.24%,26.14%,29.38%,32.42%,36.68%,40.39%,44.32%,48.07%
J,J2001,LC3,"4,223 ",0.90%,2.72%,4.95%,7.03%,9.26%,11.39%,13.33%,15.42%,18.04%,20.72%,24.98%,28.82%,33.55%,37.22%,42.24%
J,J2101,LC3,"8,465 ",1.04%,3.18%,6.43%,9.84%,12.92%,15.25%,17.99%,20.85%,24.09%,27.41%,30.63%,34.03%,36.83%,41.17%,45.12%
J,J2102,LC3,858 ,1.98%,5.13%,8.39%,12.59%,15.85%,18.53%,22.49%,23.89%,26.81%,29.49%,32.28%,34.62%,36.83%,38.34%,41.96%
J,J2201,LC3,"10,889 ",0.89%,2.73%,5.51%,9.54%,13.78%,17.23%,21.26%,25.56%,29.47%,32.90%,35.87%,40.49%,44.58%,49.52%,56.71%
J,J2301,LC3,"7,560 ",0.63%,2.31%,5.33%,9.27%,12.96%,16.30%,19.91%,24.31%,28.07%,31.93%,35.69%,38.73%,42.74%,47.80%,53.21%
J,J2401,LC3,"8,725 ",1.16%,4.14%,7.85%,11.67%,14.32%,16.34%,18.74%,21.11%,23.71%,26.60%,29.87%,32.69%,35.94%,38.76%,42.80%
J,J2501,LC3,"6,118 ",1.44%,4.05%,7.22%,10.74%,13.03%,15.58%,17.88%,20.33%,23.36%,25.60%,28.52%,31.27%,34.23%,36.99%,40.41%
J,J2601,LC3,"10,336 ",0.70%,2.78%,5.49%,8.38%,10.89%,13.12%,15.25%,17.38%,19.73%,22.81%,26.31%,29.06%,31.20%,34.54%,38.63%
J,J2701,LC3,"7,358 ",1.73%,4.76%,7.87%,12.08%,15.19%,17.84%,21.02%,23.72%,26.27%,29.44%,32.56%,35.99%,39.01%,42.67%,45.84%
J,J2801,LC3,"8,329 ",1.31%,3.91%,8.24%,11.80%,13.93%,16.63%,18.86%,20.77%,23.39%,26.65%,29.75%,32.69%,35.50%,38.43%,42.50%
J,J2901,LC3,"7,559 ",1.27%,3.77%,6.77%,9.19%,11.56%,13.36%,15.91%,18.96%,21.51%,24.17%,26.82%,29.79%,33.17%,36.96%,41.18%
J,J3001,LC3,"9,316 ",1.56%,4.15%,6.91%,10.03%,12.54%,14.81%,16.92%,18.48%,20.66%,23.42%,26.46%,29.67%,32.94%,36.21%,39.34%
J,J3101,LC3,"3,320 ",1.69%,5.18%,9.19%,13.10%,15.24%,18.22%,20.33%,23.10%,26.45%,29.76%,33.58%,36.69%,39.46%,42.35%,45.45%
J,J3102,LC3,"4,420 ",0.95%,3.21%,7.29%,10.36%,13.08%,15.61%,18.51%,20.86%,23.48%,26.76%,28.60%,31.97%,34.71%,36.88%,39.82%
J,J3201,LC3,"9,172 ",0.85%,2.79%,5.80%,8.36%,11.73%,15.02%,18.10%,21.24%,24.67%,27.44%,31.15%,34.33%,37.17%,40.78%,45.70%
J,J3301,LC3,"8,786 ",1.00%,3.08%,6.15%,9.03%,11.55%,13.94%,16.66%,18.64%,21.89%,24.82%,28.09%,31.05%,33.82%,37.07%,41.18%
J,J3401,LC3,"7,314 ",0.04%,4.31%,7.79%,11.73%,14.22%,16.69%,19.89%,22.55%,25.75%,28.90%,31.93%,34.71%,38.19%,41.54%,44.87%
K,K0101,LC4,"8,464 ",0.54%,2.47%,5.55%,8.77%,11.91%,14.54%,17.13%,19.71%,22.28%,25.34%,28.19%,31.44%,34.50%,37.70%,41.98%
K,K0201,LC4,"4,911 ",1.67%,4.68%,8.74%,12.65%,15.58%,18.90%,21.71%,25.74%,29.71%,33.41%,37.22%,40.03%,43.13%,46.77%,51.25%
K,K0301,LC4,"8,852 ",0.58%,2.36%,4.59%,7.35%,10.53%,14.00%,17.02%,20.41%,23.58%,26.99%,30.17%,34.08%,37.91%,43.30%,51.94%
K,K0401,LC4,"7,651 ",1.33%,3.80%,7.36%,11.04%,14.69%,17.37%,20.26%,22.61%,25.98%,29.50%,31.92%,35.24%,37.69%,41.31%,44.37%
K,K0501,LC4,"7,675 ",1.90%,4.56%,7.61%,11.82%,14.84%,17.56%,20.53%,23.57%,26.46%,29.89%,32.83%,35.61%,38.87%,41.93%,44.94%
K,K0601,LC4,"7,717 ",1.22%,3.41%,6.54%,10.25%,14.11%,18.31%,23.01%,26.77%,30.71%,34.24%,37.45%,41.01%,44.36%,48.94%,54.11%
K,K0701,LC4,"6,267 ",0.97%,3.08%,6.21%,8.71%,10.77%,13.32%,16.08%,18.75%,21.73%,24.96%,27.59%,30.76%,33.86%,37.66%,41.81%
K,K0801,LC4,"7,902 ",0.94%,2.51%,5.10%,8.07%,10.57%,13.44%,16.12%,19.00%,21.82%,24.91%,28.06%,30.99%,35.07%,39.32%,44.33%
K,K0802,LC4,"1,346 ",1.26%,2.97%,5.57%,9.44%,13.00%,16.49%,19.24%,21.47%,24.59%,26.89%,30.61%,33.80%,37.15%,41.23%,45.54%
K,K0901,LC4,"8,952 ",0.28%,2.85%,5.05%,8.42%,11.47%,14.48%,18.31%,21.77%,25.12%,28.70%,31.17%,34.89%,38.36%,42.82%,49.01%
K,K0902,LC4,832 ,0.12%,0.96%,3.37%,6.37%,8.17%,12.02%,14.30%,16.23%,19.95%,22.96%,24.64%,27.28%,31.49%,34.98%,38.70%
K,K1001,LC4,"7,341 ",1.13%,2.75%,6.80%,10.53%,14.02%,17.01%,20.41%,23.74%,27.04%,30.69%,34.85%,37.01%,40.77%,46.03%,52.35%
K,K1101,LC4,"3,968 ",1.41%,3.07%,5.52%,8.44%,12.12%,14.62%,20.34%,23.64%,26.56%,30.04%,33.17%,36.54%,40.45%,46.14%,54.28%
K,K1102,LC4,"3,753 ",0.88%,2.82%,4.82%,7.99%,11.19%,12.95%,15.37%,18.12%,21.13%,23.77%,26.57%,29.68%,32.96%,36.88%,42.98%
K,K1201,LC4,"7,329 ",0.97%,2.46%,4.57%,8.15%,11.19%,14.59%,17.96%,21.18%,24.70%,27.93%,30.85%,33.82%,36.89%,41.42%,47.70%
K,K1202,LC4,833 ,0.96%,4.08%,7.08%,11.40%,14.17%,16.81%,21.37%,24.13%,26.65%,29.41%,32.53%,36.37%,39.02%,41.90%,47.06%
K,K1301,LC4,"7,511 ",1.50%,4.10%,6.46%,9.33%,12.50%,16.27%,20.05%,23.71%,27.32%,31.11%,34.67%,38.20%,41.65%,45.88%,51.92%
K,K1401,LC4,"7,300 ",0.68%,4.88%,8.05%,10.93%,14.10%,16.48%,19.47%,21.86%,25.08%,28.14%,30.73%,33.95%,37.36%,41.19%,45.84%
K,K1402,LC4,"1,109 ",1.35%,3.34%,4.96%,7.39%,11.27%,13.71%,15.33%,18.03%,20.47%,24.53%,27.41%,31.56%,33.99%,38.05%,41.03%
K,K1501,LC4,"7,978 ",1.14%,3.55%,7.14%,10.98%,13.98%,16.58%,19.23%,21.13%,24.15%,27.30%,30.31%,33.74%,36.46%,40.32%,44.84%
K,K1601,LC4,"8,134 ",1.72%,4.66%,9.05%,13.29%,15.99%,18.15%,21.33%,24.03%,27.50%,30.23%,32.91%,35.47%,38.43%,41.68%,44.81%
K,K1701,LC4,"4,238 ",1.42%,4.46%,8.26%,12.34%,15.48%,17.58%,19.56%,21.87%,24.42%,27.04%,30.27%,33.58%,37.07%,40.49%,44.48%
K,K1702,LC4,"3,616 ",1.85%,4.56%,7.99%,10.98%,13.27%,15.54%,18.31%,20.71%,23.45%,26.33%,28.84%,31.78%,34.57%,38.16%,41.68%
L,L0101,LC4,"5,890 ",0.81%,2.00%,4.31%,7.35%,9.88%,12.78%,15.69%,18.00%,20.85%,24.11%,26.33%,29.02%,31.75%,34.84%,39.24%
L,L0102,LC4,"1,547 ",1.23%,2.46%,5.37%,7.63%,9.76%,12.09%,14.35%,16.94%,19.91%,22.88%,25.40%,28.51%,32.06%,34.58%,37.43%
L,L0201,LC4,"7,031 ",0.85%,2.59%,5.75%,9.52%,13.27%,16.01%,18.85%,21.56%,24.46%,27.61%,30.86%,34.15%,37.70%,41.39%,46.47%
L,L0202,LC4,"3,318 ",0.87%,2.95%,6.00%,9.58%,11.90%,13.80%,15.76%,17.75%,20.52%,23.39%,26.52%,29.66%,32.55%,36.44%,40.87%
L,L0301,LC4,"5,456 ",0.75%,2.35%,4.34%,6.73%,9.97%,12.19%,14.57%,16.64%,19.67%,22.87%,25.88%,29.64%,32.24%,36.84%,43.07%
L,L0401,LC4,"7,398 ",1.27%,3.20%,6.10%,8.88%,11.61%,13.96%,16.68%,19.02%,21.87%,24.32%,26.80%,29.90%,32.48%,35.54%,38.65%
L,L0402,LC4,"3,035 ",0.96%,2.80%,4.65%,7.61%,9.82%,12.39%,14.73%,17.40%,21.09%,25.30%,28.40%,31.60%,34.37%,39.60%,44.48%
L,L0501,LC4,"11,790 ",0.82%,2.99%,4.79%,7.40%,9.50%,11.28%,13.84%,16.27%,18.86%,21.06%,24.07%,27.01%,30.13%,33.52%,38.29%
L,L0601,LC4,"2,706 ",0.55%,2.33%,4.51%,6.84%,9.16%,10.98%,12.82%,15.48%,17.48%,19.92%,22.84%,26.61%,28.71%,31.93%,35.88%
L,L0602,LC4,"6,131 ",0.90%,2.63%,4.42%,7.36%,9.64%,11.83%,14.45%,17.19%,19.70%,22.41%,24.76%,28.14%,30.65%,34.68%,40.78%
L,L0701,LC4,"7,786 ",0.71%,2.48%,5.74%,8.68%,11.96%,15.18%,18.19%,20.77%,23.97%,27.33%,30.18%,33.16%,36.55%,40.46%,46.06%
L,L0801,LC4,"7,017 ",0.68%,2.47%,5.03%,7.77%,10.15%,12.83%,15.05%,17.06%,19.70%,22.29%,24.87%,27.40%,30.18%,33.30%,36.78%
L,L0901,LC4,"5,924 ",1.10%,3.75%,6.89%,10.60%,13.61%,16.21%,18.53%,21.71%,24.59%,27.23%,29.90%,33.22%,36.16%,39.30%,42.76%
L,L0902,LC4,"5,806 ",0.02%,0.05%,0.10%,0.12%,0.16%,0.24%,0.33%,0.38%,17.77%,20.32%,22.80%,25.42%,28.14%,30.99%,36.03%
L,L1001,LC4,"9,711 ",1.73%,4.43%,7.41%,10.32%,12.79%,14.75%,17.68%,19.85%,22.78%,25.34%,28.04%,31.10%,33.83%,37.85%,41.36%
L,L1101,LC4,"2,254 ",0.09%,2.84%,4.21%,6.65%,8.03%,10.78%,12.87%,15.17%,18.28%,21.56%,24.53%,28.22%,31.54%,35.18%,39.62%
L,L1102,LC4,"4,105 ",0.63%,2.27%,3.65%,6.80%,8.45%,10.94%,12.94%,15.10%,17.22%,19.03%,21.34%,23.22%,26.36%,29.21%,33.81%
L,L1201,LC4,"5,414 ",0.79%,3.29%,6.08%,9.20%,11.90%,15.39%,18.01%,21.13%,23.86%,26.39%,29.17%,32.21%,35.08%,39.21%,43.48%
L,L1202,LC4,"1,573 ",0.95%,3.31%,4.96%,8.65%,11.57%,13.60%,16.72%,18.94%,21.81%,24.86%,27.84%,31.02%,34.97%,39.61%,43.67%
L,L1301,LC4,"1,807 ",1.00%,2.88%,4.48%,8.47%,12.23%,16.44%,19.59%,22.69%,27.34%,31.16%,34.09%,38.18%,41.45%,45.66%,52.52%
L,L1302,LC4,"2,115 ",1.32%,2.79%,4.54%,6.48%,9.88%,12.53%,14.85%,16.88%,20.14%,22.36%,24.11%,28.13%,32.06%,36.74%,43.22%
L,L1303,LC4,"5,483 ",1.04%,2.37%,4.54%,7.44%,10.54%,13.28%,15.37%,18.35%,21.21%,24.86%,27.39%,30.95%,34.27%,38.59%,44.23%
L,L1401,LC4,"7,670 ",0.46%,2.09%,4.05%,6.73%,9.95%,12.50%,15.61%,18.58%,21.85%,24.68%,27.46%,30.70%,33.96%,37.08%,42.54%
L,L1501,LC4,"7,359 ",1.02%,2.85%,5.03%,8.32%,10.83%,13.62%,16.42%,19.08%,21.48%,24.34%,27.41%,30.48%,34.33%,38.01%,44.69%
L,L1601,LC4,"8,844 ",0.51%,2.31%,4.55%,7.17%,9.77%,12.19%,14.80%,17.31%,19.92%,22.66%,25.90%,29.03%,32.39%,36.36%,42.73%
L,L1701,LC4,"9,073 ",0.83%,2.35%,4.66%,6.69%,9.02%,10.74%,12.67%,14.55%,16.74%,19.08%,21.21%,23.62%,26.15%,29.60%,33.09%
L,L1801,LC4,"3,695 ",0.84%,2.65%,5.12%,8.06%,10.45%,13.61%,15.99%,18.38%,21.38%,24.63%,28.04%,30.96%,34.64%,39.08%,43.17%
L,L1802,LC4,"6,443 ",1.06%,4.19%,7.25%,9.96%,13.15%,15.66%,17.48%,19.56%,22.75%,25.16%,28.15%,31.04%,33.79%,36.77%,40.15%
L,L1901,LC4,"3,665 ",0.30%,0.46%,0.71%,1.17%,1.47%,1.75%,2.02%,2.26%,26.25%,29.80%,33.21%,36.81%,39.40%,43.38%,48.02%
L,L1902,LC4,481 ,0.21%,1.87%,4.37%,7.48%,13.93%,18.09%,21.41%,22.25%,27.23%,31.81%,34.93%,39.09%,42.00%,47.19%,50.10%
L,L2001,LC4,"9,885 ",1.07%,2.52%,4.97%,8.13%,10.08%,12.46%,15.57%,17.69%,20.38%,22.92%,26.35%,29.38%,32.90%,36.78%,41.73%
L,L2002,LC4,800 ,0.50%,3.00%,6.00%,9.50%,13.13%,16.63%,18.88%,20.63%,24.00%,25.88%,29.75%,32.75%,34.00%,37.88%,42.63%
L,L2101,LC4,"9,024 ",1.09%,2.21%,4.21%,6.95%,9.13%,11.29%,13.42%,15.70%,18.37%,20.99%,23.90%,26.47%,29.45%,33.08%,38.76%
L,L2201,LC4,"9,154 ",1.06%,2.91%,4.82%,7.38%,9.23%,11.53%,13.61%,16.22%,19.20%,22.17%,24.85%,27.92%,30.77%,33.81%,38.61%
L,L2301,LC4,"10,513 ",1.00%,2.63%,4.30%,6.72%,9.03%,10.87%,13.22%,15.41%,17.93%,20.77%,23.35%,26.13%,29.14%,32.71%,37.32%
