dc,ps,gc,electors,0830,0930,1030,1130,1230,1330,1430,1530,1630,1730,1830,1930,2030,2130,2230
C,C02,C0201,"9,933 ",0.79%,2.96%,4.63%,7.12%,10.79%,13.06%,16.18%,18.93%,21.92%,24.97%,28.18%,30.63%,33.86%,36.61%,40.20%
C,C03,C0301,"9,264 ",0.65%,2.82%,5.21%,7.70%,10.49%,12.67%,15.14%,17.47%,20.27%,22.83%,25.50%,27.84%,30.09%,32.93%,35.92%
C,C05,C0501,"6,428 ",1.10%,3.39%,6.24%,8.98%,12.13%,14.97%,17.89%,20.49%,23.30%,25.62%,28.13%,30.18%,32.72%,35.41%,37.41%
C,C06,C0601,"5,479 ",0.46%,1.64%,3.50%,5.84%,8.36%,10.22%,12.47%,14.77%,16.99%,19.22%,21.56%,23.71%,25.99%,28.65%,31.14%
C,C06,C0602,"6,646 ",1.10%,3.02%,6.08%,8.98%,11.39%,13.39%,15.80%,17.92%,20.39%,22.51%,24.81%,26.69%,28.47%,30.60%,32.11%
C,C07,C0701,"10,116 ",0.62%,2.25%,5.37%,8.91%,12.08%,15.17%,18.15%,21.37%,24.56%,28.06%,31.11%,34.02%,36.89%,41.15%,46.14%
C,C08,C0801,"8,646 ",1.83%,4.97%,9.29%,13.49%,17.15%,20.67%,24.28%,26.84%,30.19%,33.97%,37.45%,40.72%,43.72%,46.50%,49.98%
C,C09,C0901,"8,670 ",1.35%,3.17%,6.27%,10.80%,14.58%,17.85%,21.42%,25.10%,28.28%,31.87%,34.84%,38.21%,41.51%,45.13%,48.26%
C,C11,C1101,"11,060 ",1.05%,3.56%,7.08%,10.86%,14.69%,17.91%,21.61%,24.81%,27.94%,31.16%,34.58%,38.06%,41.06%,44.23%,47.81%
C,C13,C1301,"9,482 ",1.63%,4.70%,8.05%,11.92%,14.59%,17.61%,19.36%,22.17%,24.96%,27.28%,29.77%,31.87%,34.40%,36.33%,38.11%
C,C16,C1601,"3,118 ",0.48%,1.76%,3.11%,4.49%,6.48%,8.43%,10.90%,12.89%,15.36%,17.29%,19.21%,20.49%,21.68%,24.18%,27.29%
C,C16,C1602,"4,710 ",1.89%,5.29%,10.36%,15.29%,19.04%,22.34%,25.67%,28.28%,31.80%,34.80%,38.73%,41.08%,43.42%,45.99%,48.47%
C,C19,C1901,"8,257 ",0.74%,2.43%,4.90%,7.67%,11.02%,13.84%,16.64%,19.84%,22.42%,25.65%,28.47%,31.27%,33.74%,36.41%,39.11%
C,C23,C2301,"8,159 ",0.74%,1.78%,3.46%,5.91%,8.42%,10.96%,13.63%,16.23%,19.02%,21.36%,23.50%,25.76%,28.05%,30.47%,32.44%
C,C26,C2601,"8,240 ",0.87%,2.50%,5.58%,8.82%,12.05%,15.18%,18.26%,21.65%,24.83%,28.58%,31.92%,34.70%,37.44%,40.39%,43.71%
C,C27,C2701,"7,703 ",0.68%,3.02%,6.02%,9.85%,14.07%,18.25%,22.90%,27.81%,31.59%,34.69%,39.08%,42.20%,45.33%,48.98%,51.77%
C,C28,C2801,"7,553 ",1.14%,3.39%,6.21%,9.08%,12.14%,15.01%,18.22%,21.63%,24.23%,27.30%,30.56%,33.15%,35.48%,38.17%,42.00%
C,C29,C2901,"6,159 ",1.67%,3.99%,6.58%,9.45%,12.45%,14.60%,17.26%,20.15%,22.71%,25.47%,28.62%,31.21%,33.74%,37.04%,40.62%
C,C29,C2902,"6,199 ",1.60%,3.74%,6.00%,9.02%,11.53%,13.70%,16.29%,19.65%,22.46%,24.75%,28.41%,31.02%,33.68%,36.96%,40.23%
C,C30,C3001,"8,706 ",0.71%,2.37%,5.18%,7.97%,10.85%,13.68%,16.46%,19.18%,21.94%,25.05%,28.05%,30.70%,32.94%,35.71%,38.77%
C,C31,C3101,"4,740 ",0.70%,2.41%,4.92%,7.97%,10.23%,12.15%,14.70%,16.65%,18.69%,20.80%,23.19%,25.23%,27.83%,30.00%,31.90%
C,C31,C3102,"3,384 ",0.92%,2.81%,4.70%,7.06%,9.69%,11.82%,13.74%,16.31%,18.53%,20.83%,23.61%,25.77%,27.93%,30.17%,32.03%
C,C33,C3301,"3,870 ",1.58%,3.77%,8.17%,11.68%,14.57%,16.20%,19.33%,21.94%,24.13%,26.74%,29.15%,32.17%,34.57%,36.82%,39.33%
C,C33,C3302,"4,864 ",2.24%,6.06%,10.49%,13.24%,16.47%,18.54%,20.35%,22.78%,25.35%,27.51%,30.18%,32.85%,35.30%,38.06%,40.67%
C,C34,C3401,"6,720 ",1.53%,3.47%,6.93%,10.65%,14.24%,17.46%,21.55%,25.07%,28.81%,32.63%,36.44%,38.93%,42.13%,45.36%,49.64%
C,C34,C3402,"1,170 ",1.88%,3.50%,7.44%,11.37%,14.79%,17.86%,22.82%,25.64%,27.86%,31.62%,34.44%,37.69%,39.91%,43.33%,44.79%
C,C35,C3501,"6,859 ",0.47%,1.66%,4.02%,7.07%,9.58%,11.97%,14.90%,17.48%,20.22%,23.37%,27.07%,28.39%,30.82%,33.56%,36.40%
C,C37,C3701,"6,582 ",0.65%,3.04%,6.55%,9.86%,12.47%,15.09%,17.52%,20.21%,23.18%,25.78%,28.76%,32.03%,34.46%,37.21%,40.73%
C,C37,C3702,"2,462 ",0.69%,2.27%,4.14%,6.21%,8.57%,11.01%,13.40%,15.27%,18.07%,20.27%,23.35%,25.63%,27.38%,29.61%,32.13%
D,D03,D0301,"5,192 ",1.52%,4.24%,8.20%,11.06%,13.67%,16.35%,18.99%,22.28%,24.85%,27.68%,30.99%,33.63%,35.82%,39.18%,42.26%
D,D03,D0302,640 ,0.16%,2.34%,4.69%,6.56%,9.06%,10.63%,12.34%,15.47%,19.38%,22.50%,25.78%,27.66%,31.25%,33.91%,36.09%
D,D04,D0401,"10,042 ",1.10%,3.63%,6.26%,9.58%,12.18%,14.60%,17.45%,20.58%,23.25%,25.28%,29.86%,32.71%,35.82%,39.66%,43.08%
D,D05,D0501,"9,286 ",1.86%,5.47%,9.69%,14.01%,17.48%,20.44%,23.21%,26.30%,29.10%,31.82%,35.49%,39.17%,42.01%,44.57%,48.02%
D,D06,D0601,"6,870 ",0.79%,2.87%,5.55%,9.30%,13.22%,16.39%,20.09%,23.39%,26.93%,31.25%,34.75%,37.60%,41.35%,45.71%,50.92%
D,D07,D0701,"7,594 ",0.68%,3.04%,5.72%,8.86%,13.02%,16.28%,20.04%,23.51%,28.01%,31.64%,36.23%,39.68%,43.13%,48.06%,53.54%
D,D08,D0801,"11,126 ",1.09%,3.89%,8.28%,12.24%,15.63%,18.57%,21.10%,24.04%,27.49%,30.80%,34.17%,37.32%,40.52%,43.26%,46.43%
D,D09,D0901,"8,464 ",1.13%,3.98%,8.07%,11.57%,12.81%,14.89%,17.06%,18.96%,21.18%,24.01%,26.76%,28.96%,31.45%,33.94%,35.96%
