分區編號,投票站編號 ,地方選區,選民人數*,累積投票率* Aggregate Voter Turnout Rate*,,,,,,,,,,,,,,
District Code,Polling Station Code,"Geographical
Constituency",No. of Electors*,08:30,09:30,10:30,11:30,12:30,13:30,14:30,15:30,16:30,17:30,18:30,19:30,20:30,21:30,22:30
N,N1803,LC5,"2,015 ",0.99%,2.48%,4.27%,6.30%,8.54%,11.27%,13.60%,15.38%,17.57%,20.45%,23.28%,25.61%,27.54%,30.07%,32.56%
N,N1804,LC5,"2,486 ",0.60%,2.21%,4.67%,7.16%,9.94%,12.43%,15.57%,17.82%,20.03%,22.53%,25.30%,27.35%,28.76%,31.62%,34.35%
N,N1805,LC5,610 ,0.16%,2.62%,6.23%,11.48%,14.92%,17.87%,19.67%,21.97%,23.93%,25.57%,29.84%,32.79%,34.26%,37.38%,40.49%
P,P0101,LC5,"6,216 ",0.88%,2.72%,5.31%,8.56%,11.34%,14.49%,17.71%,20.75%,23.60%,26.03%,29.18%,32.21%,34.93%,37.18%,38.93%
P,P0201,LC5,"7,544 ",0.56%,2.62%,5.69%,10.35%,15.42%,19.25%,24.36%,28.92%,33.15%,36.45%,40.44%,44.64%,48.67%,52.08%,55.65%
P,P0301,LC5,"3,342 ",0.66%,2.87%,5.30%,10.08%,14.00%,18.61%,23.22%,26.57%,30.16%,33.81%,37.25%,41.38%,44.82%,48.68%,53.14%
P,P0302,LC5,"5,456 ",0.79%,2.57%,5.79%,8.54%,12.04%,15.51%,18.38%,21.57%,24.69%,27.84%,30.76%,33.83%,37.30%,39.85%,43.22%
P,P0401,LC5,"8,662 ",0.60%,2.07%,4.80%,7.68%,10.53%,13.30%,16.31%,19.23%,22.00%,25.09%,27.61%,30.54%,33.31%,35.95%,38.55%
P,P0501,LC5,"11,399 ",0.65%,2.02%,4.17%,6.75%,9.92%,12.26%,15.28%,18.34%,21.39%,24.31%,26.83%,30.62%,33.31%,36.59%,40.11%
P,P0601,LC5,"13,201 ",0.49%,1.86%,4.29%,7.54%,10.92%,14.45%,17.64%,20.66%,23.61%,26.52%,29.63%,32.88%,36.21%,39.49%,42.65%
P,P0701,LC5,"8,982 ",0.87%,2.56%,6.19%,9.71%,13.40%,16.60%,20.54%,23.64%,26.89%,30.06%,33.19%,36.32%,39.25%,42.43%,44.78%
P,P0801,LC5,"7,465 ",1.00%,3.05%,5.44%,8.94%,12.32%,15.10%,17.86%,20.68%,23.01%,25.95%,28.83%,32.47%,35.57%,38.10%,41.27%
P,P0802,LC5,"1,170 ",1.20%,5.13%,8.46%,12.48%,16.24%,19.57%,25.04%,28.46%,32.91%,38.12%,41.11%,44.10%,47.95%,52.05%,55.98%
P,P0901,LC5,"8,433 ",1.00%,2.96%,6.52%,10.10%,13.07%,17.00%,19.93%,22.59%,25.95%,28.95%,32.37%,36.17%,39.29%,42.04%,45.20%
P,P1001,LC5,"5,762 ",0.68%,2.17%,4.72%,8.28%,13.00%,17.91%,21.83%,25.72%,29.97%,33.34%,37.05%,40.65%,43.91%,47.34%,51.21%
P,P1002,LC5,"2,185 ",0.73%,3.11%,6.27%,10.89%,15.38%,18.90%,23.89%,27.83%,31.81%,35.47%,39.63%,43.30%,46.82%,49.47%,52.91%
P,P1101,LC5,"11,580 ",0.70%,2.65%,4.91%,8.91%,12.79%,15.90%,19.15%,22.69%,25.73%,29.13%,32.30%,36.11%,39.36%,42.59%,46.39%
P,P1201,LC5,"7,393 ",0.73%,2.00%,4.99%,8.97%,13.69%,16.84%,20.59%,24.75%,29.11%,32.21%,36.26%,39.77%,42.92%,47.22%,52.43%
P,P1202,LC5,"1,946 ",2.11%,4.01%,6.27%,9.10%,11.31%,14.65%,18.14%,21.43%,25.85%,29.29%,32.43%,36.59%,40.13%,43.11%,47.12%
P,P1301,LC5,642 ,1.71%,4.98%,8.10%,14.95%,19.16%,23.36%,28.35%,30.69%,33.64%,37.38%,40.81%,44.39%,47.20%,50.93%,53.58%
P,P1302,LC5,"5,873 ",0.66%,1.79%,3.85%,7.15%,10.35%,13.25%,16.41%,19.41%,22.25%,25.29%,28.13%,30.87%,33.46%,37.08%,39.59%
P,P1303,LC5,"1,405 ",1.42%,2.92%,5.27%,8.90%,13.02%,15.66%,19.29%,22.49%,25.98%,28.54%,32.81%,36.65%,40.43%,44.77%,49.54%
P,P1401,LC5,"10,432 ",0.38%,1.61%,3.59%,6.46%,9.40%,12.13%,15.38%,18.49%,21.57%,24.43%,27.73%,30.69%,33.89%,36.83%,39.50%
P,P1501,LC5,"10,790 ",0.51%,1.71%,3.66%,6.78%,9.89%,12.58%,15.58%,18.53%,21.34%,23.88%,27.10%,30.25%,32.98%,36.09%,38.91%
P,P1601,LC5,"7,479 ",1.36%,3.18%,5.68%,9.60%,13.30%,17.90%,22.29%,27.13%,31.43%,35.45%,39.48%,43.82%,47.48%,51.10%,54.19%
