分區編號,投票站編號 ,地方選區,選民人數*,累積投票率* Aggregate Voter Turnout Rate*,,,,,,,,,,,,,,
District Code,Polling Station Code,"Geographical
Constituency",No. of Electors*,08:30,09:30,10:30,11:30,12:30,13:30,14:30,15:30,16:30,17:30,18:30,19:30,20:30,21:30,22:30
R,R3801,LC5,"8,972 ",0.88%,2.61%,5.35%,8.96%,12.36%,15.39%,18.50%,21.12%,24.10%,27.11%,29.80%,33.25%,36.12%,39.10%,41.62%
U,U0104,LC5,9 ,,,77.78%,77.78%,77.78%,77.78%,77.78%,77.78%,77.78%,77.78%,77.78%,77.78%,77.78%,77.78%,77.78%
U,U0105,LC5,20 ,,,0.00%,0.00%,0.00%,0.00%,15.00%,15.00%,15.00%,15.00%,15.00%,15.00%,15.00%,15.00%,15.00%
U,U0106,LC5,26 ,,,3.85%,3.85%,3.85%,3.85%,3.85%,3.85%,19.23%,19.23%,19.23%,19.23%,19.23%,19.23%,19.23%
U,U0108,LC5,106 ,,,18.87%,18.87%,18.87%,18.87%,31.13%,31.13%,33.96%,33.96%,33.96%,33.96%,33.96%,33.96%,33.96%
U,U0109,LC5,2 ,,,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
U,U0110,LC5,2 ,,,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
U,U0112,LC5,42 ,,,0.00%,0.00%,0.00%,0.00%,16.67%,16.67%,16.67%,16.67%,16.67%,16.67%,16.67%,16.67%,16.67%
U,U0113,LC5,24 ,,,8.33%,8.33%,8.33%,8.33%,45.83%,45.83%,54.17%,54.17%,54.17%,54.17%,54.17%,54.17%,54.17%
U,U0114,LC5,9 ,,,0.00%,0.00%,0.00%,0.00%,33.33%,33.33%,66.67%,66.67%,66.67%,66.67%,66.67%,66.67%,66.67%
U,U0115,LC5,14 ,,,14.29%,14.29%,14.29%,14.29%,35.71%,35.71%,35.71%,35.71%,35.71%,35.71%,35.71%,35.71%,35.71%
U,U0116,LC5,60 ,,,5.00%,5.00%,5.00%,5.00%,16.67%,16.67%,31.67%,31.67%,31.67%,31.67%,31.67%,31.67%,31.67%
U,U0117,LC5,17 ,,,29.41%,29.41%,29.41%,29.41%,52.94%,52.94%,52.94%,52.94%,52.94%,52.94%,52.94%,52.94%,52.94%
U,U0118,LC5,23 ,,,17.39%,17.39%,17.39%,17.39%,43.48%,43.48%,52.17%,52.17%,52.17%,52.17%,52.17%,52.17%,52.17%
U,U0119,LC5,36 ,,,2.78%,2.78%,2.78%,2.78%,33.33%,33.33%,33.33%,33.33%,33.33%,33.33%,33.33%,33.33%,33.33%
U,U0120,LC5,2 ,,,0.00%,0.00%,0.00%,0.00%,50.00%,50.00%,50.00%,50.00%,50.00%,50.00%,50.00%,50.00%,50.00%
U,U0121,LC5,23 ,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
U,U0122,LC5,6 ,,,16.67%,16.67%,16.67%,16.67%,33.33%,33.33%,33.33%,33.33%,33.33%,33.33%,33.33%,33.33%,33.33%
U,U0123,LC5,31 ,,,22.58%,22.58%,22.58%,22.58%,51.61%,51.61%,51.61%,51.61%,51.61%,51.61%,51.61%,51.61%,51.61%
U,U0124,LC5,5 ,,,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
U,U0125,LC5,38 ,,,7.89%,7.89%,7.89%,7.89%,15.79%,15.79%,15.79%,15.79%,15.79%,15.79%,15.79%,15.79%,15.79%
U,U0203,LC5,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
*  不包括專用投票站,,,,,,,,,,,,,,,,,,
*  Excluding Dedicated Polling Stations,,,,,,,,,,,,,,,,,,
