dc,ps,gc,electors,0830,0930,1030,1130,1230,1330,1430,1530,1630,1730,1830,1930,2030,2130,2230
A,A01,A0101,"3,515 ",0.68%,3.27%,6.29%,10.18%,15.08%,19.06%,23.76%,26.83%,30.30%,33.85%,37.10%,39.83%,43.07%,46.23%,48.14%
A,A01,A0102,814 ,0.49%,2.83%,4.42%,8.11%,13.64%,16.71%,20.64%,24.69%,28.01%,29.36%,33.05%,34.89%,36.86%,39.93%,43.12%
A,A02,A0201,"6,624 ",1.01%,3.03%,4.77%,9.13%,12.71%,16.00%,19.26%,21.95%,25.20%,28.43%,32.05%,34.81%,38.32%,41.88%,45.49%
A,A03,A0301,"4,989 ",0.20%,1.50%,3.55%,6.81%,10.20%,13.45%,16.84%,19.94%,22.87%,25.46%,28.88%,31.57%,34.20%,37.90%,42.33%
A,A03,A0302,"1,860 ",0.54%,2.04%,3.98%,7.26%,9.95%,12.90%,15.27%,18.12%,20.91%,23.55%,26.45%,28.98%,30.97%,34.57%,37.26%
A,A04,A0401,"4,098 ",0.78%,2.39%,3.37%,7.08%,9.98%,12.08%,14.98%,18.50%,22.06%,24.87%,28.26%,31.31%,33.41%,36.07%,39.21%
A,A04,A0402,"1,207 ",0.83%,3.81%,5.47%,7.46%,12.84%,15.74%,19.14%,23.12%,27.01%,30.57%,34.71%,38.03%,40.10%,43.16%,46.06%
A,A05,A0501,"8,105 ",0.78%,2.39%,4.57%,7.00%,10.24%,13.18%,15.87%,19.30%,22.49%,25.53%,29.32%,32.17%,34.66%,37.54%,41.14%
A,A06,A0601,"7,004 ",1.01%,4.08%,7.21%,11.88%,15.88%,19.82%,24.00%,28.10%,31.70%,35.25%,39.05%,42.55%,45.99%,50.36%,54.10%
A,A07,A0701,"8,200 ",1.91%,5.00%,8.50%,12.11%,15.43%,18.54%,21.60%,25.34%,28.98%,32.30%,37.02%,40.20%,43.66%,47.06%,50.12%
A,A08,A0801,"7,505 ",1.43%,4.37%,7.49%,13.00%,17.03%,21.19%,24.85%,28.43%,32.38%,36.08%,39.91%,43.42%,46.64%,49.65%,52.62%
A,A09,A0901,"9,698 ",0.99%,2.88%,5.11%,9.27%,13.60%,17.31%,21.23%,25.08%,28.51%,32.07%,35.73%,39.16%,42.33%,45.83%,49.35%
A,A10,A1001,"7,929 ",0.63%,2.33%,5.21%,8.19%,12.12%,14.97%,17.87%,20.83%,23.77%,26.69%,29.79%,32.64%,35.44%,38.42%,41.23%
A,A11,A1101,"4,926 ",1.32%,3.71%,5.83%,11.04%,14.39%,17.38%,20.71%,23.10%,26.37%,29.40%,32.18%,35.69%,37.76%,40.01%,42.20%
A,A11,A1102,"2,366 ",1.65%,3.34%,5.24%,8.62%,11.54%,14.41%,17.03%,19.36%,21.89%,24.94%,27.60%,31.23%,34.36%,37.49%,40.03%
