,,,候選人名單編號 Candidiates List Number,,,,,,,,,,,,,,
E1401,優才書院 (志潔分校),G.T. College (Chi Kit School),21 ,534 ,8 ,719 ,413 ,17 ,535 ,894 ,333 ,458 ,214 ,8 ,46 ,,"4,200 "
E1501,東華三院羅裕積小學,TWGHs Lo Yu Chik Primary School,13 ,343 ,18 ,380 ,221 ,10 ,314 ,525 ,150 ,188 ,126 ,5 ,17 ,,"2,310 "
E1502,天主教新民書院,Newman Catholic College,12 ,156 ,0 ,172 ,154 ,3 ,119 ,222 ,170 ,85 ,69 ,1 ,10 ,,"1,173 "
E1601,尖沙咀街坊福利會,Tsim Sha Tsui District Kai Fong Welfare Association,18 ,496 ,11 ,346 ,239 ,6 ,191 ,464 ,177 ,97 ,81 ,4 ,19 ,,"2,149 "
F 深水埗區 SHAM SHUI PO DISTRICT,,,,,,,,,,,,,,,,,
F0101,保安道體育館,Po On Road Sports Centre,7 ,300 ,4 ,274 ,178 ,7 ,195 ,470 ,91 ,628 ,102 ,3 ,16 ,,"2,275 "
F0201,福榮街官立小學,Fuk Wing Street Government Primary School,18 ,377 ,1 ,466 ,287 ,9 ,356 ,600 ,144 ,629 ,129 ,3 ,30 ,,"3,049 "
F0301,聖方濟各英文小學,St. Francis of Assisi's English Primary School,19 ,905 ,8 ,522 ,221 ,14 ,212 ,800 ,164 ,"1,029 ",159 ,7 ,29 ,,"4,089 "
F0401,石硤尾社區會堂,Shek Kip Mei Community Hall,11 ,282 ,1 ,278 ,137 ,4 ,127 ,494 ,88 ,"1,338 ",180 ,2 ,12 ,,"2,954 "
F0501,深水埔街坊福利事務促進會,Shamshuipo Kaifong Welfare Advancement Association,17 ,471 ,5 ,384 ,201 ,6 ,204 ,527 ,103 ,494 ,131 ,16 ,25 ,,"2,584 "
F0601,北河街體育館,Pei Ho Street Sports Centre,23 ,944 ,15 ,295 ,141 ,15 ,146 ,548 ,93 ,734 ,121 ,3 ,17 ,,"3,095 "
F0701,南昌社區中心,Nam Cheong District Community Centre,9 ,283 ,4 ,204 ,153 ,8 ,204 ,437 ,89 ,"1,129 ",87 ,9 ,20 ,,"2,636 "
F0801,英華書院,Ying Wa College,11 ,465 ,4 ,176 ,112 ,10 ,528 ,494 ,87 ,"1,526 ",134 ,11 ,46 ,,"3,604 "
F0901,麗閣社區會堂,Lai Kok Community Hall,19 ,947 ,3 ,366 ,224 ,15 ,260 ,711 ,155 ,"1,940 ",143 ,5 ,35 ,,"4,823 "
F1001,聖公會聖紀文小學,SKH St. Clement's Primary School,16 ,"1,048 ",8 ,420 ,237 ,15 ,199 ,762 ,122 ,"1,964 ",160 ,9 ,36 ,,"4,996 "
F1101,聖公會聖馬利亞堂莫慶堯中學,SKH St. Mary's Church Mok Hing Yiu College,8 ,851 ,5 ,312 ,244 ,11 ,157 ,705 ,146 ,"1,655 ",115 ,5 ,36 ,,"4,250 "
F1201,美孚新邨孚佑堂,Mei Foo Sun Chuen Community Centre,33 ,955 ,8 ,734 ,444 ,7 ,301 ,772 ,549 ,306 ,215 ,7 ,43 ,,"4,374 "
F1301,博愛美孚梁之潛伉儷長者健康支援及進修中心,Pok Oi Mei Foo Mr. and Mrs. Leung Chi Chim Elderly Health Support and Learning Centre,23 ,727 ,3 ,677 ,423 ,4 ,322 ,701 ,459 ,302 ,252 ,6 ,41 ,,"3,940 "
F1401,香港大學專業進修學院 - 九龍西分校,HKU SPACE - Kowloon West Campus,20 ,731 ,4 ,657 ,463 ,9 ,323 ,807 ,430 ,399 ,253 ,4 ,42 ,,"4,142 "
F1501,荔枝角社區會堂,Lai Chi Kok Community Hall,14 ,310 ,1 ,593 ,436 ,5 ,315 ,720 ,337 ,427 ,225 ,0 ,54 ,,"3,437 "
F1601,佛教大雄中學,Buddhist Tai Hung College,14 ,"1,797 ",4 ,386 ,235 ,19 ,129 ,666 ,97 ,930 ,122 ,7 ,31 ,,"4,437 "
F1701,長沙灣社區中心,Cheung Sha Wan Community Centre,15 ,356 ,7 ,491 ,219 ,11 ,639 ,826 ,96 ,"1,670 ",130 ,8 ,26 ,,"4,494 "
F1801,白田社區會堂,Pak Tin Community Hall,3 ,405 ,1 ,261 ,128 ,11 ,391 ,499 ,83 ,892 ,126 ,10 ,15 ,,"2,825 "
F1901,瑪利諾神父教會學校,Maryknoll Fathers' School,18 ,249 ,1 ,389 ,444 ,3 ,336 ,455 ,391 ,263 ,119 ,2 ,21 ,,"2,691 "
F2001,大坑東社區中心,Tai Hang Tung Community Centre,17 ,453 ,2 ,458 ,270 ,11 ,404 ,918 ,165 ,"2,005 ",178 ,2 ,20 ,,"4,903 "
F2101,白田天主教小學,Pak Tin Catholic Primary School,8 ,291 ,4 ,223 ,138 ,9 ,443 ,533 ,65 ,836 ,105 ,3 ,15 ,,"2,673 "
F2102,嗇色園主辦可澤耆英鄰舍中心,Ho Chak Neighbourhood Centre for Senior Citizens (Sponsored by Sik Sik Yuen),7 ,211 ,3 ,225 ,181 ,3 ,162 ,370 ,173 ,748 ,64 ,6 ,15 ,,"2,168 "
G 九龍城區 KOWLOON CITY DISTRICT,,,,,,,,,,,,,,,,,
G0101,香港培道小學,Pooi To Primary School,5 ,468 ,6 ,269 ,162 ,5 ,112 ,401 ,112 ,826 ,107 ,0 ,14 ,,"2,487 "
G0201,土瓜灣體育館,To Kwa Wan Sports Centre,12 ,"1,020 ",4 ,506 ,352 ,18 ,209 ,683 ,210 ,544 ,217 ,7 ,22 ,,"3,804 "
G0301,基督教香港信義會紅磡信義學校,ELCHK Hung Hom Lutheran Primary School,12 ,912 ,1 ,368 ,264 ,9 ,184 ,493 ,100 ,214 ,180 ,1 ,24 ,,"2,762 "
G0401,中華基督教會灣仔堂基道小學 (九龍城),CCC Wanchai Church Kei To Primary School (Kowloon City),11 ,639 ,5 ,624 ,333 ,8 ,"1,081 ",792 ,166 ,373 ,547 ,5 ,22 ,,"4,606 "
G0501,循道衛理楊震社會服務處何文田青少年綜合發展中心,Yang Memorial Methodist Social Service Homantin Integrated Centre For Youth Development,11 ,"1,322 ",2 ,446 ,274 ,11 ,156 ,768 ,175 ,"1,160 ",626 ,5 ,21 ,,"4,977 "
G0601,新法書院,New Method College,9 ,306 ,1 ,460 ,371 ,3 ,280 ,443 ,465 ,193 ,138 ,2 ,13 ,,"2,684 "
G0602,何文田官立中學,Homantin Government Secondary School,14 ,227 ,2 ,287 ,239 ,2 ,152 ,279 ,227 ,132 ,104 ,3 ,16 ,,"1,684 "
G0701,明愛九龍社區中心,Caritas Community Centre - Kowloon,23 ,231 ,6 ,318 ,290 ,4 ,213 ,365 ,275 ,140 ,100 ,3 ,9 ,,"1,977 "
G0801,喇沙書院,La Salle College,26 ,309 ,4 ,373 ,368 ,3 ,220 ,499 ,335 ,149 ,162 ,1 ,27 ,,"2,476 "
G0901,九龍塘官立小學,Kowloon Tong Government Primary School,19 ,259 ,0 ,392 ,371 ,3 ,231 ,522 ,629 ,159 ,139 ,5 ,18 ,,"2,747 "
G0902,九龍方方樂趣幼稚兒園,Kowloon Funful Kindergarten & Children's Corner,6 ,69 ,0 ,53 ,52 ,0 ,69 ,53 ,111 ,13 ,10 ,0 ,2 ,,438 
G1001,九龍城體育館,Kowloon City Sports Centre,27 ,"1,045 ",3 ,258 ,273 ,7 ,113 ,526 ,117 ,319 ,101 ,6 ,17 ,,"2,812 "
G1101,聖三一堂小學,Holy Trinity Primary School,13 ,963 ,5 ,620 ,422 ,13 ,315 ,894 ,358 ,937 ,234 ,4 ,34 ,,"4,812 "
G1201,聖匠小學,Holy Carpenter Primary School,9 ,"1,454 ",3 ,446 ,230 ,11 ,174 ,577 ,154 ,403 ,224 ,5 ,18 ,,"3,708 "
G1301,土瓜灣市政大廈室內羽毛球場,To Kwa Wan Complex Indoor Games Room,4 ,"1,176 ",1 ,253 ,102 ,5 ,85 ,296 ,53 ,109 ,100 ,6 ,6 ,,"2,196 "
G1401,中華基督教會基道中學,CCC Kei To Secondary School,9 ,732 ,2 ,448 ,260 ,6 ,335 ,535 ,105 ,185 ,163 ,4 ,14 ,,"2,798 "
G1501,博愛醫院任永賢夫人幼稚園 / 幼兒中心,Pok Oi Hospital Mrs. Yam Wing Yin Kindergarten / Day Nursery,13 ,350 ,1 ,364 ,271 ,3 ,259 ,369 ,263 ,160 ,138 ,2 ,23 ,,"2,216 "
G1601,葛量洪校友會黃埔學校,GCEPSA Whampoa Primary School,21 ,393 ,1 ,660 ,476 ,4 ,901 ,693 ,320 ,278 ,194 ,2 ,56 ,,"3,999 "
G1701,香港青少年服務處賽馬會方樹泉綜合青少年服務中心,Hong Kong Children And Youth Services Jockey Club Fong Shu Chuen Integrated Children And Youth Services Centre,8 ,436 ,5 ,752 ,423 ,7 ,792 ,792 ,299 ,300 ,220 ,1 ,26 ,,"4,061 "
G1801,聖匠中學,Holy Carpenter Secondary School,19 ,604 ,2 ,680 ,343 ,8 ,789 ,881 ,200 ,420 ,355 ,7 ,33 ,,"4,341 "
G1901,紅磡官立小學,Hung Hom Government Primary School,6 ,513 ,8 ,285 ,178 ,10 ,230 ,425 ,78 ,568 ,117 ,3 ,19 ,,"2,440 "
G2001,保良局李徐松聲紀念幼稚園,PLK Li Tsui Chung Sing Memorial Kindergarten,15 ,420 ,1 ,577 ,270 ,5 ,648 ,666 ,140 ,302 ,263 ,5 ,17 ,,"3,329 "
G2101,聖公會聖三一堂中學,SKH Holy Trinity Church Secondary School,7 ,"1,099 ",2 ,821 ,158 ,5 ,132 ,574 ,137 ,281 ,168 ,4 ,17 ,,"3,405 "
G2201,天主教領島學校,Ling To Catholic Primary School,21 ,483 ,2 ,"1,245 ",452 ,7 ,965 ,"1,088 ",361 ,507 ,372 ,5 ,45 ,,"5,553 "
