,,,候選人名單編號 Candidiates List Number,,,,,,,,,,,,,,
Counting Station 點票站,,,1 ,2 ,3 ,4 ,5 ,6 ,7 ,8 ,9 ,10 ,11 ,12 ,13 ,14 ,Total 總數
LC002,國際展貿中心,Hongkong International Trade & Exhibition Centre,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,0 
E 油尖旺民 YAU TSIM MONG DISTRICT,,,,,,,,,,,,,,,,,
E0101,九龍公園體育館,Kowloon Park Sports Centre,5 ,188 ,0 ,94 ,74 ,3 ,65 ,135 ,81 ,29 ,38 ,1 ,9 ,,722 
E0102,香港復康力量,Hong Kong Rehabilitation Power,8 ,248 ,1 ,274 ,257 ,3 ,149 ,258 ,306 ,99 ,98 ,1 ,15 ,,"1,717 "
E0201,國際婦女會老人中心,International Women's League Social Centre for the Elderly,15 ,923 ,57 ,537 ,263 ,22 ,129 ,657 ,187 ,216 ,146 ,6 ,26 ,,"3,184 "
E0301,佐敦道官立小學,Jordan Road Government Primary School,24 ,913 ,232 ,528 ,300 ,42 ,193 ,656 ,210 ,290 ,140 ,2 ,15 ,,"3,545 "
E0401,梁顯利油麻地社區中心,Henry G. Leong Yau Ma Tei Community Centre,22 ,886 ,60 ,429 ,293 ,11 ,189 ,651 ,166 ,568 ,148 ,4 ,33 ,,"3,460 "
E0501,油蔴地天主教小學 (海泓道),Yaumati Catholic Primary School (Hoi Wang Road),17 ,"1,403 ",3 ,"1,181 ",366 ,15 ,178 ,871 ,206 ,314 ,210 ,7 ,43 ,,"4,814 "
E0601,旺角社區會堂,Mong Kok Community Hall,16 ,504 ,10 ,358 ,179 ,16 ,213 ,495 ,111 ,268 ,109 ,3 ,17 ,,"2,299 "
E0701,保良局陳守仁小學,PLK Camoes Tan Siu Lin Primary School,21 ,965 ,4 ,642 ,380 ,19 ,438 ,764 ,306 ,394 ,176 ,3 ,33 ,,"4,145 "
E0801,路德會沙崙學校,Sharon Lutheran School,12 ,338 ,2 ,510 ,109 ,9 ,277 ,309 ,75 ,126 ,58 ,5 ,16 ,,"1,846 "
E0802,香港保護兒童會中銀幼兒學校,Hong Kong Society for the Protection of Children BOC Nursery School,9 ,166 ,0 ,473 ,221 ,1 ,163 ,325 ,214 ,116 ,79 ,1 ,25 ,,"1,793 "
E0901,大角嘴天主教小學,Tai Kok Tsui Catholic Primary School,37 ,988 ,6 ,"1,004 ",617 ,10 ,496 ,"1,043 ",277 ,817 ,211 ,7 ,53 ,,"5,566 "
E1001,旺角街坊會陳慶社會服務中心,The Mong Kok Kai-Fong Association Ltd. Chan Hing Social Service Centre,9 ,169 ,2 ,158 ,79 ,4 ,107 ,172 ,31 ,129 ,52 ,2 ,15 ,,929 
E1101,周氏宗親總會學校,Chow Clansmen Association School,128 ,417 ,2 ,678 ,281 ,15 ,453 ,711 ,192 ,404 ,148 ,7 ,35 ,,"3,471 "
E1201,聖公會基榮小學,SKH Kei Wing Primary School,13 ,270 ,6 ,367 ,116 ,10 ,348 ,385 ,105 ,130 ,96 ,5 ,14 ,,"1,865 "
E1301,港九潮州公會中學,Hong Kong & Kowloon Chiu Chow Public Association Secondary School,26 ,318 ,6 ,544 ,247 ,11 ,359 ,587 ,197 ,196 ,125 ,4 ,24 ,,"2,644 "
