,,,候選人名單編號 Candidiates List Number,,,,,,,,,,,,,,
Counting Station 點票站,,,1 ,2 ,3 ,4 ,5 ,6 ,7 ,8 ,9 ,10 ,11 ,12 ,13 ,14 ,Total 總數
LC005,國際展貿中心,Hongkong International Trade & Exhibition Centre,0 ,0 ,0 ,0 ,1 ,0 ,1 ,0 ,0 ,2 ,,,,,4 
N 北區 NORTH DISTRICT,,,,,,,,,,,,,,,,,
N0101,香海正覺蓮社佛教馬錦燦紀念英文中學,HHCKLA Buddhist Ma Kam Chan Memorial English Secondary School,185 ,7 ,162 ,662 ,341 ,19 ,107 ,209 ,167 ,504 ,,,,,"2,363 "
N0201,粉嶺公立學校,Fanling Public School,72 ,1 ,41 ,100 ,84 ,7 ,35 ,46 ,43 ,201 ,,,,,630 
N0202,明愛粉嶺陳震夏中學,Caritas Fanling Chan Chun Ha Secondary School,117 ,1 ,97 ,356 ,150 ,27 ,83 ,132 ,96 ,228 ,,,,,"1,287 "
N0301,祥華社區會堂,Cheung Wah Community Hall,277 ,10 ,253 ,"1,685 ",595 ,29 ,194 ,222 ,226 ,"1,142 ",,,,,"4,633 "
N0401,香海正覺蓮社佛教正覺蓮社學校,HHCKLA Buddhist Ching Kok Lin Association School,473 ,12 ,430 ,"1,932 ",709 ,59 ,351 ,670 ,460 ,"1,407 ",,,,,"6,503 "
N0501,鳳溪廖潤琛紀念學校,Fung Kai Liu Yun Sum Memorial School,250 ,12 ,208 ,"1,365 ",605 ,24 ,152 ,201 ,212 ,"1,519 ",,,,,"4,548 "
N0601,香海正覺蓮社佛教普光學校,HHCKLA Buddhist Po Kwong School,96 ,2 ,154 ,605 ,225 ,12 ,91 ,191 ,107 ,842 ,,,,,"2,325 "
N0602,路德會賽馬會雍盛綜合服務中心,Jockey Club Yung Shing Lutheran Integrated Service Centre,83 ,2 ,130 ,560 ,302 ,5 ,105 ,129 ,76 ,"1,735 ",,,,,"3,127 "
N0701,聖公會嘉福榮真小學,SKH Ka Fuk Wing Chun Primary School,280 ,27 ,279 ,954 ,514 ,30 ,206 ,275 ,300 ,"1,297 ",,,,,"4,162 "
N0801,金錢村何東學校,Kam Tsin Village Ho Tung School,90 ,2 ,33 ,146 ,133 ,5 ,46 ,53 ,40 ,488 ,,,,,"1,036 "
N0802,建德公立學校,Kin Tak Public School,26 ,0 ,15 ,54 ,36 ,2 ,14 ,16 ,69 ,239 ,,,,,471 
N0803,古洞公立愛華學校,Ku Tung Public Oi Wah School,139 ,4 ,51 ,173 ,117 ,7 ,41 ,46 ,34 ,550 ,,,,,"1,162 "
N0804,聖公會榮真小學,SKH Wing Chun Primary School,96 ,6 ,78 ,280 ,110 ,12 ,63 ,168 ,87 ,213 ,,,,,"1,113 "
N0901,香海正覺蓮社佛教陳式宏學校,HHCKLA Buddhist Chan Shi Wan Primary School,140 ,7 ,140 ,885 ,303 ,32 ,95 ,179 ,129 ,800 ,,,,,"2,710 "
N0902,香海正覺蓮社佛教正慧小學,HHCKLA Buddhist Wisdom Primary School,77 ,3 ,66 ,220 ,191 ,12 ,45 ,77 ,55 ,563 ,,,,,"1,309 "
N1001,彩園會堂,Choi Yuen Estate Hall,154 ,6 ,119 ,"1,048 ",337 ,28 ,80 ,96 ,110 ,"1,301 ",,,,,"3,279 "
N1002,神召會華人同工聯會彩蒲幼稚園,Chinese Christian Workers' Fellowship Limited Choi Po Kindergarten,118 ,4 ,109 ,558 ,207 ,10 ,93 ,117 ,86 ,340 ,,,,,"1,642 "
N1101,龍琛路體育館,Lung Sum Avenue Sports Centre,135 ,5 ,129 ,513 ,290 ,9 ,89 ,143 ,74 ,731 ,,,,,"2,118 "
N1102,聖公會陳融中學,SKH Chan Young Secondary School,168 ,8 ,151 ,595 ,239 ,18 ,117 ,235 ,147 ,546 ,,,,,"2,224 "
N1301,李志達紀念學校,Lee Chi Tat Memorial School,255 ,12 ,212 ,622 ,395 ,30 ,168 ,307 ,186 ,"1,013 ",,,,,"3,200 "
N1401,打鼓嶺嶺英公立學校,Ta Ku Ling Ling Ying Public School,19 ,1 ,13 ,51 ,38 ,3 ,19 ,13 ,35 ,156 ,,,,,348 
N1402,沙頭角官立中學,Sha Tau Kok Government Secondary School,27 ,2 ,15 ,27 ,32 ,4 ,17 ,24 ,22 ,324 ,,,,,494 
N1404,沙頭角中心小學,Sha Tau Kok Central Primary School,63 ,3 ,22 ,65 ,86 ,7 ,34 ,31 ,29 ,"1,519 ",,,,,"1,859 "
