,,,候選人名單編號 Candidiates List Number,,,,,,,,,,,,,,
N1406,打鼓嶺鄉村中心政府大樓,Ta Kwu Ling Rural Centre Government Building,29 ,1 ,27 ,63 ,38 ,3 ,17 ,21 ,46 ,191 ,,,,,436 
N1501,天平體育館,Tin Ping Sports Centre,254 ,20 ,235 ,"1,066 ",596 ,19 ,151 ,196 ,141 ,"1,110 ",,,,,"3,788 "
N1601,從謙學校,Tsung Him School,37 ,1 ,23 ,49 ,47 ,5 ,15 ,28 ,16 ,158 ,,,,,379 
N1602,龍山學校,Lung Shan Primary School,57 ,2 ,37 ,94 ,49 ,2 ,40 ,35 ,21 ,157 ,,,,,494 
N1603,軍地蔬菜產銷有限責任合作社,"Kwan Ti Vegetable Marketing Co-operative Society, Limited",75 ,5 ,49 ,105 ,86 ,3 ,24 ,41 ,31 ,166 ,,,,,585 
N1604,新福事工協會生命導向中心,Mission To New Arrivals Ltd. Life Building Centre,94 ,8 ,31 ,102 ,66 ,8 ,20 ,48 ,30 ,137 ,,,,,544 
N1606,聯和墟社區會堂,Luen Wo Hui Community Hall,208 ,7 ,172 ,603 ,282 ,38 ,164 ,308 ,209 ,571 ,,,,,"2,562 "
P 大埔區 TAI PO DISTRICT,,,,,,,,,,,,,,,,,
P0101,大埔社區中心 (展覽廳),Tai Po Community Centre (Exhibition Hall),258 ,13 ,200 ,271 ,346 ,35 ,313 ,864 ,145 ,874 ,,,,,"3,319 "
P0201,大埔官立中學,Tai Po Government Secondary School,239 ,5 ,260 ,243 ,356 ,21 ,797 ,474 ,218 ,620 ,,,,,"3,233 "
P0301,新界婦孺福利會梁省德學校,NTWJWA Leung Sing Tak Primary School,109 ,3 ,123 ,143 ,205 ,11 ,271 ,229 ,91 ,308 ,,,,,"1,493 "
P0302,香港紅卍字會大埔卍慈中學,HKRSS Tai Po Secondary School,140 ,11 ,142 ,150 ,253 ,23 ,341 ,271 ,103 ,729 ,,,,,"2,163 "
P0401,大元社區會堂,Tai Yuen Community Hall,241 ,6 ,224 ,212 ,517 ,25 ,714 ,294 ,246 ,"1,042 ",,,,,"3,521 "
P0501,富亨鄰里社區中心,Fu Heng Neighbourhood Community Centre,300 ,11 ,227 ,268 ,558 ,36 ,732 ,428 ,142 ,"1,206 ",,,,,"3,908 "
P0601,富善社區會堂,Fu Shin Community Hall,257 ,14 ,228 ,242 ,587 ,21 ,"2,024 ",316 ,143 ,"1,312 ",,,,,"5,144 "
P0701,香港道教聯合會圓玄學院第二中學,HKTA The Yuen Yuen Institute No. 2 Secondary School,225 ,17 ,223 ,303 ,500 ,25 ,"1,425 ",399 ,200 ,"1,086 ",,,,,"4,403 "
P0801,廣福社區會堂,Kwong Fuk Community Hall,143 ,7 ,340 ,197 ,478 ,12 ,380 ,288 ,109 ,"1,497 ",,,,,"3,451 "
P0802,大埔崇德黃建常紀念學校,Sung Tak Wong Kin Sheung Memorial School,127 ,1 ,105 ,121 ,148 ,11 ,208 ,326 ,83 ,367 ,,,,,"1,497 "
P0901,大埔浸信會公立學校,Tai Po Baptist Public School,210 ,21 ,272 ,272 ,487 ,30 ,402 ,426 ,133 ,"1,687 ",,,,,"3,940 "
P1001,香港教師會李興貴中學,Hong Kong Teachers' Association Lee Heng Kwei Secondary School,382 ,19 ,293 ,363 ,452 ,38 ,454 ,767 ,233 ,898 ,,,,,"3,899 "
P1002,保良局田家炳千禧小學,PLK Tin Ka Ping Millennium Primary School,94 ,0 ,47 ,37 ,59 ,4 ,63 ,120 ,37 ,136 ,,,,,597 
P1101,運頭塘鄰里社區中心,Wan Tau Tong Neighbourhood Community Centre,325 ,14 ,293 ,378 ,629 ,26 ,645 ,625 ,243 ,"1,021 ",,,,,"4,199 "
P1201,挪威國際學校 (前大埔師範紀念學校),Norwegian International School (Former Tai Po Normal School Memorial School),69 ,1 ,58 ,73 ,93 ,8 ,83 ,143 ,40 ,156 ,,,,,724 
P1302,獅子會林村青年中心,Lions Club Lam Tsuen Youth Centre,99 ,5 ,97 ,105 ,202 ,20 ,124 ,191 ,78 ,610 ,,,,,"1,531 "
P1303,泰亨公立學校,Tai Hang Public School,23 ,2 ,30 ,32 ,51 ,2 ,38 ,79 ,36 ,205 ,,,,,498 
P1401,神召會康樂中學,Assembly of God Hebron Secondary School,213 ,11 ,262 ,268 ,522 ,34 ,479 ,515 ,177 ,"1,405 ",,,,,"3,886 "
P1501,太和鄰里社區中心,Tai Wo Neighbourhood Community Centre,219 ,11 ,256 ,267 ,529 ,31 ,572 ,369 ,187 ,"1,313 ",,,,,"3,754 "
P1601,佛教慈航智林紀念中學,Buddhist Chi Hong Chi Lam Memorial College,267 ,11 ,282 ,431 ,371 ,29 ,479 ,641 ,192 ,567 ,,,,,"3,270 "
P1701,大埔頭及水圍青少年中心 (前啟智學校),Tai Po Tau and Shui Wai Youth Centre (Former Kai Chi School),171 ,7 ,132 ,202 ,124 ,22 ,196 ,361 ,98 ,275 ,,,,,"1,588 "
P1702,育賢學校,Yuk Yin School,27 ,0 ,28 ,34 ,39 ,4 ,31 ,56 ,22 ,232 ,,,,,473 
P1703,康樂園國際學校,Hong Lok Yuen International School,185 ,4 ,65 ,56 ,59 ,8 ,66 ,133 ,37 ,144 ,,,,,757 
P1801,大美督村公所,Tai Mei Tuk Village Office,71 ,3 ,42 ,52 ,97 ,8 ,78 ,136 ,37 ,251 ,,,,,775 
P1802,船灣詹屋村村公所,Shuen Wan Chim Uk Village Office,160 ,12 ,114 ,154 ,201 ,10 ,190 ,252 ,70 ,449 ,,,,,"1,612 "
P1901,香港浸信會神學院,Hong Kong Baptist Theological Seminary,266 ,11 ,162 ,199 ,190 ,29 ,242 ,284 ,182 ,241 ,,,,,"1,806 "
Q 西貢區 SAI KUNG DISTRICT,,,,,,,,,,,,,,,,,
Q0101,西貢賽馬會大會堂,The Sai Kung Jockey Club Town Hall,336 ,9 ,366 ,267 ,464 ,34 ,252 ,419 ,197 ,"1,275 ",,,,,"3,619 "
Q0102,萬宜漁村公共會堂,Man Yee Fishermen Estate Community Hall,52 ,1 ,35 ,31 ,67 ,5 ,46 ,51 ,36 ,210 ,,,,,534 
Q0201,西貢中心小學,Sai Kung Central Primary School,259 ,8 ,154 ,119 ,170 ,11 ,128 ,220 ,72 ,499 ,,,,,"1,640 "
Q0401,港澳信義會小學,Hong Kong and Macau Lutheran Church Primary School,383 ,16 ,376 ,285 ,488 ,27 ,278 ,475 ,191 ,"1,260 ",,,,,"3,779 "
Q0501,新界西貢坑口區鄭植之中學,Cheng Chek Chee Secondary School of Sai Kung & Hang Hau District N.T.,196 ,3 ,155 ,115 ,174 ,11 ,127 ,206 ,70 ,424 ,,,,,"1,481 "
Q0601,將軍澳循道衛理小學,Tseung Kwan O Methodist Primary School,256 ,7 ,272 ,220 ,331 ,15 ,271 ,331 ,199 ,589 ,,,,,"2,491 "
Q0602,啟思中學,Creative Secondary School,140 ,5 ,130 ,157 ,127 ,23 ,126 ,281 ,108 ,187 ,,,,,"1,284 "
Q0701,香港基督教女青年會將軍澳綜合社會服務處,Hong Kong Young Women's Christian Association Tseung Kwan O Integrated Social Service Centre,519 ,28 ,520 ,543 ,455 ,76 ,420 ,"1,096 ",313 ,548 ,,,,,"4,518 "
Q0801,香海正覺蓮社佛教正覺中學,HHCKLA Buddhist Ching Kok Secondary School,181 ,4 ,204 ,108 ,422 ,15 ,673 ,162 ,142 ,"1,024 ",,,,,"2,935 "
Q0901,寶覺中學,Po Kok Secondary School,213 ,11 ,169 ,177 ,398 ,17 ,277 ,202 ,152 ,772 ,,,,,"2,388 "
Q1001,博愛醫院八十週年鄧英喜中學,POH 80th Anniversary Tang Ying Hei College,390 ,10 ,316 ,411 ,413 ,30 ,589 ,577 ,241 ,662 ,,,,,"3,639 "
Q1101,佛教志蓮小學,Chi Lin Buddhist Primary School,468 ,19 ,537 ,504 ,515 ,64 ,839 ,704 ,355 ,894 ,,,,,"4,899 "
Q1201,保良局馮晴紀念小學,PLK Fung Ching Memorial Primary School,744 ,28 ,565 ,588 ,649 ,84 ,854 ,889 ,455 ,"1,054 ",,,,,"5,910 "
Q1301,翠林體育館 (主場),Tsui Lam Sports Centre (Arena),66 ,4 ,98 ,64 ,130 ,9 ,162 ,79 ,54 ,196 ,,,,,862 
Q1302,景嶺書院,King Ling College,207 ,6 ,184 ,136 ,200 ,15 ,225 ,181 ,104 ,368 ,,,,,"1,626 "
Q1303,聖公會將軍澳基德小學,SKH Tseung Kwan O Kei Tak Primary School,217 ,14 ,192 ,284 ,265 ,25 ,422 ,379 ,143 ,375 ,,,,,"2,316 "
Q1401,翠林社區會堂,Tsui Lam Community Hall,274 ,15 ,429 ,255 ,665 ,42 ,672 ,294 ,210 ,"1,270 ",,,,,"4,126 "
Q1501,迦密主恩中學,Carmel Divine Grace Foundation Secondary School,337 ,15 ,387 ,297 ,699 ,42 ,587 ,284 ,205 ,"1,187 ",,,,,"4,040 "
Q1601,寶林邨文娛活動會堂,Po Lam Multipurpose Hall,477 ,18 ,530 ,491 ,604 ,64 ,610 ,698 ,360 ,"1,127 ",,,,,"4,979 "
Q1701,順德聯誼總會梁潔華小學,STFA Leung Kit Wah Primary School,430 ,16 ,418 ,529 ,512 ,65 ,758 ,667 ,302 ,791 ,,,,,"4,488 "
Q1801,香海正覺蓮社佛教黃藻森學校,HHCKLA Buddhist Wong Cho Sum School,454 ,20 ,435 ,275 ,734 ,45 ,630 ,322 ,238 ,"1,452 ",,,,,"4,605 "
Q1901,天主教鳴遠中學,Catholic Ming Yuen Secondary School,367 ,12 ,321 ,245 ,513 ,41 ,412 ,372 ,219 ,"1,035 ",,,,,"3,537 "
Q2001,港澳信義會慕德中學,HKMLC Queen Maud Secondary School,327 ,5 ,374 ,325 ,391 ,26 ,338 ,435 ,216 ,695 ,,,,,"3,132 "
Q2101,仁濟醫院陳耀星小學,Yan Chai Hospital Chan Iu Seng Primary School,462 ,13 ,398 ,418 ,605 ,40 ,550 ,471 ,316 ,"1,307 ",,,,,"4,580 "
Q2201,尚德社區會堂,Sheung Tak Community Hall,166 ,10 ,295 ,184 ,479 ,19 ,313 ,174 ,129 ,"1,521 ",,,,,"3,290 "
Q2301,博愛醫院陳國威小學,POH Chan Kwok Wai Primary School,305 ,15 ,595 ,367 ,498 ,33 ,504 ,480 ,241 ,"1,240 ",,,,,"4,278 "
R 沙田區 SHA TIN DISTRICT,,,,,,,,,,,,,,,,,
R0101,沙田大會堂,Sha Tin Town Hall,335 ,13 ,402 ,417 ,442 ,39 ,390 ,485 ,217 ,635 ,,,,,"3,375 "
R0102,沙田官立中學,Sha Tin Government Secondary School,51 ,4 ,67 ,88 ,81 ,5 ,102 ,101 ,53 ,137 ,,,,,689 
R0103,基督教香港信義會沙田信義幼稚園,ELCHK Shatin Lutheran Kindergarten,100 ,5 ,75 ,95 ,56 ,14 ,91 ,134 ,56 ,119 ,,,,,745 
R0201,瀝源社區會堂,Lek Yuen Community Hall,186 ,1 ,234 ,190 ,361 ,19 ,212 ,229 ,119 ,788 ,,,,,"2,339 "
R0301,禾輋社區會堂,Wo Che Community Hall,312 ,12 ,527 ,290 ,692 ,48 ,401 ,298 ,196 ,"1,678 ",,,,,"4,454 "
R0401,浸信會呂明才小學,Baptist Lui Ming Choi Primary School,459 ,7 ,562 ,785 ,419 ,70 ,380 ,802 ,340 ,712 ,,,,,"4,536 "
R0501,五旬節林漢光中學,Pentecostal Lam Hon Kwong School,306 ,11 ,420 ,626 ,441 ,63 ,381 ,679 ,307 ,689 ,,,,,"3,923 "
R0601,慈航學校,Chi Hong Primary School,334 ,5 ,235 ,265 ,277 ,22 ,204 ,203 ,130 ,325 ,,,,,"2,000 "
R0602,富豪花園商場之有蓋走廊,The Covered Corridor of the Belair Gardens Shopping Arcade,329 ,5 ,206 ,254 ,179 ,43 ,172 ,279 ,140 ,317 ,,,,,"1,924 "
R0701,佛教覺光法師中學,Buddhist Kok Kwong Secondary School,232 ,11 ,418 ,355 ,504 ,31 ,299 ,217 ,233 ,"1,363 ",,,,,"3,663 "
R0801,博康社區會堂,Pok Hong Community Hall,247 ,14 ,631 ,534 ,698 ,49 ,470 ,408 ,285 ,"2,163 ",,,,,"5,499 "
R0901,聖母無玷聖心書院,Immaculate Heart of Mary College,197 ,8 ,426 ,373 ,464 ,24 ,345 ,275 ,222 ,"1,375 ",,,,,"3,709 "
R1001,秦石社區會堂,Chun Shek Community Hall,194 ,7 ,420 ,368 ,514 ,29 ,359 ,311 ,203 ,"1,432 ",,,,,"3,837 "
R1101,新田圍社區會堂,Sun Tin Wai Community Hall,204 ,6 ,220 ,437 ,357 ,22 ,206 ,177 ,126 ,790 ,,,,,"2,545 "
R1201,九龍城浸信會禧年 (恩平) 小學,KCBC Hay Nien (Yan Ping) Primary School,205 ,14 ,399 ,368 ,512 ,46 ,463 ,316 ,196 ,"1,120 ",,,,,"3,639 "
R1301,香港中文大學校友會聯會張煊昌學校,CUHKFAA Thomas Cheung School,163 ,10 ,379 ,178 ,268 ,42 ,211 ,240 ,124 ,450 ,,,,,"2,065 "
R1302,顯徑體育館,Hin Keng Sports Centre,242 ,10 ,611 ,213 ,423 ,48 ,277 ,210 ,164 ,762 ,,,,,"2,960 "
R1401,東莞工商總會劉百樂中學,GCCITKD Lau Pak Lok Secondary School,242 ,14 ,337 ,285 ,333 ,23 ,323 ,297 ,148 ,640 ,,,,,"2,642 "
R1402,保良局王賜豪 (田心谷) 小學,PLK Dr. Jimmy Wong Chi-Ho (Tin Sum Valley) Primary School,192 ,14 ,410 ,316 ,421 ,34 ,336 ,296 ,182 ,"1,020 ",,,,,"3,221 "
R1501,顯徑鄰里社區中心,Hin Keng Neighbourhood Community Centre,262 ,14 ,565 ,229 ,451 ,37 ,303 ,218 ,186 ,866 ,,,,,"3,131 "
R1502,才俊學校,Choi Jun School,144 ,5 ,89 ,106 ,63 ,10 ,84 ,142 ,63 ,159 ,,,,,865 
R1601,隆亨社區中心,Lung Hang Estate Community Centre,247 ,13 ,488 ,345 ,496 ,32 ,357 ,291 ,187 ,"1,129 ",,,,,"3,585 "
R1701,沙田崇真中學,Shatin Tsung Tsin Secondary School,159 ,6 ,301 ,266 ,444 ,16 ,402 ,214 ,131 ,"1,166 ",,,,,"3,105 "
R1801,佛教黃允畋中學,Buddhist Wong Wan Tin College,155 ,9 ,210 ,189 ,345 ,23 ,675 ,172 ,114 ,981 ,,,,,"2,873 "
R1901,美林體育館,Mei Lam Sports Centre,269 ,10 ,393 ,396 ,485 ,47 ,607 ,399 ,238 ,"1,498 ",,,,,"4,342 "
R1902,美田社區會堂,Mei Tin Community Hall,184 ,6 ,255 ,237 ,313 ,22 ,276 ,360 ,156 ,567 ,,,,,"2,376 "
R2001,保良局蕭漢森小學,PLK Siu Hon Sum Primary School,335 ,9 ,440 ,334 ,404 ,33 ,301 ,738 ,243 ,905 ,,,,,"3,742 "
R2101,賽馬會體藝中學,Jockey Club Ti-I College,276 ,0 ,296 ,285 ,299 ,26 ,186 ,382 ,318 ,389 ,,,,,"2,457 "
R2201,香港沙田香港中文大學富爾敦樓103室,"Room 103, John Fulton Centre, The Chinese University of Hong Kong",110 ,2 ,66 ,74 ,99 ,5 ,57 ,103 ,49 ,99 ,,,,,664 
R2202,仁愛堂香港台山商會第二長者活動中心,Yan Oi Tong Hong Kong Toi Shan Association No. 2 Elderly Centre,344 ,4 ,220 ,340 ,177 ,31 ,181 ,462 ,233 ,308 ,,,,,"2,300 "
R2301,香港中文大學校友會聯會陳震夏中學,CUHKFAA Chan Chun Ha Secondary School,138 ,4 ,220 ,261 ,434 ,30 ,783 ,238 ,158 ,"1,949 ",,,,,"4,215 "
R2302,香港中國婦女會馮堯敬紀念中學,HKCWC Fung Yiu King Memorial Secondary School,246 ,5 ,305 ,409 ,304 ,104 ,390 ,409 ,171 ,572 ,,,,,"2,915 "
R2401,宣道會台山陳元喜小學,Christian Alliance Toi Shan H C Chan Primary School,272 ,5 ,272 ,431 ,375 ,49 ,606 ,531 ,205 ,"1,212 ",,,,,"3,958 "
R2501,香港道教聯合會純陽小學,HKTA Shun Yeung Primary School,182 ,7 ,192 ,278 ,184 ,152 ,208 ,279 ,135 ,391 ,,,,,"2,008 "
R2502,仁濟醫院董之英紀念中學,YCH Tung Chi Ying Memorial Secondary School,307 ,6 ,336 ,430 ,324 ,204 ,328 ,490 ,184 ,520 ,,,,,"3,129 "
R2601,馬鞍山靈糧小學,Ma On Shan Ling Liang Primary School,280 ,13 ,434 ,342 ,517 ,69 ,604 ,315 ,160 ,"1,315 ",,,,,"4,049 "
R2701,明愛馬鞍山中學,Caritas Ma On Shan Secondary School,448 ,20 ,512 ,596 ,647 ,118 ,616 ,551 ,267 ,"1,353 ",,,,,"5,128 "
R2801,吳氏宗親總會泰伯紀念學校,Ng Clan's Association Tai Pak Memorial School,294 ,10 ,377 ,302 ,411 ,56 ,292 ,272 ,188 ,775 ,,,,,"2,977 "
R2901,育才中學 (沙田),Sir Ellis Kadoorie Secondary School (Sha Tin),268 ,13 ,631 ,308 ,642 ,55 ,424 ,337 ,155 ,"1,562 ",,,,,"4,395 "
R3001,馬鞍山聖若瑟小學,Ma On Shan St. Joseph's Primary School,284 ,13 ,704 ,302 ,548 ,30 ,339 ,296 ,166 ,"1,055 ",,,,,"3,737 "
R3101,德信中學,Tak Sun Secondary School,288 ,9 ,399 ,669 ,504 ,63 ,598 ,559 ,232 ,"1,039 ",,,,,"4,360 "
R3102,恆安社區中心,Heng On Estate Community Centre,170 ,12 ,389 ,318 ,408 ,32 ,260 ,229 ,135 ,723 ,,,,,"2,676 "
R3201,九龍城浸信會禧年小學,Kowloon City Baptist Church Hay Nien Primary School,309 ,15 ,285 ,356 ,448 ,49 ,860 ,321 ,215 ,758 ,,,,,"3,616 "
R3301,林大輝中學,Lam Tai Fai College,260 ,6 ,349 ,417 ,450 ,44 ,365 ,523 ,207 ,"1,043 ",,,,,"3,664 "
R3401,路德會梁鉅鏐小學,Leung Kui Kau Lutheran Primary School,374 ,8 ,302 ,529 ,276 ,28 ,278 ,478 ,190 ,404 ,,,,,"2,867 "
R3402,世界龍岡學校黃耀南小學,LKWFSL Wong Yiu Nam Primary School,250 ,8 ,273 ,435 ,351 ,41 ,313 ,450 ,182 ,711 ,,,,,"3,014 "
R3601,廣源社區會堂,Kwong Yuen Community Hall,350 ,13 ,482 ,547 ,697 ,60 ,529 ,548 ,312 ,"1,727 ",,,,,"5,265 "
