,,,候選人名單編號 Candidiates List Number,,,,,,,,,,,,,,
B0501,港灣婦女會,Wan Chai District Women's Association,18 ,320 ,311 ,93 ,372 ,20 ,150 ,937 ,690 ,8 ,,,,,"2,919 "
B0601,中華基督教會公理高中書院,CCC Kung Lee College,37 ,219 ,223 ,45 ,293 ,9 ,170 ,"1,097 ",807 ,8 ,,,,,"2,908 "
B0701,禮頓山社區會堂,Leighton Hill Community Hall,34 ,305 ,230 ,50 ,351 ,6 ,152 ,"1,023 ",707 ,6 ,,,,,"2,864 "
B0801,黃泥涌體育館,Wong Nai Chung Sports Centre,14 ,331 ,237 ,71 ,336 ,17 ,171 ,"1,019 ",665 ,8 ,,,,,"2,869 "
B0901,聖公會聖雅各小學,SKH St. James' Primary School,19 ,138 ,100 ,17 ,142 ,8 ,55 ,429 ,245 ,4 ,,,,,"1,157 "
B0902,瑪利曼中學,Marymount Secondary School,33 ,105 ,94 ,11 ,186 ,5 ,70 ,516 ,422 ,4 ,,,,,"1,446 "
B1001,灣仔郵政局,Wan Chai Post Office,16 ,227 ,251 ,79 ,407 ,11 ,142 ,772 ,562 ,1 ,,,,,"2,468 "
B1101,循道衛理中心,Methodist Centre,17 ,293 ,279 ,84 ,662 ,10 ,197 ,806 ,495 ,11 ,,,,,"2,854 "
C 東區 EASTERN DISTRICT,,,,,,,,,,,,,,,,,
C0101,東區少年警訊會所,Eastern District JPC Club House,12 ,410 ,474 ,94 ,475 ,18 ,222 ,"1,201 ",928 ,23 ,,,,,"3,857 "
C0201,太古城郵政局,Tai Koo Shing Post Office,10 ,292 ,305 ,71 ,314 ,17 ,197 ,977 ,661 ,23 ,,,,,"2,867 "
C0202,地利亞修女紀念學校 (太古城),Delia Memorial School (Taikoo Shing),11 ,506 ,471 ,108 ,462 ,24 ,306 ,"1,350 ",886 ,29 ,,,,,"4,153 "
C0301,西灣河健康中心,Sai Wan Ho Health Centre,12 ,424 ,311 ,87 ,411 ,24 ,347 ,"1,241 ",746 ,20 ,,,,,"3,623 "
C0401,筲箕灣郵政局,Shau Kei Wan Post Office,12 ,272 ,286 ,142 ,560 ,17 ,223 ,703 ,450 ,27 ,,,,,"2,692 "
C0501,中華基督教會基灣小學 (愛蝶灣),CCC Kei Wan Primary School (Aldrich Bay),36 ,686 ,965 ,271 ,"1,580 ",36 ,555 ,"1,590 ","1,046 ",67 ,,,,,"6,832 "
C0601,筲箕灣崇真學校,Shaukiwan Tsung Tsin School,7 ,301 ,309 ,148 ,722 ,19 ,280 ,755 ,566 ,37 ,,,,,"3,144 "
C0701,嶺南中學,Lingnan Secondary School,25 ,769 ,615 ,168 ,712 ,28 ,417 ,"2,082 ","1,325 ",32 ,,,,,"6,173 "
C0801,聖公會李福慶中學,SKH Li Fook Hing Secondary School,10 ,312 ,320 ,262 ,"1,056 ",21 ,286 ,700 ,817 ,97 ,,,,,"3,881 "
C0901,中華基金中學,The Chinese Foundation Secondary School,31 ,499 ,530 ,146 ,534 ,20 ,316 ,"1,410 ","1,258 ",55 ,,,,,"4,799 "
C1001,東華三院李志雄紀念小學 (柴灣),TWGHs Lee Chi Hung Memorial Primary School (Chai Wan),81 ,408 ,601 ,209 ,"1,338 ",23 ,345 ,938 ,788 ,130 ,,,,,"4,861 "
C1101,福建中學 (小西灣),Fukien Secondary School (Siu Sai Wan),25 ,588 ,743 ,222 ,966 ,30 ,370 ,"1,459 ",989 ,79 ,,,,,"5,471 "
C1201,港九街坊婦女會環翠幼稚園,HK & KKWA Wan Tsui Kindergarten,10 ,369 ,364 ,161 ,"1,052 ",22 ,342 ,772 ,666 ,232 ,,,,,"3,990 "
C1301,文理書院 (香港),Cognitio College (Hong Kong),6 ,232 ,219 ,107 ,665 ,21 ,152 ,446 ,459 ,974 ,,,,,"3,281 "
C1401,鰂魚涌體育館,Quarry Bay Sports Centre,16 ,469 ,538 ,147 ,"1,566 ",18 ,238 ,"1,154 ",906 ,63 ,,,,,"5,115 "
C1501,閩僑中學,Man Kiu College,55 ,352 ,280 ,68 ,471 ,28 ,222 ,"1,283 ",944 ,7 ,,,,,"3,710 "
C1601,保良局蔡繼有學校 (天后分校),PLK Choi Kai Yau School (Tin Hau Campus),2 ,121 ,119 ,23 ,156 ,7 ,45 ,373 ,253 ,5 ,,,,,"1,104 "
C1602,香港真光中學,True Light Middle School of Hong Kong,5 ,185 ,301 ,79 ,324 ,12 ,169 ,398 ,405 ,15 ,,,,,"1,893 "
C1701,金文泰中學,Clementi Secondary School,33 ,442 ,339 ,93 ,654 ,22 ,213 ,"1,254 ",819 ,15 ,,,,,"3,884 "
C1801,皇仁書院,Queen's College,13 ,263 ,309 ,88 ,537 ,24 ,165 ,844 ,623 ,5 ,,,,,"2,871 "
C1901,銅鑼灣社區中心,Causeway Bay Community Centre,11 ,372 ,365 ,112 ,718 ,16 ,176 ,"1,005 ",715 ,9 ,,,,,"3,499 "
C2001,保良局余李慕芬紀念學校,PLK Yu Lee Mo Fan Memorial School,45 ,585 ,631 ,155 ,"1,680 ",29 ,299 ,"1,751 ","1,251 ",21 ,,,,,"6,447 "
C2002,渣華道體育館,Java Road Sports Centre,11 ,301 ,292 ,79 ,"1,328 ",11 ,141 ,617 ,594 ,20 ,,,,,"3,394 "
C2101,蘇浙小學,Kiangsu & Chekiang Primary School,7 ,187 ,164 ,23 ,367 ,12 ,67 ,489 ,295 ,5 ,,,,,"1,616 "
C2201,香港遊樂場協會賽馬會北角港運城青少年綜合服務中心,HKPA Jockey Club North Point Island Place Integrated Service for Children & Youth Centre,26 ,619 ,487 ,123 ,"1,809 ",36 ,303 ,"1,308 ",991 ,17 ,,,,,"5,719 "
C2301,北角街坊會陳維周夫人紀念學校,NPKFA Madam Chan Wai Chow Memorial School,13 ,429 ,396 ,122 ,631 ,26 ,201 ,"1,016 ",769 ,10 ,,,,,"3,613 "
C2401,香港遊樂場協會賽馬會北角健康村青少年綜合服務中心,HKPA Jockey Club North Point Healthy Village Integrated Service for Children & Youth Centre,7 ,323 ,330 ,107 ,635 ,20 ,197 ,772 ,525 ,17 ,,,,,"2,933 "
C2501,北角官立小學,North Point Government Primary School,9 ,361 ,371 ,118 ,703 ,23 ,194 ,905 ,598 ,40 ,,,,,"3,322 "
C2701,佛教中華康山學校,Buddhist Chung Wah Kornhill Primary School,18 ,607 ,564 ,124 ,587 ,34 ,312 ,"2,043 ","1,166 ",61 ,,,,,"5,516 "
C2801,鰂魚涌社區會堂,Quarry Bay Community Hall,21 ,844 ,878 ,190 ,933 ,37 ,455 ,"2,305 ","1,540 ",106 ,,,,,"7,309 "
C2901,青松興東幼稚園,Ching Chung Hing Tung Kindergarten,9 ,249 ,308 ,127 ,634 ,19 ,218 ,566 ,473 ,51 ,,,,,"2,654 "
C2902,東熹苑逸熹閣B座地下,"G/F, Yat Hei House (Block B), Tung Hei Court",6 ,374 ,402 ,123 ,392 ,26 ,261 ,848 ,624 ,30 ,,,,,"3,086 "
C3001,西灣河體育館,Sai Wan Ho Sports Centre,22 ,685 ,577 ,225 ,841 ,41 ,708 ,"1,570 ","1,197 ",56 ,,,,,"5,922 "
C3101,勵志會梁李秀娛紀念小學,The Endeavourers Leung Lee Sau Yu Memorial Primary School,7 ,146 ,238 ,107 ,590 ,10 ,136 ,354 ,284 ,23 ,,,,,"1,895 "
C3102,筲箕灣街坊福利事務促進會,Shaukiwan Kai-fong Welfare Advancement Association,4 ,217 ,197 ,80 ,314 ,8 ,141 ,419 ,286 ,15 ,,,,,"1,681 "
C3201,循道愛華村服務中心社會福利部-愛華青少年綜合服務隊 (耀東服務處),"Methodist Epworth Village Community Centre, Social Welfare-Epworth Integrated Youth Team (Yiu Tung Base)",13 ,295 ,399 ,148 ,"1,195 ",22 ,285 ,778 ,546 ,53 ,,,,,"3,734 "
C3301,粵南信義會腓力堂興民幼兒學園,Lutheran Philip House Hing Man Nursery School,10 ,203 ,215 ,137 ,544 ,22 ,167 ,473 ,295 ,182 ,,,,,"2,248 "
C3302,路德會聖雅各幼稚園,St. James Lutheran Kindergarten,18 ,203 ,227 ,111 ,976 ,12 ,142 ,394 ,417 ,403 ,,,,,"2,903 "
C3401,天主教明德學校,Meng Tak Catholic School,4 ,342 ,251 ,444 ,541 ,13 ,327 ,802 ,550 ,35 ,,,,,"3,309 "
C3501,柴灣母嬰健康院,Chai Wan Maternal & Child Health Centre,15 ,369 ,336 ,188 ,551 ,20 ,273 ,940 ,751 ,132 ,,,,,"3,575 "
C3601,漁灣社區會堂,Yue Wan Community Hall,17 ,385 ,345 ,149 ,"1,067 ",21 ,256 ,788 ,560 ,174 ,,,,,"3,762 "
C3701,香港中華基督教青年會柴灣會所,Chinese YMCA of Hong Kong Chai Wan Centre,450 ,238 ,356 ,136 ,613 ,14 ,149 ,514 ,419 ,55 ,,,,,"2,944 "
D 南區 SOUTHERN DISTRICT,,,,,,,,,,,,,,,,,
D0101,香港仔體育館,Aberdeen Sports Centre,16 ,584 ,777 ,153 ,713 ,40 ,461 ,"1,382 ","1,084 ",15 ,,,,,"5,225 "
D0201,鴨脷洲社區會堂,Ap Lei Chau Community Hall,14 ,269 ,914 ,148 ,"1,106 ",24 ,291 ,614 ,545 ,17 ,,,,,"3,942 "
D0301,鴨脷洲體育館,Ap Lei Chau Sports Centre,11 ,318 ,323 ,122 ,449 ,17 ,193 ,705 ,473 ,10 ,,,,,"2,621 "
D0302,香港真光書院,Hong Kong True Light College,14 ,254 ,353 ,80 ,248 ,10 ,200 ,623 ,510 ,7 ,,,,,"2,299 "
D0401,聖伯多祿天主教小學,St. Peter's Catholic Primary School,8 ,281 ,654 ,136 ,665 ,27 ,245 ,631 ,541 ,7 ,,,,,"3,195 "
D0501,利東社區會堂,Lei Tung Community Hall,12 ,248 ,691 ,144 ,686 ,29 ,225 ,516 ,579 ,14 ,,,,,"3,144 "
D0601,海怡寶血小學,Precious Blood Primary School (South Horizons),6 ,262 ,239 ,43 ,165 ,10 ,129 ,729 ,600 ,5 ,,,,,"2,188 "
D0701,海怡社區中心,South Horizons Neighbourhood Community Centre,28 ,722 ,981 ,147 ,604 ,34 ,433 ,"2,301 ","1,774 ",21 ,,,,,"7,045 "
D0801,華貴社區會堂,Wah Kwai Community Hall,13 ,495 ,978 ,138 ,"1,174 ",48 ,373 ,"1,043 ",864 ,14 ,,,,,"5,140 "
D0901,明愛莊月明中學,Caritas Chong Yuet Ming Secondary School,13 ,325 ,658 ,127 ,887 ,24 ,251 ,591 ,581 ,14 ,,,,,"3,471 "
D1001,東華三院鶴山學校,TWGHs Hok Shan School,7 ,250 ,865 ,102 ,840 ,12 ,243 ,626 ,562 ,11 ,,,,,"3,518 "
D1101,沙宣道會堂,Sassoon Road Assembly Hall,4 ,93 ,100 ,15 ,63 ,4 ,37 ,294 ,145 ,2 ,,,,,757 
D1102,上碧瑤遊樂場,Upper Baguio Villa Children's Playground,3 ,102 ,147 ,13 ,75 ,10 ,49 ,449 ,368 ,2 ,,,,,"1,218 "
D1103,數碼港郵政局,Cyberport Post Office,6 ,63 ,52 ,8 ,81 ,2 ,25 ,228 ,223 ,2 ,,,,,690 
D1201,職業訓練局薄扶林技能訓練中心,Vocational Training Council Pokfulam Skills Centre,2 ,24 ,55 ,8 ,50 ,3 ,15 ,71 ,151 ,1 ,,,,,380 
D1202,置富會堂,Chi Fu Community Hall,8 ,550 ,671 ,100 ,411 ,23 ,345 ,"1,669 ","1,229 ",22 ,,,,,"5,028 "
D1301,明愛賽馬會香港仔服務中心,Caritas Jockey Club Aberdeen Social Centre,2 ,120 ,148 ,47 ,280 ,9 ,80 ,266 ,219 ,1 ,,,,,"1,172 "
D1302,聖公會田灣始南小學,SKH Tin Wan Chi Nam Primary School,61 ,307 ,431 ,107 ,792 ,24 ,244 ,621 ,539 ,12 ,,,,,"3,138 "
D1401,香港仔聖伯多祿天主教小學,Aberdeen St. Peter's Catholic Primary School,38 ,378 ,773 ,196 ,"1,905 ",25 ,422 ,794 ,742 ,18 ,,,,,"5,291 "
D1501,香港仔網球及壁球中心,Aberdeen Tennis and Squash Centre,8 ,128 ,246 ,51 ,190 ,17 ,128 ,319 ,262 ,3 ,,,,,"1,352 "
D1502,新會商會陳白沙紀念中學,SWCS Chan Pak Sha School,14 ,268 ,834 ,78 ,313 ,20 ,183 ,667 ,506 ,12 ,,,,,"2,895 "
D1601,南島中學,South Island School,19 ,50 ,62 ,6 ,125 ,3 ,39 ,240 ,211 ,3 ,,,,,758 
D1602,香港國際學校,Hong Kong International School,12 ,50 ,51 ,3 ,101 ,6 ,45 ,254 ,209 ,0 ,,,,,731 
D1701,赤柱社區會堂,Stanley Community Hall,179 ,278 ,340 ,72 ,664 ,25 ,128 ,756 ,529 ,7 ,,,,,"2,978 "
D1702,石澳健康院,Shek O Health Centre,4 ,52 ,144 ,23 ,252 ,2 ,33 ,85 ,41 ,3 ,,,,,639 
