,,,候選人名單編號 Candidiates List Number,,,,,,,,,,,,,,
Counting Station 點票站,,,1 ,2 ,3 ,4 ,5 ,6 ,7 ,8 ,9 ,10 ,11 ,12 ,13 ,14 ,Total 總數
LC001,國際展貿中心,Hongkong International Trade & Exhibition Centre,0 ,0 ,0 ,0 ,1 ,1 ,0 ,1 ,1 ,0 ,,,,,4 
A 中西區 CENTRAL AND WESTERN DISTRICT,,,,,,,,,,,,,,,,,
A0101,聖公會基恩小學,SKH Kei Yan Primary School,7 ,183 ,452 ,45 ,358 ,22 ,108 ,527 ,433 ,4 ,,,,,"2,139 "
A0102,香港公園體育館,Hong Kong Park Sports Centre,2 ,43 ,30 ,3 ,55 ,1 ,25 ,131 ,88 ,0 ,,,,,378 
A0201,高主教書院,Raimondi College,20 ,348 ,545 ,84 ,390 ,16 ,235 ,"1,307 ",869 ,15 ,,,,,"3,829 "
A0301,英華女學校,Ying Wa Girls' School,37 ,390 ,453 ,54 ,380 ,10 ,198 ,"1,395 ",868 ,11 ,,,,,"3,796 "
A0401,聖保羅男女中學,St. Paul's Co-educational College,37 ,118 ,133 ,20 ,224 ,6 ,68 ,687 ,487 ,1 ,,,,,"1,781 "
A0402,德國瑞士國際學校,German Swiss International School,14 ,50 ,37 ,5 ,79 ,1 ,26 ,268 ,161 ,0 ,,,,,641 
A0501,聖士提反女子中學,St. Stephen's Girls' College,23 ,451 ,526 ,81 ,456 ,22 ,264 ,"1,608 ","1,034 ",13 ,,,,,"4,478 "
A0601,香港基督教女青年會西環綜合社會服務處,HKYWCA Western District Integrated Social Service Centre,14 ,378 ,547 ,98 ,863 ,13 ,236 ,923 ,537 ,10 ,,,,,"3,619 "
A0701,士美非路體育館,Smithfield Sports Centre,9 ,314 ,544 ,116 ,"1,158 ",17 ,206 ,967 ,530 ,13 ,,,,,"3,874 "
A0801,堅尼地城社區綜合大樓 (綜合用途室),Kennedy Town Community Complex (Multi-purpose Function Room),9 ,422 ,576 ,131 ,891 ,25 ,286 ,"1,036 ",721 ,15 ,,,,,"4,112 "
A0901,聖雅各福群會寶翠園幼兒中心,St. James' Settlement Belcher Child Care Centre,19 ,501 ,758 ,151 ,"1,092 ",28 ,272 ,"1,561 ",921 ,14 ,,,,,"5,317 "
A1001,石塘咀體育館,Shek Tong Tsui Sports Centre,12 ,505 ,782 ,196 ,"1,489 ",39 ,343 ,"1,136 ",986 ,21 ,,,,,"5,509 "
A1101,義務工作發展局義工服務中心,Agency for Volunteer Service Volunteer Action Centre,5 ,207 ,395 ,95 ,768 ,17 ,133 ,494 ,444 ,7 ,,,,,"2,565 "
A1201,上環郵政局,Sheung Wan Post Office,25 ,242 ,"1,126 ",88 ,693 ,21 ,174 ,695 ,617 ,7 ,,,,,"3,688 "
A1301,英皇書院同學會小學,King's College Old Boys' Association Primary School,5 ,155 ,338 ,46 ,202 ,11 ,74 ,479 ,285 ,9 ,,,,,"1,604 "
A1302,樂善堂梁銶琚書院,Lok Sin Tong Leung Kau Kui College,2 ,61 ,193 ,23 ,159 ,3 ,35 ,159 ,127 ,4 ,,,,,766 
A1401,基督教香港崇真會救恩堂及救恩學校,Tsung Tsin Mission of Hong Kong Kau Yan Church and Kau Yan School,14 ,396 ,662 ,106 ,614 ,24 ,214 ,957 ,697 ,17 ,,,,,"3,701 "
A1501,西營盤郵政局,Sai Ying Pun Post Office,12 ,377 ,530 ,80 ,514 ,17 ,205 ,826 ,655 ,14 ,,,,,"3,230 "
B 灣仔區 WAN CHAI DISTRICT,,,,,,,,,,,,,,,,,
B0101,軒尼詩道官立小學,Hennessy Road Government Primary School,10 ,291 ,311 ,130 ,522 ,20 ,227 ,707 ,560 ,22 ,,,,,"2,800 "
B0201,鄧肇堅維多利亞官立中學,Tang Shiu Kin Victoria Government Secondary School,8 ,259 ,259 ,112 ,585 ,9 ,182 ,677 ,536 ,9 ,,,,,"2,636 "
B0301,香港基督教服務處時代幼兒學校,Hong Kong Christian Service Times Nursery School,15 ,223 ,280 ,104 ,587 ,14 ,107 ,531 ,384 ,11 ,,,,,"2,256 "
B0401,灣仔區文娛康樂體育會,"Wan Chai District Arts, Cultural, Recreational & Sports Association",22 ,330 ,391 ,95 ,545 ,24 ,163 ,868 ,671 ,15 ,,,,,"3,124 "
