,Unnamed: 0,topic_id,member_id,vote,name-en,name-ch,vote-date,vote-time,motion-en,motion-ch,mover-en,mover-ch,mover-type,vote-separate-mechanism,vote-time-h
65590,65590,30/10/2013-9,TSANG Yok-sing,Present,TSANG Yok-sing,曾鈺成,30/10/2013,23:29:47,"AMENDMENT BY HON LEE CHEUK-YAN TO HON GARY FAN'S MOTION ON ""ADHERING TO THE NEED TO 'PUT HONG KONG PEOPLE FIRST' IN FORMULATING POLICIES"" AS AMENDED BY HON KENNETH LEUNG",李卓人議員對范國威議員就「制訂政策時需以'港人優先'為依歸」所提，經梁繼昌議員修正的議案，作出的修正案,LEE Cheuk-yan,李卓人,Member,Yes,23.0
65660,65660,30/10/2013-10,TSANG Yok-sing,Present,TSANG Yok-sing,曾鈺成,30/10/2013,23:32:03,"AMENDMENT BY DR HON FERNANDO CHEUNG TO HON GARY FAN'S MOTION ON ""ADHERING TO THE NEED TO 'PUT HONG KONG PEOPLE FIRST' IN FORMULATING POLICIES"" AS AMENDED BY HON KENNETH LEUNG",張超雄議員對范國威議員就「制訂政策時需以'港人優先'為依歸」所提，經梁繼昌議員修正的議案，作出的修正案,Dr Fernando CHEUNG,張超雄,Member,Yes,23.0
65730,65730,30/10/2013-11,TSANG Yok-sing,Present,TSANG Yok-sing,曾鈺成,30/10/2013,23:34:20,"MOTION MOVED BY HON GARY FAN ON ""ADHERING TO THE NEED TO 'PUT HONG KONG PEOPLE FIRST' IN FORMULATING POLICIES"" AS AMENDED BY HON KENNETH LEUNG",范國威議員動議，經梁繼昌議員修正的「制訂政策時需以'港人優先'為依歸」議案,Gary FAN,范國威,Member,Yes,23.0
66150,66150,07/11/2013-6,TSANG Yok-sing,Present,TSANG Yok-sing,曾鈺成,07/11/2013,23:07:27,"AMENDMENT BY HON MRS REGINA IP TO HON ALBERT CHAN'S MOTION ON ""IMPOSING ECONOMIC SANCTIONS ON THE PHILIPPINES AND RESTORING HONG KONG PEOPLE'S DIGNITY"" AS AMENDED BY HON ALICE MAK / HON SIN CHUNG-KAI",葉劉淑儀議員對陳偉業議員就「經濟制裁菲律賓，還港人尊嚴」所提，經麥美娟議員／單仲偕議員修正的議案，作出的修正案,Mrs Regina IP,葉劉淑儀,Member,Yes,23.0
66360,66360,13/11/2013-3,TSANG Yok-sing,Present,TSANG Yok-sing,曾鈺成,13/11/2013,23:06:20,"AMENDMENT BY HON POON SIU-PING TO HON KWOK WAI-KEUNG'S MOTION ON ""OPPOSING THE EXPANSION OF LABOUR IMPORTATION""",潘兆平議員對郭偉強議員的「反對擴大輸入外地勞工」議案作出的修正案,POON Siu-ping,潘兆平,Member,Yes,23.0
66430,66430,13/11/2013-4,TSANG Yok-sing,Present,TSANG Yok-sing,曾鈺成,13/11/2013,23:09:11,"AMENDMENT BY HON FRANKIE YICK TO HON KWOK WAI-KEUNG'S MOTION ON ""OPPOSING THE EXPANSION OF LABOUR IMPORTATION""",易志明議員對郭偉強議員的「反對擴大輸入外地勞工」議案作出的修正案,Frankie YICK,易志明,Member,Yes,23.0
66500,66500,13/11/2013-5,TSANG Yok-sing,Present,TSANG Yok-sing,曾鈺成,13/11/2013,23:11:13,"AMENDMENT BY DR HON CHIANG LAI-WAN TO HON KWOK WAI-KEUNG'S MOTION ON ""OPPOSING THE EXPANSION OF LABOUR IMPORTATION""",蔣麗芸議員對郭偉強議員的「反對擴大輸入外地勞工」議案作出的修正案,Dr CHIANG Lai-wan,蔣麗芸,Member,Yes,23.0
66570,66570,13/11/2013-6,TSANG Yok-sing,Present,TSANG Yok-sing,曾鈺成,13/11/2013,23:13:10,"AMENDMENT BY HON LEE CHEUK-YAN TO HON KWOK WAI-KEUNG'S MOTION ON ""OPPOSING THE EXPANSION OF LABOUR IMPORTATION""",李卓人議員對郭偉強議員的「反對擴大輸入外地勞工」議案作出的修正案,LEE Cheuk-yan,李卓人,Member,Yes,23.0
66640,66640,13/11/2013-7,TSANG Yok-sing,Present,TSANG Yok-sing,曾鈺成,13/11/2013,23:16:23,"MOTION ON ""OPPOSING THE EXPANSION OF LABOUR IMPORTATION""",「反對擴大輸入外地勞工」議案,KWOK Wai-keung,郭偉强,Member,Yes,23.0
67060,67060,20/11/2013-6,TSANG Yok-sing,Present,TSANG Yok-sing,曾鈺成,20/11/2013,23:53:35,"AMENDMENT BY HON CLAUDIA MO TO DR HON FERNANDO CHEUNG'S MOTION ON ""SETTING UP A COMMISSION ON CHILDREN"" AS AMENDED BY DR HON KENNETH CHAN",毛孟靜議員對張超雄議員就「設立兒童事務委員會」所提，經陳家洛議員修正的議案，作出的修正案,Claudia MO,毛孟靜,Member,Yes,23.0
