,,,候選人名單編號 Candidiates List Number,,,,,,,
P1801,大美督村公所,Tai Mei Tuk Village Office,9,39,587,6,56,145,436,1278
P1802,船灣詹屋村村公所,Shuen Wan Chim Uk Village Office,17,57,841,9,92,235,646,1897
P1803,香港教育學院賽馬會小學,The Hong Kong Institute of Education Jockey Club Primary School,2,42,290,2,30,49,286,701
P1901,香港浸信會神學院,Hong Kong Baptist Theological Seminary,17,140,920,14,185,246,1081,2603
,,,,,,,,,,
Q,西貢區,SAI KUNG DISTRICT,,,,,,,,
Q0101,西貢賽馬會大會堂,The Sai Kung Jockey Club Town Hall,19,78,1529,13,413,394,1243,3689
Q0102,萬宜漁村公共會堂,Man Yee Fishermen Village Community Hall,4,14,364,2,61,68,215,728
Q0201,前西貢中心小學,Ex-Sai Kung Central Primary School,14,82,1042,7,372,260,1038,2815
Q0401,港澳信義會小學,Hong Kong and Macau Lutheran Church Primary School,6,59,740,13,255,226,811,2110
Q0501,新界西貢坑口區鄭植之中學,"Cheng Chek Chee Secondary School of Sai Kung & Hang Hau District, N.T.",10,42,702,10,185,178,651,1778
Q0601,播道書院,Evangel College,15,89,1273,6,636,488,1406,3913
Q0701,香港基督教女青年會將軍澳綜合社會服務處,HKYWCA Tseung Kwan O Integrated Social Service Centre,9,181,1020,16,802,285,1923,4236
Q0801,將軍澳香島中學,Heung To Secondary School (Tseung Kwan O),7,90,880,8,601,260,991,2837
Q0901,香海正覺蓮社佛教正覺中學,HHCKLA Buddhist Ching Kok Secondary School,10,44,1090,14,395,650,883,3086
Q1001,寶覺中學,Po Kok Secondary School,10,111,1457,12,523,878,1267,4258
Q1101,港澳信義會明道小學,Hong Kong and Macau Lutheran Church Ming Tao Primary School,13,137,1355,11,620,482,1791,4409
Q1201,仁濟醫院王華湘中學,YCH Wong Wha San Secondary School,18,147,1552,24,767,588,1752,4848
Q1301,將軍澳運動場,Tseung Kwan O Sports Ground,9,113,908,10,585,268,1487,3380
Q1401,將軍澳官立小學,Tseung Kwan O Government Primary School,15,182,1552,20,768,646,1995,5178
Q1501,翠林體育館,Tsui Lam Sports Centre,4,13,283,2,160,151,333,946
Q1502,景嶺書院,King Ling College,15,56,551,8,280,182,581,1673
Q1601,翠林社區會堂,Tsui Lam Community Hall,16,78,1371,10,563,843,1361,4242
Q1701,迦密主恩中學,Carmel Divine Grace Foundation Secondary School,16,132,1651,18,697,1011,1750,5275
Q1801,寶林邨文娛活動會堂,Po Lam Multipurpose Hall,27,216,1730,23,770,773,2188,5727
Q1901,順德聯誼總會梁潔華小學,STFA Leung Kit Wah Primary School,40,275,1773,20,974,770,2582,6434
Q1902,東華三院王余家潔紀念小學,TWGHs Wong Yee Jar Jat Memorial Primary School,18,107,713,11,309,264,1075,2497
Q2001,景林鄰里社區中心,King Lam Neighbourhood Community Centre,29,96,2065,16,545,993,1510,5254
Q2101,天主教鳴遠中學,Catholic Ming Yuen Secondary School,17,117,1825,12,701,1010,1604,5286
Q2201,港澳信義會慕德中學,Hong Kong and Macau Lutheran Church Queen Maud Secondary School,12,170,1751,23,753,627,1800,5136
Q2301,仁濟醫院陳耀星小學,YCH Chan Iu Seng Primary School,32,167,1986,29,892,872,2024,6002
Q2401,尚德社區會堂,Sheung Tak Community Hall,9,49,1652,12,293,1325,1162,4502
Q2501,香港道教聯合會圓玄學院第三中學,HKTA The Yuen Yuen Institute No.3 Secondary School,11,96,2070,23,566,768,1795,5329
Q2601,啓思中學,Creative Secondary School,5,36,367,9,505,148,676,1746
Q2602,康城社區會堂,Lohas Park Community Hall,10,124,1224,14,1483,408,1559,4822
,,,,,,,,,,
R,沙田區,SHA TIN DISTRICT,,,,,,,,
R0101,東華三院馮黃鳳亭中學,TWGHs Mrs. Fung Wong Fung Ting College,9,72,450,9,115,217,778,1650
R0102,沙田官立中學,Sha Tin Government Secondary School,12,216,803,20,177,352,1422,3002
