year,dc,ps,gc,electors,0830,0930,1030,1130,1230,1330,1430,1530,1630,1730,1830,1930,2030,2130,2230
2004,A,A0101,LC1,"5,246 ",83 ,219 ,449 ,674 ,880 ,"1,071 ","1,339 ","1,561 ","1,780 ","1,963 ","2,155 ","2,326 ","2,504 ","2,658 ","2,843 "
2004,A,A0102,LC1,"4,317 ",47 ,123 ,249 ,395 ,605 ,839 ,"1,025 ","1,269 ","1,515 ","1,707 ","1,868 ","2,038 ","2,201 ","2,352 ","2,544 "
2004,A,A0201,LC1,"7,814 ",87 ,299 ,533 ,968 ,"1,379 ","1,764 ","2,118 ","2,419 ","2,724 ","2,953 ","3,283 ","3,597 ","3,890 ","4,244 ","4,723 "
2004,A,A0301,LC1,"7,005 ",68 ,230 ,352 ,501 ,992 ,"1,254 ","1,506 ","1,771 ","2,037 ","2,339 ","2,624 ","2,876 ","3,158 ","3,486 ","4,208 "
2004,A,A0401,LC1,"1,031 ",14 ,33 ,61 ,125 ,179 ,237 ,282 ,336 ,400 ,455 ,505 ,541 ,575 ,595 ,643 
2004,A,A0501,LC1,"8,082 ",107 ,293 ,581 ,975 ,"1,397 ","1,848 ","2,213 ","2,632 ","3,016 ","3,336 ","3,704 ","4,057 ","4,367 ","4,656 ","5,098 "
2004,A,A0601,LC1,"5,910 ",113 ,278 ,518 ,858 ,"1,167 ","1,419 ","1,691 ","1,973 ","2,249 ","2,504 ","2,741 ","2,947 ","3,197 ","3,392 ","3,614 "
2004,A,A0701,LC1,"4,335 ",69 ,228 ,419 ,621 ,840 ,"1,012 ","1,221 ","1,365 ","1,524 ","1,697 ","1,881 ","2,025 ","2,170 ","2,356 ","2,588 "
2004,A,A0801,LC1,"10,885 ",113 ,384 ,809 ,"1,248 ","1,698 ","2,205 ","2,701 ","3,147 ","3,618 ","4,137 ","4,607 ","5,037 ","5,549 ","5,946 ","6,478 "
2004,A,A0901,LC1,"9,589 ",114 ,301 ,641 ,"1,090 ","1,574 ","2,042 ","2,548 ","3,049 ","3,405 ","3,883 ","4,280 ","4,738 ","5,169 ","5,587 ","6,230 "
2004,A,A1001,LC1,"9,549 ",139 ,385 ,708 ,"1,132 ","1,603 ","1,959 ","2,354 ","2,726 ","3,119 ","3,501 ","3,951 ","4,342 ","4,749 ","5,123 ","5,572 "
2004,A,A1101,LC1,"8,489 ",100 ,306 ,596 ,915 ,"1,275 ","1,564 ","1,837 ","2,175 ","2,489 ","2,793 ","3,114 ","3,439 ","3,777 ","4,075 ","4,554 "
2004,A,A1201,LC1,"7,057 ",84 ,294 ,598 ,929 ,"1,282 ","1,635 ","1,932 ","2,354 ","2,588 ","2,811 ","3,100 ","3,386 ","3,676 ","3,954 ","4,201 "
2004,A,A1301,LC1,"5,250 ",88 ,245 ,421 ,631 ,876 ,"1,127 ","1,383 ","1,548 ","1,835 ","2,018 ","2,226 ","2,417 ","2,595 ","2,716 ","2,931 "
2004,A,A1401,LC1,"6,152 ",96 ,245 ,483 ,860 ,"1,190 ","1,516 ","1,823 ","2,054 ","2,308 ","2,563 ","2,795 ","3,034 ","3,284 ","3,501 ","3,757 "
2004,A,A1501,LC1,"5,417 ",76 ,224 ,429 ,662 ,924 ,"1,206 ","1,460 ","1,738 ","1,989 ","2,203 ","2,463 ","2,703 ","2,974 ","3,172 ","3,398 "
2004,B,B0101,LC1,"6,315 ",69 ,223 ,463 ,750 ,"1,027 ","1,268 ","1,509 ","1,794 ","2,049 ","2,283 ","2,500 ","2,728 ","2,924 ","3,088 ","3,299 "
2004,B,B0201,LC1,"5,876 ",88 ,236 ,464 ,746 ,"1,087 ","1,260 ","1,540 ","1,818 ","2,066 ","2,261 ","2,435 ","2,612 ","2,794 ","2,968 ","3,168 "
2004,B,B0301,LC1,"5,737 ",51 ,207 ,438 ,669 ,877 ,"1,062 ","1,302 ","1,531 ","1,748 ","1,955 ","2,157 ","2,303 ","2,484 ","2,638 ","2,814 "
2004,B,B0401,LC1,"8,835 ",77 ,259 ,555 ,953 ,"1,341 ","1,723 ","2,092 ","2,442 ","2,778 ","3,113 ","3,393 ","3,646 ","3,912 ","4,146 ","4,428 "
2004,B,B0501,LC1,"5,357 ",78 ,211 ,510 ,781 ,"1,061 ","1,275 ","1,600 ","1,851 ","2,092 ","2,287 ","2,476 ","2,670 ","2,839 ","3,012 ","3,213 "
2004,B,B0601,LC1,"5,569 ",71 ,184 ,386 ,635 ,960 ,"1,238 ","1,474 ","1,737 ","2,028 ","2,297 ","2,505 ","2,698 ","2,903 ","3,102 ","3,397 "
2004,B,B0701,LC1,"4,695 ",48 ,151 ,319 ,559 ,888 ,"1,117 ","1,397 ","1,626 ","1,885 ","2,063 ","2,241 ","2,444 ","2,600 ","2,783 ","2,984 "
2004,B,B0801,LC1,"8,057 ",93 ,279 ,548 ,917 ,"1,351 ","1,703 ","2,057 ","2,485 ","2,847 ","3,168 ","3,485 ","3,721 ","4,026 ","4,288 ","4,578 "
2004,B,B0901,LC1,"3,600 ",57 ,123 ,216 ,376 ,560 ,779 ,914 ,"1,078 ","1,227 ","1,365 ","1,493 ","1,651 ","1,780 ","1,916 ","2,065 "
2004,B,B1001,LC1,"4,841 ",76 ,184 ,358 ,572 ,807 ,"1,014 ","1,203 ","1,400 ","1,605 ","1,759 ","1,951 ","2,080 ","2,263 ","2,391 ","2,525 "
