age_group,category,a,b,c,d,hki_total,e,f,g,klw_total,h,j,kle_total,k,l,m,s,t,ntw_total,n,p,q,r,nte_total,total
18-20,F,605,296,"1,894",952,"3,747",646,"1,132","1,001","2,779","1,502","1,936","3,438",816,"2,589","2,706","1,896",312,"8,319","1,477","1,585","1,515","2,593","7,170","25,453"
18-20,M,642,272,"1,839",851,"3,604",698,"1,082",984,"2,764","1,656","2,174","3,830",876,"2,586","2,606","1,964",346,"8,378","1,504","1,520","1,657","2,603","7,284","25,860"
18-20,Sub-total,"1,247",568,"3,733","1,803","7,351","1,344","2,214","1,985","5,543","3,158","4,110","7,268","1,692","5,175","5,312","3,860",658,"16,697","2,981","3,105","3,172","5,196","14,454","51,313"
21-25,F,"2,866","1,296","8,516","4,272","16,950","2,694","4,511","4,017","11,222","6,368","8,641","15,009","3,404","8,865","7,845","8,144","1,511","29,769","5,751","6,446","5,742","11,446","29,385","102,335"
21-25,M,"2,718","1,223","8,073","4,122","16,136","2,675","4,287","3,753","10,715","6,164","8,868","15,032","3,125","8,635","7,594","7,624","1,339","28,317","5,379","6,088","5,295","10,860","27,622","97,822"
21-25,Sub-total,"5,584","2,519","16,589","8,394","33,086","5,369","8,798","7,770","21,937","12,532","17,509","30,041","6,529","17,500","15,439","15,768","2,850","58,086","11,130","12,534","11,037","22,306","57,007","200,157"
26-30,F,"3,787","1,951","10,665","4,553","20,956","4,195","5,190","5,379","14,764","7,280","10,227","17,507","4,946","10,912","9,036","9,599","1,796","36,289","4,759","5,553","7,230","13,366","30,908","120,424"
26-30,M,"3,607","1,914","10,881","4,674","21,076","4,480","5,341","5,431","15,252","7,572","10,762","18,334","5,028","11,950","9,196","10,106","1,906","38,186","5,135","5,755","6,866","14,085","31,841","124,689"
26-30,Sub-total,"7,394","3,865","21,546","9,227","42,032","8,675","10,531","10,810","30,016","14,852","20,989","35,841","9,974","22,862","18,232","19,705","3,702","74,475","9,894","11,308","14,096","27,451","62,749","245,113"
31-35,F,"4,622","2,462","12,221","5,223","24,528","5,225","5,561","6,546","17,332","8,317","10,682","18,999","6,409","8,964","10,191","11,039","2,324","38,927","4,843","4,716","10,450","12,494","32,503","132,289"
31-35,M,"4,374","2,478","12,322","5,386","24,560","5,797","6,102","7,038","18,937","8,955","11,815","20,770","6,491","9,723","10,839","12,754","2,286","42,093","4,973","4,894","9,965","13,064","32,896","139,256"
31-35,Sub-total,"8,996","4,940","24,543","10,609","49,088","11,022","11,663","13,584","36,269","17,272","22,497","39,769","12,900","18,687","21,030","23,793","4,610","81,020","9,816","9,610","20,415","25,558","65,399","271,545"
