age_group,category,a,b,c,d,hki_total,e,f,g,klw_total,h,j,kle_total,k,l,m,s,t,ntw_total,n,p,q,r,nte_total,total
36-40,F,"5,157","2,811","13,773","6,167","27,908","4,865","5,743","7,208","17,816","9,455","12,100","21,555","6,698","10,459","11,718","10,440","2,663","41,978","6,766","6,080","10,699","13,694","37,239","146,496"
36-40,M,"4,697","2,688","12,961","5,936","26,282","5,435","6,157","7,025","18,617","10,087","13,107","23,194","6,439","9,679","11,747","11,877","2,703","42,445","6,189","5,411","10,440","12,250","34,290","144,828"
36-40,Sub-total,"9,854","5,499","26,734","12,103","54,190","10,300","11,900","14,233","36,433","19,542","25,207","44,749","13,137","20,138","23,465","22,317","5,366","84,423","12,955","11,491","21,139","25,944","71,529","291,324"
41-45,F,"6,725","3,592","19,598","8,677","38,592","5,661","7,920","9,268","22,849","14,158","15,699","29,857","8,719","16,684","15,832","13,238","3,322","57,795","10,129","11,137","13,122","20,909","55,297","204,390"
41-45,M,"6,364","3,365","18,316","8,189","36,234","5,853","8,255","8,958","23,066","14,785","16,738","31,523","8,576","15,170","16,667","13,542","3,574","57,529","9,517","9,117","13,318","18,726","50,678","199,030"
41-45,Sub-total,"13,089","6,957","37,914","16,866","74,826","11,514","16,175","18,226","45,915","28,943","32,437","61,380","17,295","31,854","32,499","26,780","6,896","115,324","19,646","20,254","26,440","39,635","105,975","403,420"
46-50,F,"6,871","4,042","19,797","8,775","39,485","5,680","9,049","9,025","23,754","13,760","16,214","29,974","7,670","18,170","14,390","14,152","3,143","57,525","10,418","12,267","12,125","22,825","57,635","208,373"
46-50,M,"7,084","3,854","19,732","8,836","39,506","5,926","9,662","9,186","24,774","15,166","16,979","32,145","8,214","17,574","17,718","14,611","3,683","61,800","10,762","11,922","13,328","21,942","57,954","216,179"
46-50,Sub-total,"13,955","7,896","39,529","17,611","78,991","11,606","18,711","18,211","48,528","28,926","33,193","62,119","15,884","35,744","32,108","28,763","6,826","119,325","21,180","24,189","25,453","44,767","115,589","424,552"
51-55,F,"5,999","3,762","16,885","7,202","33,848","5,163","7,448","8,108","20,719","10,181","13,878","24,059","6,124","15,113","10,054","11,976","2,355","45,622","6,841","8,480","8,301","19,055","42,677","166,925"
51-55,M,"6,229","3,806","17,000","7,514","34,549","5,538","8,436","7,865","21,839","10,979","14,144","25,123","6,291","15,447","12,541","12,036","2,981","49,296","8,320","9,429","9,484","18,650","45,883","176,690"
51-55,Sub-total,"12,228","7,568","33,885","14,716","68,397","10,701","15,884","15,973","42,558","21,160","28,022","49,182","12,415","30,560","22,595","24,012","5,336","94,918","15,161","17,909","17,785","37,705","88,560","343,615"
56-60,F,"4,699","3,196","14,192","5,656","27,743","4,638","5,835","7,305","17,778","7,927","11,365","19,292","4,948","8,679","6,106","10,684","1,584","32,001","3,742","4,632","5,758","13,042","27,174","123,988"
56-60,M,"5,488","3,488","14,754","5,902","29,632","4,941","6,698","7,225","18,864","8,189","11,505","19,694","5,213","11,333","8,258","10,251","2,144","37,199","5,166","6,044","6,852","14,574","32,636","138,025"
56-60,Sub-total,"10,187","6,684","28,946","11,558","57,375","9,579","12,533","14,530","36,642","16,116","22,870","38,986","10,161","20,012","14,364","20,935","3,728","69,200","8,908","10,676","12,610","27,616","59,810","262,013"
61-65,F,"2,305","1,765","7,611","3,082","14,763","2,796","3,593","4,782","11,171","5,317","7,706","13,023","3,158","3,766","3,358","6,993",833,"18,108","2,026","2,239","3,220","6,224","13,709","70,774"
61-65,M,"2,717","1,997","8,482","3,248","16,444","3,392","4,369","5,000","12,761","5,745","9,247","14,992","3,625","6,427","5,132","8,521","1,151","24,856","3,036","3,312","4,006","8,517","18,871","87,924"
61-65,Sub-total,"5,022","3,762","16,093","6,330","31,207","6,188","7,962","9,782","23,932","11,062","16,953","28,015","6,783","10,193","8,490","15,514","1,984","42,964","5,062","5,551","7,226","14,741","32,580","158,698"
66-70,F,"2,353","1,841","7,903","3,334","15,431","3,010","4,175","4,971","12,156","7,056","8,532","15,588","2,903","3,319","3,443","6,256",890,"16,811","2,231","2,205","2,909","5,717","13,062","73,048"
66-70,M,"2,855","2,054","8,921","3,600","17,430","3,687","5,316","5,536","14,539","6,780","10,521","17,301","3,582","5,045","4,649","8,454","1,150","22,880","2,831","2,907","3,587","7,415","16,740","88,890"
66-70,Sub-total,"5,208","3,895","16,824","6,934","32,861","6,697","9,491","10,507","26,695","13,836","19,053","32,889","6,485","8,364","8,092","14,710","2,040","39,691","5,062","5,112","6,496","13,132","29,802","161,938"
71 or above,F,"5,588","4,642","19,696","9,407","39,333","6,767","12,558","10,976","30,301","21,240","22,144","43,384","5,788","8,229","9,431","13,591","2,894","39,933","7,124","6,347","6,828","14,631","34,930","187,881"
71 or above,M,"6,331","4,907","18,377","8,555","38,170","7,848","13,089","11,529","32,466","18,675","22,675","41,350","6,366","8,042","9,433","14,290","2,624","40,755","6,283","5,638","6,261","13,435","31,617","184,358"
71 or above,Sub-total,"11,919","9,549","38,073","17,962","77,503","14,615","25,647","22,505","62,767","39,915","44,819","84,734","12,154","16,271","18,864","27,881","5,518","80,688","13,407","11,985","13,089","28,066","66,547","372,239"
Total,F,"51,577","31,656","152,751","67,300","303,284","51,340","72,715","78,586","202,641","112,561","139,124","251,685","61,583","115,749","104,110","118,008","23,627","423,077","66,107","71,687","87,899","155,996","381,689","1,562,376"
Total,M,"53,106","32,046","151,658","66,813","303,623","56,270","78,794","79,530","214,594","114,753","148,535","263,288","63,826","121,611","116,380","126,030","25,887","453,734","69,095","72,037","91,059","156,121","388,312","1,623,551"
Grand Total,,"104,683","63,702 304,409 134,113",,,"606,907","107,610 151,509 158,116",,,"417,235","227,314","287,659","514,973","125,409","237,360","220,490","244,038 49,514",,"876,811","135,202 143,724 178,958 312,117",,,,"770,001","3,185,927"
