age_group,category,a,b,c,d,hki_total,e,f,g,klw_total,h,j,kle_total,k,l,m,s,t,ntw_total,n,p,q,r,nte_total,total
18-20,F,800,365,"2,506","1,114","4,785",835,"1,494","1,343","3,672","2,325","2,938","5,263","1,205","3,225","3,603","2,714",520,"11,267","2,309","2,327","2,302","3,636","10,574","35,561"
18-20,M,831,336,"2,332","1,129","4,628",848,"1,416","1,236","3,500","2,310","2,878","5,188","1,233","3,268","3,638","2,663",595,"11,397","2,289","2,233","2,207","3,477","10,206","34,919"
18-20,Sub-total,"1,631",701,"4,838","2,243","9,413","1,683","2,910","2,579","7,172","4,635","5,816","10,451","2,438","6,493","7,241","5,377","1,115","22,664","4,598","4,560","4,509","7,113","20,780","70,480"
21-25,F,"2,720","1,221","7,966","4,029","15,936","2,593","4,296","3,912","10,801","6,087","8,210","14,297","3,273","8,387","8,040","7,846","1,528","29,074","5,640","6,237","5,919","10,494","28,290","98,398"
21-25,M,"2,664","1,136","7,669","3,907","15,376","2,585","4,209","3,735","10,529","6,046","8,590","14,636","3,099","8,224","8,011","7,390","1,374","28,098","5,362","5,914","5,525","10,089","26,890","95,529"
21-25,Sub-total,"5,384","2,357","15,635","7,936","31,312","5,178","8,505","7,647","21,330","12,133","16,800","28,933","6,372","16,611","16,051","15,236","2,902","57,172","11,002","12,151","11,444","20,583","55,180","193,927"
26-30,F,"3,592","1,850","10,582","4,663","20,687","4,011","5,264","5,291","14,566","7,341","10,442","17,783","4,896","11,234","9,361","9,499","1,896","36,886","5,362","6,151","6,872","13,691","32,076","121,998"
26-30,M,"3,448","1,821","10,536","4,657","20,462","4,277","5,394","5,167","14,838","7,556","10,758","18,314","4,826","12,076","9,551","9,800","1,907","38,160","5,686","6,355","6,565","14,164","32,770","124,544"
26-30,Sub-total,"7,040","3,671","21,118","9,320","41,149","8,288","10,658","10,458","29,404","14,897","21,200","36,097","9,722","23,310","18,912","19,299","3,803","75,046","11,048","12,506","13,437","27,855","64,846","246,542"
31-35,F,"4,646","2,467","12,067","5,264","24,444","5,345","5,896","6,573","17,814","8,299","10,862","19,161","6,472","9,490","10,584","11,136","2,433","40,115","4,821","4,960","10,231","13,039","33,051","134,585"
31-35,M,"4,324","2,453","12,385","5,458","24,620","5,880","6,247","6,942","19,069","8,821","12,160","20,981","6,630","10,723","11,228","12,711","2,384","43,676","5,048","5,240","9,761","13,957","34,006","142,352"
31-35,Sub-total,"8,970","4,920","24,452","10,722","49,064","11,225","12,143","13,515","36,883","17,120","23,022","40,142","13,102","20,213","21,812","23,847","4,817","83,791","9,869","10,200","19,992","26,996","67,057","276,937"
36-40,F,"5,023","2,713","13,309","5,881","26,926","5,019","5,779","7,121","17,919","8,985","11,857","20,842","6,730","9,742","11,630","10,460","2,745","41,307","6,327","5,541","10,851","12,870","35,589","142,583"
36-40,M,"4,586","2,595","12,512","5,749","25,442","5,583","6,252","7,200","19,035","9,443","12,571","22,014","6,522","9,006","11,494","12,071","2,633","41,726","5,813","5,056","10,487","11,671","33,027","141,244"
36-40,Sub-total,"9,609","5,308","25,821","11,630","52,368","10,602","12,031","14,321","36,954","18,428","24,428","42,856","13,252","18,748","23,124","22,531","5,378","83,033","12,140","10,597","21,338","24,541","68,616","283,827"
41-45,F,"6,473","3,401","18,405","8,313","36,592","5,742","7,726","9,028","22,496","13,369","15,377","28,746","8,617","15,679","15,955","13,071","3,529","56,851","9,796","10,268","13,037","19,414","52,515","197,200"
41-45,M,"5,967","3,183","16,930","7,735","33,815","5,930","7,863","8,435","22,228","13,504","15,980","29,484","8,195","13,801","15,745","13,056","3,654","54,451","8,857","8,161","12,883","17,036","46,937","186,915"
41-45,Sub-total,"12,440","6,584","35,335","16,048","70,407","11,672","15,589","17,463","44,724","26,873","31,357","58,230","16,812","29,480","31,700","26,127","7,183","111,302","18,653","18,429","25,920","36,450","99,452","384,115"
46-50,F,"6,961","4,096","20,412","9,158","40,627","5,873","9,348","9,381","24,602","14,685","16,886","31,571","8,259","18,370","15,773","14,647","3,438","60,487","11,022","12,777","13,170","23,291","60,260","217,547"
46-50,M,"7,049","3,745","20,022","9,040","39,856","6,102","9,712","9,341","25,155","15,906","17,647","33,553","8,761","17,699","18,820","15,136","3,985","64,401","11,180","12,038","13,989","22,007","59,214","222,179"
46-50,Sub-total,"14,010","7,841","40,434","18,198","80,483","11,975","19,060","18,722","49,757","30,591","34,533","65,124","17,020","36,069","34,593","29,783","7,423","124,888","22,202","24,815","27,159","45,298","119,474","439,726"
51-55,F,"6,311","3,783","17,482","7,601","35,177","5,376","8,152","8,483","22,011","11,155","14,862","26,017","6,633","16,216","11,502","12,876","2,770","49,997","7,973","9,638","9,417","20,109","47,137","180,339"
51-55,M,"6,452","3,775","17,466","7,814","35,507","5,713","8,915","8,183","22,811","11,790","14,703","26,493","6,752","15,980","14,209","12,721","3,312","52,974","9,092","10,176","10,497","19,234","48,999","186,784"
51-55,Sub-total,"12,763","7,558","34,948","15,415","70,684","11,089","17,067","16,666","44,822","22,945","29,565","52,510","13,385","32,196","25,711","25,597","6,082","102,971","17,065","19,814","19,914","39,343","96,136","367,123"
56-60,F,"5,267","3,538","15,839","6,298","30,942","5,118","6,543","8,074","19,735","8,904","12,648","21,552","5,506","10,731","7,386","11,539","1,972","37,134","4,547","5,676","6,569","15,188","31,980","141,343"
56-60,M,"5,941","3,760","16,193","6,627","32,521","5,428","7,516","7,920","20,864","9,225","12,831","22,056","5,800","13,025","9,720","11,162","2,607","42,314","6,251","7,215","7,809","16,500","37,775","155,530"
56-60,Sub-total,"11,208","7,298","32,032","12,925","63,463","10,546","14,059","15,994","40,599","18,129","25,479","43,608","11,306","23,756","17,106","22,701","4,579","79,448","10,798","12,891","14,378","31,688","69,755","296,873"
61-65,F,"2,658","1,942","8,414","3,541","16,555","3,128","4,062","5,232","12,422","5,808","8,385","14,193","3,580","4,406","3,847","7,919",994,"20,746","2,330","2,649","3,652","7,283","15,914","79,830"
