age_group,category,a,b,c,d,hki_total,e,f,g,klw_total,h,j,kle_total,k,l,m,s,t,ntw_total,n,p,q,r,nte_total,total
61-65,M,"3,097","2,107","8,963","3,584","17,751","3,617","4,714","5,157","13,488","6,069","9,380","15,449","3,916","7,157","5,605","8,790","1,332","26,800","3,389","3,715","4,423","9,352","20,879","94,367"
61-65,Sub-total,"5,755","4,049","17,377","7,125","34,306","6,745","8,776","10,389","25,910","11,877","17,765","29,642","7,496","11,563","9,452","16,709","2,326","47,546","5,719","6,364","8,075","16,635","36,793","174,197"
66-70,F,"2,416","1,807","7,999","3,291","15,513","3,116","4,306","5,068","12,490","6,635","8,705","15,340","2,975","3,390","3,419","6,342",884,"17,010","2,224","2,294","3,010","5,675","13,203","73,556"
66-70,M,"2,804","2,052","8,799","3,537","17,192","3,579","5,241","5,481","14,301","6,593","10,459","17,052","3,599","5,237","4,803","8,497","1,213","23,349","2,864","3,005","3,622","7,501","16,992","88,886"
66-70,Sub-total,"5,220","3,859","16,798","6,828","32,705","6,695","9,547","10,549","26,791","13,228","19,164","32,392","6,574","8,627","8,222","14,839","2,097","40,359","5,088","5,299","6,632","13,176","30,195","162,442"
71 or above,F,"6,181","5,055","21,315","9,919","42,470","7,439","13,695","12,475","33,609","22,737","23,858","46,595","6,277","8,774","10,216","14,600","3,038","42,905","7,700","6,889","7,353","15,595","37,537","203,116"
71 or above,M,"6,707","5,163","19,592","9,064","40,526","8,379","13,970","12,686","35,035","19,399","24,164","43,563","6,820","8,626","10,116","15,250","2,806","43,618","6,635","6,077","6,711","14,356","33,779","196,521"
71 or above,Sub-total,"12,888","10,218","40,907","18,983","82,996","15,818","27,665","25,161","68,644","42,136","48,022","90,158","13,097","17,400","20,332","29,850","5,844","86,523","14,335","12,966","14,064","29,951","71,316","399,637"
Total,F,"53,048","32,238","156,296","69,072","310,654","53,595","76,561","81,981","212,137","116,330","145,030","261,360","64,423","119,644","111,316","122,649","25,747","443,779","70,051","75,407","92,383","160,285","398,126","1,626,056"
Total,M,"53,870","32,126","153,399","68,301","307,696","57,921","81,449","81,483","220,853","116,662","152,121","268,783","66,153","124,822","122,940","129,247","27,802","470,964","72,466","75,185","94,479","159,344","401,474","1,669,770"
Grand Total,,"106,918","64,364","309,695","137,373","618,350","111,516","158,010","163,464","432,990","232,992","297,151","530,143","130,576","244,466","234,256","251,896","53,549","914,743","142,517","150,592","186,862","319,629","799,600","3,295,826"
