age_group,category,a,b,c,d,hki_total,e,f,g,kle_total,h,j,klw_total,k,l,m,s,t,ntw_total,n,p,q,r,nte_total,total
18-20,F,"1,237",601,"4,250","1,912","8,000","1,417","2,480","2,139","6,036","4,052","5,474","9,526","1,946","4,888","6,402","4,308","1,094","18,638","3,738","3,745","4,021","6,204","17,708","59,908"
18-20,M,"1,376",575,"4,401","1,951","8,303","1,554","2,605","2,323","6,482","4,330","5,864","10,194","2,209","5,554","7,095","4,474","1,148","20,480","4,178","4,035","4,396","6,846","19,455","64,914"
18-20,Sub-total,"2,613","1,176","8,651","3,863","16,303","2,971","5,085","4,462","12,518","8,382","11,338","19,720","4,155","10,442","13,497","8,782","2,242","39,118","7,916","7,780","8,417","13,050","37,163","124,822"
21-25,F,"2,370","1,090","7,688","3,648","14,796","2,453","4,242","3,751","10,446","6,047","8,151","14,198","3,224","8,273","9,077","7,538","1,532","29,644","5,830","5,894","6,230","9,946","27,900","96,984"
21-25,M,"2,382","1,063","7,398","3,491","14,334","2,512","4,110","3,657","10,279","6,235","8,311","14,546","3,211","8,609","9,566","7,517","1,580","30,483","5,912","5,869","6,116","9,858","27,755","97,397"
21-25,Sub-total,"4,752","2,153","15,086","7,139","29,130","4,965","8,352","7,408","20,725","12,282","16,462","28,744","6,435","16,882","18,643","15,055","3,112","60,127","11,742","11,763","12,346","19,804","55,655","194,381"
26-30,F,"3,316","1,569","9,843","4,769","19,497","3,443","5,217","4,741","13,401","7,338","10,251","17,589","4,229","10,445","9,534","9,503","1,908","35,619","6,397","6,983","6,781","13,329","33,490","119,596"
26-30,M,"3,070","1,508","9,592","4,734","18,904","3,577","5,327","4,589","13,493","7,403","10,804","18,207","4,114","10,741","9,790","9,225","1,801","35,671","6,386","6,932","6,540","13,358","33,216","119,491"
26-30,Sub-total,"6,386","3,077","19,435","9,503","38,401","7,020","10,544","9,330","26,894","14,741","21,055","35,796","8,343","21,186","19,324","18,728","3,709","71,290","12,783","13,915","13,321","26,687","66,706","239,087"
31-35,F,"4,110","2,147","11,479","4,848","22,584","4,749","5,574","5,842","16,165","7,547","10,755","18,302","5,749","10,590","9,918","10,177","2,222","38,656","4,713","5,207","8,575","13,622","32,117","127,824"
31-35,NI,"3,921","2,001","11,617","5,019","22,558","5,118","5,828","5,974","16,92","7,924","11,724","19,648","5,866","11,906","10,548","11,174","2,194","41,688","5,252","5,502","8,109","14,724","33,587","134,401"
31-35,Sub-total,"8,031","4,148","23,096","9,867","45,142","9,867","11,402","11,816","33,085","15,471","22,479","37,950","11,615","22,496","20,466","21,351","4,416","80,344","9,965","10,709","16,684","28,346","65,704","262,225"
36-40,F,"4,936","2,564","13,177","5,535","26,212","5,516","5,984","7,149","18,649","8,695","11,833","20,528","6,800","8,842","11,259","11,324","2,888","41,113","5,434","4,868","11,049","12,810","34,161","140,663"
36-40,M,"4,381","2,463","12,591","5,505","24,940","5,851","6,116","7,161","19,128","8,756","12,376","21,132","6,718","8,815","11,217","12,651","2,631","42,032","5,229","4,635","10,285","12,321","32,470","139,702"
36-40,Sub-total,"9,317","5,027","25,768","11,040","51,152","11,367","12,100","14,310","37,777","17,451","24,209","41,660","13,518","17,657","22,476","23,975","5,519","83,145","10,663","9,503","21,334","25,13","66,631","280,365"
41-45,F,"5,431","2,959","15,243","7,164","30,797","5,281","6,868","7,658","19,807","10,854","13,943","24,797","7,399","11,791","13,978","11,698","3,334","48,200","7,981","7,183","11,789","15,462","42,415","166,016"
41-45,M,"4,798","2,598","13,658","6,514","27,568","5,499","6,796","7,310","19,614","10,584","13,988","24,572","6,820","10,254","12,833","12,104","3,184","45,195","6,963","5,869","11,014","13,221","37,067","154,016"
