age_group,category,a,b,c,d,hki_total,e,f,g,kle_total,h,j,klw_total,k,l,m,s,t,ntw_total,n,p,q,r,nte_total,total
41-45,Sub-total,"10,229","5,557","28,901","13,678","58,365","10,780","13,664","14,977","39,421","21,438","27,931","49,369","14,219","22,045","26,811","23,802","6,518","93,395","14,944","13,052","22,803","28,683","79,482","320,032"
46-50,F,"6,823","3,630","20,186","9,078","39,717","5,914","8,854","9,423","24,191","14,834","17,458","32,292","8,756","17,592","17,509","14,644","3,982","62,483","11,171","12,141","14,119","22,118","59,549","218,232"
46-50,M,"6,341","3,296","18,436","8,505","36,578","6,010","8,737","9,018","23,765","15,037","17,404","32,441","8,853","15,762","18,305","14,342","4,157","61,419","10,386","9,868","13,795","19,576","53,625","207,828"
46-50,Sub-total,"13,164","6,926","38,622","17,583","76,295","11,924","17,591","18,441","47,956","29,871","34,862","64,733","17,609","33,354","35,814","28,986","8,139","123,902","21,557","22,009","27,914","41,694","113,174","426,060"
51-55,F,"6,532","3,729","19,244","8,744","38,249","5,738","9,454","8,905","24,097","13,405","16,865","30,270","7,597","17,981","14,714","14,731","3,492","58,515","10,362","11,650","11,990","22,313","56,315","207,446"
51-55,M,"6,616","3,534","18,754","8,556","37,460","5,787","9,649","8,530","23,966","13,984","16,819","30,803","7,745","16,941","17,610","14,510","3,990","69,805","10,845","11,569","12,925","21,124","56,463","209,497"
51-55,Sub-total,"13,148","7,263","37,998","17,100","75,709","11,525","19,103","17,435","48,063","27,389","33,684","61,073","15,342","34,922","32,324","29,250","7,482","119,320","21,207","23,219","24,915","43,437","112,778","416,943"
56-60,F,"5,619","3,447","16,703","6,977","32,746","5,200","7,424","8,050","20,674","10,089","14,416","24,505","6,012","14,181","9,808","12,277","2,502","44,780","6,387","7,751","8,206","18,134","40,478","163,183"
56-60,M,"5,772","3,453","16,130","7,132","32,487","5,517","8,197","7,521","21,235","10,287","14,169","24,456","6,102","14,723","12,104","12,015","3,157","43,101","8,027","8,674","9,146","17,758","43,605","169,884"
56-60,Sub-total,"11,391","6,900","32,833","14,109","65,233","10,717","15,621","15,571","41,909","20,376","28,585","43,961","12,114","28,904","21,912","24,292","5,659","92,881","14,414","16,425","17,352","35,892","84,083","333,067"
61-65,F,"4,063","2,697","12,452","5,135","24,347","4,235","5,457","6,656","16,348","7,527","11,275","18,802","4,616","7,246","5,632","10,087","1,556","29,137","3,429","3,985","5,403","11,306","24,123","112,757"
61-65,M,"4,441","2,800","12,655","5,083","24,979","4,261","5,781","6,272","16,314","7,217","10,864","18,081","4,684","9,591","7,506","9,407","2,032","33,220","4,588","5,184","6,203","12,526","28,501","121,095"
61-65,Sub-total,"8,504","5,497","25,107","10,218","49,326","8,496","11,238","12,928","32,662","14,744","22,139","36,853","9,300","0 16,837","13,138","19,494","3,588","62,357","8,017","9,169","11,606","23,832","52,624","233,852"
66-70,F,"2,182","1,608","7,480","3,013","14,283","2,775","3,823","4,539","11,187","5,558","8,376","13,934","3,018","3,568","3,459","6,872",900,"17,817","2,119","2,191","3,189","5,861","13,360","70,581"
66-70,M,"2,463","1,695","8,012","3,092","15,262","3,182","4,465","4,709","12,356","5,898","10,013","15,911","3,492","5,968","5,162","8,435","1,220","24,277","3,039","3,041","3,867","7,914","17,861","85,667"
66-70,Sub-total,"4,645","3,303","15,492","6,105","29,545","5,957","8,288","9,298","23,543","11,456","18,389","29,845","6,510","9,536","8,621","15,307","2,120","42,094","5,158","5,232","7,056","13,775","31,221","156,248"
71 or above,F,"6,879","5,286","23,824","10,802","46,791","8,435","14,725","13,973","37,133","24,576","27,455","52,031","7,379","9,878","11,429","16,762","3,354","48,802","8,395","7,375","8,425","17,339","41,534","226,291"
71 or above,M,"7,231","5,238","21,820","9,914","44,203","9,029","14,702","13,540","37,271","20,212","27,444","47,656","7,838","10,163","11,427","17,823","3,208","50,459","7,423","6,725","7,906","16,576","38,630","218,219"
71 or above,Sub-total,"14,110","10,524","45,644","20,716","90,994","17,464","29,427","27,513","74,404","44,788","54,899","99,687","15,217","20,041","22,856","34,585","6,562","99,261","15,818","14,100","16,331","33,915","80,164","444,510"
Total,F,"53,498","31,327","161,569","71,625","318,019","55,156","80,102","82,876","218,134","120,522","156,252","276,774","66,725","125,275","122,719","129,921","28,764","473,404","75,956","78,973","99,777","168,444","423,150","1,709,481"
Grand Total,,"106,290","61,551","316,633","141,121","625,595","113,053","162,415","163,489","438,957","238,389","316,032","554,421","134,377","254,302","255,882","263,607","59,066","967,234","154,184","156,876","200,079","334,246","845,385","3,431,592"
