age_group,category,a,b,c,d,hki_total,e,f,g,klw_total,h,j,kle_total,k,l,m,s,t,ntw_total,n,p,q,r,nte_total,total
18-20,M,"1,131",486,"3,692","1,551","6,860","1,408","2,380","2,136","5,924","3,592","5,062","8,654","2,188","4,050","5,632","4,006","1,121","16,997","3,218","2,814","3,816","5,866","15,714","54,149"
18-20,F,974,477,"3,529","1,607","6,587","1,291","2,266","2,144","5,701","3,551","4,766","8,317","2,067","3,872","5,576","3,913","1,060","16,488","3,157","2,686","3,556","5,679","15,078","52,171"
18-20,Sub-total,"2,105",963,"7,221","3,158","13,447","2,699","4,646","4,280","11,625","7,143","9,828","16,971","4,255","7,922","11,208","7,919","2,181","33,485","6,375","5,500","7,372","11,545","30,792","106,320"
21-25,M,"2,776","1,221","8,992","4,086","17,075","3,279","5,562","5,087","13,928","8,770","12,086","20,856","4,793","10,978","13,969","9,806","2,502","42,048","8,151","7,782","8,930","13,569","38,432","132,339"
21-25,F,"2,648","1,220","8,770","4,105","16,743","3,121","5,398","4,776","13,295","8,399","11,450","19,849","4,448","9,826","12,959","9,374","2,334","38,941","7,620","7,236","8,515","12,757","36,128","124,956"
21-25,Sub-total,"5,424","2,441","17,762","8,191","33,818","6,400","10,960","9,863","27,223","17,169","23,536","40,705","9,241","20,804","26,928","19,180","4,836","80,989","15,771","15,018","17,445","26,326","74,560","257,295"
26-30,M,"2,638","1,191","8,127","3,923","15,879","3,067","5,055","4,376","12,498","6,772","9,574","16,346","3,809","9,090","10,324","8,624","1,799","33,646","6,244","6,435","7,203","11,339","31,221","109,590"
26-30,F,"2,747","1,196","8,236","3,948","16,127","3,016","4,770","4,385","12,171","6,487","8,994","15,481","3,707","8,770","9,703","8,479","1,706","32,365","6,063","6,260","7,100","11,351","30,774","106,918"
26-30,Sub-total,"5,385","2,387","16,363","7,871","32,006","6,083","9,825","8,761","24,669","13,259","18,568","31,827","7,516","17,860","20,027","17,103","3,505","66,011","12,307","12,695","14,303","22,690","61,995","216,508"
31-35,M,"3,225","1,558","9,867","4,624","19,274","4,079","5,508","5,237","14,824","7,350","11,021","18,371","4,928","11,420","10,774","9,313","1,957","38,392","6,480","6,791","7,517","14,418","35,206","126,067"
31-35,F,"3,389","1,682","9,850","4,543","19,464","3,916","5,406","5,344","14,666","6,993","10,193","17,186","5,073","10,513","10,045","8,974","1,931","36,536","6,002","6,562","7,606","14,029","34,199","122,051"
31-35,Sub-total,"6,614","3,240","19,717","9,167","38,738","7,995","10,914","10,581","29,490","14,343","21,214","35,557","10,001","21,933","20,819","18,287","3,888","74,928","12,482","13,353","15,123","28,447","69,405","248,118"
36-40,M,"3,907","2,031","11,239","4,788","21,965","5,133","5,791","6,501","17,425","7,440","11,471","18,911","6,036","10,439","10,672","10,189","2,204","39,540","4,729","5,108","8,874","13,933","32,644","130,485"
36-40,F,"4,198","2,221","11,481","4,793","22,693","5,052","5,924","6,645","17,621","7,258","11,119","18,377","6,336","9,462","10,608","9,464","2,446","38,316","4,775","4,818","9,636","13,311","32,540","129,547"
36-40,Sub-total,"8,105","4,252","22,720","9,581","44,658","10,185","11,715","13,146","35,046","14,698","22,590","37,288","12,372","19,901","21,280","19,653","4,650","77,856","9,504","9,926","18,510","27,244","65,184","260,032"
41-45,M,"4,068","2,328","11,823","5,169","23,388","5,454","6,004","7,361","18,819","8,101","12,284","20,385","6,374","7,867","10,867","10,910","2,586","38,604","5,037","4,524","10,275","11,675","31,511","132,707"
41-45,F,"4,794","2,577","13,334","5,794","26,499","5,431","6,660","7,677","19,768","9,088","13,149","22,237","6,838","9,017","12,755","10,897","3,418","42,925","6,211","5,230","11,616","13,497","36,554","147,983"
41-45,Sub-total,"8,862","4,905","25,157","10,963","49,887","10,885","12,664","15,038","38,587","17,189","25,433","42,622","13,212","16,884","23,622","21,807","6,004","81,529","11,248","9,754","21,891","25,172","68,065","280,690"
46-50,M,"4,670","2,556","13,498","6,547","27,271","5,259","6,877","7,630","19,766","10,787","14,373","25,160","6,774","10,477","13,628","11,220","3,396","45,495","7,338","6,109","11,646","14,111","39,204","156,896"
46-50,F,"5,278","2,834","15,636","7,372","31,120","5,417","7,545","8,349","21,311","11,950","15,785","27,735","7,814","12,997","16,040","12,224","3,858","52,933","8,996","8,278","12,954","17,131","47,359","180,458"
46-50,Sub-total,"9,948","5,390","29,134","13,919","58,391","10,676","14,422","15,979","41,077","22,737","30,158","52,895","14,588","23,474","29,668","23,444","7,254","98,428","16,334","14,387","24,600","31,242","86,563","337,354"
51-55,M,"5,850","2,936","17,555","8,220","34,561","5,620","8,788","8,913","23,321","14,517","17,607","32,124","8,435","15,676","19,106","14,175","4,145","61,537","10,700","10,555","14,214","20,039","55,508","207,051"
51-55,F,"6,262","3,288","19,473","8,975","37,998","5,791","9,251","9,318","24,360","14,834","18,292","33,126","8,425","17,753","18,246","15,049","4,082","63,555","11,483","12,438","14,771","22,834","61,526","220,565"
