age_group,category,a,b,c,d,hki_total,e,f,g,klw_total,h,j,kle_total,k,l,m,s,t,ntw_total,n,p,q,r,nte_total,total
51-55,Sub-total,"12,112","6,224","37,028","17,195","72,559","11,411","18,039","18,231","47,681","29,351","35,899","65,250","16,860","33,429","37,352","29,224","8,227","125,092","22,183","22,993","28,985","42,873","117,034","427,616"
56-60,M,"5,660","3,027","16,608","7,694","32,989","5,249","9,014","8,155","22,418","12,401","15,987","28,388","7,060","15,836","16,598","13,469","3,802","56,765","10,162","10,705","12,317","19,969","53,153","193,713"
56-60,F,"5,903","3,172","17,635","8,165","34,875","5,382","9,283","8,722","23,387","12,820","17,020","29,840","7,237","17,205","14,462","14,442","3,406","56,752","9,652","11,004","11,614","21,527","53,797","198,651"
56-60,Sub-total,"11,563","6,199","34,243","15,859","67,864","10,631","18,297","16,877","45,805","25,221","33,007","58,228","14,297","33,041","31,060","27,911","7,208","113,517","19,814","21,709","23,931","41,496","106,950","392,364"
61-65,M,"5,047","2,940","14,709","6,425","29,121","5,008","7,742","7,419","20,169","9,476","13,791","23,267","5,581","13,406","11,204","11,431","3,009","44,631","7,277","7,783","8,728","16,599","40,387","157,575"
61-65,F,"4,903","3,053","15,485","6,490","29,931","4,929","7,283","8,126","20,338","9,812","15,006","24,818","5,687","12,765","9,283","12,185","2,411","42,331","5,755","6,751","8,072","17,033","37,611","155,029"
61-65,Sub-total,"9,950","5,993","30,194","12,915","59,052","9,937","15,025","15,545","40,507","19,288","28,797","48,085","11,268","26,171","20,487","23,616","5,420","86,962","13,032","14,534","16,800","33,632","77,998","312,604"
66-70,M,"3,289","2,079","10,231","4,256","19,855","3,537","5,058","5,675","14,270","6,628","10,559","17,187","4,029","8,062","6,784","8,710","1,812","29,397","3,975","4,268","5,488","10,707","24,438","105,147"
66-70,F,"3,157","2,078","10,372","4,455","20,062","3,613","5,125","6,270","15,008","7,076","11,249","18,325","4,137","6,061","5,105","9,608","1,420","26,331","3,049","3,339","4,975","9,796","21,159","100,885"
66-70,Sub-total,"6,446","4,157","20,603","8,711","39,917","7,150","10,183","11,945","29,278","13,704","21,808","35,512","8,166","14,123","11,889","18,318","3,232","55,728","7,024","7,607","10,463","20,503","45,597","206,032"
71 or above,M,"6,931","4,918","22,157","9,820","43,826","8,834","14,432","14,015","37,281","18,996","28,667","47,663","8,304","11,793","12,074","19,550","3,298","55,019","7,614","7,242","9,275","18,547","42,678","226,467"
71 or above,F,"7,011","5,189","24,737","11,022","47,959","8,640","15,021","15,076","38,737","24,020","29,654","53,674","7,967","10,568","11,448","18,836","3,289","52,108","8,313","7,700","9,640","18,255","43,908","236,386"
71 or above,Sub-total,"13,942","10,107","46,894","20,842","91,785","17,474","29,453","29,091","76,018","43,016","58,321","101,337","16,271","22,361","23,522","38,386","6,587","107,127","15,927","14,942","18,915","36,802","86,586","462,853"
Total,M,"49,192","27,271","148,498","67,103","292,064","55,927","82,211","82,505","220,643","114,830","162,482","277,312","68,311","129,094","141,632","131,403","31,631","502,071","80,925","80,116","108,283","170,772","440,096","1,732,186"
Total,F,"51,264","28,987","158,538","71,269","310,058","55,599","83,932","86,832","226,363","122,288","166,677","288,965","69,736","128,809","136,230","133,445","31,361","499,581","81,076","82,302","110,055","177,200","450,633","1,775,600"
Grand Total,,"100,456","56,258","307,036","138,372","602,122","111,526","166,143","169,337","447,006","237,118","329,159","566,277","138,047","257,903","277,862","264,848","62,992","1,001,652","162,001","162,418","218,338","347,972","890,729","3,507,786"
