age_group,category,a,b,c,d,hki_total,e,f,g,kle_total,h,j,klw_total,k,l,m,s,t,ntw_total,n,p,q,r,nte_total,total
18-20,M,"1,244",579,"4,046","1,740","7,609","1,516","2,483","2,245","6,244","4,066","5,644","9,710","2,297","4,478","5,995","4,331","1,187","18,288","3,390","3,076","4,278","6,105","16,849","58,700"
18-20,F,"1,091",487,"3,816","1,753","7,147","1,401","2,342","2,111","5,854","3,943","5,141","9,084","2,270","4,141","5,901","4,219","1,085","17,616","3,494","2,938","3,989","5,959","16,380","56,081"
18-20,Sub-total,"2,335","1,066","7,862","3,493","14,756","2,917","4,825","4,356","12,098","8,009","10,785","18,794","4,567","8,619","11,896","8,550","2,272","35,904","6,884","6,014","8,267","12,064","33,229","114,781"
21-25,M,"2,660","1,143","8,590","3,876","16,269","3,046","5,180","4,498","12,724","8,099","11,133","19,232","4,426","10,474","13,052","9,319","2,300","39,571","7,760","7,519","8,392","12,537","36,208","124,004"
21-25,F,"2,578","1,199","8,435","3,878","16,090","2,899","5,109","4,303","12,311","7,843","10,783","18,626","4,011","9,487","12,104","8,905","2,129","36,636","7,148","7,079","8,006","11,880","34,113","117,776"
21-25,Sub-total,"5,238","2,342","17,025","7,754","32,359","5,945","10,289","8,801","25,035","15,942","21,916","37,858","8,437","19,961","25,156","18,224","4,429","76,207","14,908","14,598","16,398","24,417","70,321","241,780"
26-30,M,"2,776","1,270","8,453","4,193","16,692","3,173","5,045","4,302","12,520","6,818","9,867","16,685","3,815","9,268","10,233","8,609","1,783","33,708","6,304","6,572","7,092","11,688","31,656","111,261"
26-30,F,"2,834","1,294","8,499","4,198","16,825","3,107","4,814","4,247","12,168","6,443","9,141","15,584","3,847","9,038","9,591","8,509","1,736","32,721","6,204","6,442","7,046","11,789","31,481","108,779"
26-30,Sub-total,"5,610","2,564","16,952","8,391","33,517","6,280","9,859","8,549","24,688","13,261","19,008","32,269","7,662","18,306","19,824","17,118","3,519","66,429","12,508","13,014","14,138","23,477","63,137","220,040"
31-35,M,"3,293","1,639","10,173","4,549","19,654","4,350","5,465","5,137","14,952","7,316","10,955","18,271","5,171","11,647","10,478","9,351","1,989","38,636","6,172","6,505","7,600","14,510","34,787","126,300"
31-35,F,"3,480","1,770","10,220","4,521","19,991","4,117","5,368","5,295","14,780","6,892","10,174","17,066","5,337","10,430","9,759","8,783","1,952","36,261","5,563","6,125","7,695","13,848","33,231","121,329"
31-35,Sub-total,"6,773","3,409","20,393","9,070","39,645","8,467","10,833","10,432","29,732","14,208","21,129","35,337","10,508","22,077","20,237","18,134","3,941","74,897","11,735","12,630","15,295","28,358","68,018","247,629"
36-40,M,"4,051","2,111","11,504","4,930","22,596","5,443","5,909","6,635","17,987","7,797","11,972","19,769","6,310","9,888","10,803","10,753","2,333","40,087","4,811","4,997","9,369","13,676","32,853","133,292"
36-40,F,"4,384","2,338","11,828","4,951","23,501","5,330","6,045","6,718","18,093","7,580","11,382","18,962","6,506","9,228","10,981","9,970","2,662","39,347","4,962","4,844","10,223","13,197","33,226","133,129"
36-40,Sub-total,"8,435","4,449","23,332","9,881","46,097","10,773","11,954","13,353","36,080","15,377","23,354","38,731","12,816","19,116","21,784","20,723","4,995","79,434","9,773","9,841","19,592","26,873","66,079","266,421"
41-45,M,"4,109","2,371","11,781","5,340","23,601","5,400","6,097","7,005","18,502","8,369","12,240","20,609","6,302","7,939","11,003","10,818","2,679","38,741","5,315","4,571","10,279","11,356","31,521","132,974"
41-45,F,"4,787","2,601","13,549","5,965","26,902","5,343","6,609","7,300","19,252","9,355","13,272","22,627","6,885","9,354","13,082","10,792","3,481","43,594","6,567","5,397","11,609","13,434","37,007","149,382"
41-45,Sub-total,"8,896","4,972","25,330","11,305","50,503","10,743","12,706","14,305","37,754","17,724","25,512","43,236","13,187","17,293","24,085","21,610","6,160","82,335","11,882","9,968","21,888","24,790","68,528","282,356"
46-50,M,"5,004","2,668","14,693","6,913","29,278","5,400","7,145","7,611","20,156","11,683","15,363","27,046","7,306","11,716","14,977","11,811","3,585","49,395","8,081","6,921","12,296","15,447","42,745","168,620"
46-50,F,"5,687","2,981","16,784","7,882","33,334","5,575","7,857","8,508","21,940","12,979","16,594","29,573","8,254","14,373","17,107","13,110","3,989","56,833","9,832","9,413","13,620","18,559","51,424","193,104"
46-50,Sub-total,"10,691","5,649","31,477","14,795","62,612","10,975","15,002","16,119","42,096","24,662","31,957","56,619","15,560","26,089","32,084","24,921","7,574","106,228","17,913","16,334","25,916","34,006","94,169","361,724"
51-55,M,"5,925","3,017","17,769","8,342","35,053","5,592","9,012","8,551","23,155","14,688","17,651","32,339","8,322","16,153","19,273","14,527","4,150","62,425","11,091","11,206","14,450","20,622","57,369","210,341"
51-55,F,"6,149","3,347","19,357","8,921","37,774","5,711","9,330","8,842","23,883","14,609","17,972","32,581","8,234","17,826","17,473","15,030","3,925","62,488","11,385","12,495","14,345","22,993","61,218","217,944"
51-55,Sub-total,"12,074","6,364","37,126","17,263","72,827","11,303","18,342","17,393","47,038","29,297","35,623","64,920","16,556","33,979","36,746","29,557","8,075","124,913","22,476","23,701","28,795","43,615","118,587","428,285"
56-60,M,"5,507","3,011","16,050","7,418","31,986","5,234","8,652","7,431","21,317","11,671","15,367","27,038","6,629","15,290","15,345","12,901","3,624","53,789","9,577","10,007","11,344","19,000","49,928","184,058"
56-60,F,"5,714","3,125","16,937","7,682","33,458","5,260","8,774","8,205","22,239","12,007","16,365","28,372","6,805","16,510","13,237","13,795","3,212","53,559","8,803","10,138","10,681","20,418","50,040","187,668"
56-60,Sub-total,"11,221","6,136","32,987","15,100","65,444","10,494","17,426","15,636","43,556","23,678","31,732","55,410","13,434","31,800","28,582","26,696","6,836","107,348","18,380","20,145","22,025","39,418","99,968","371,726"
61-65,M,"4,965","2,987","14,690","6,237","28,879","4,927","7,420","7,137","19,484","9,085","13,565","22,650","5,505","12,893","10,452","11,131","2,844","42,825","6,739","7,326","8,256","16,076","38,397","152,235"
61-65,F,"4,820","2,992","15,294","6,303","29,409","4,888","6,877","7,691","19,456","9,503","14,530","24,033","5,558","11,487","8,401","11,933","2,241","39,620","5,201","6,058","7,531","15,948","34,738","147,256"
61-65,Sub-total,"9,785","5,979","29,984","12,540","58,288","9,815","14,297","14,828","38,940","18,588","28,095","46,683","11,063","24,380","18,853","23,064","5,085","82,445","11,940","13,384","15,787","32,024","73,135","299,491"
66-70,M,"2,884","1,807","8,988","3,732","17,411","3,316","4,629","4,930","12,875","6,183","10,111","16,294","3,740","7,221","6,109","8,497","1,583","27,150","3,604","3,674","4,889","9,541","21,708","95,438"
66-70,F,"2,685","1,836","8,979","3,914","17,414","3,226","4,573","5,339","13,138","6,471","10,245","16,716","3,729","5,152","4,473","8,736","1,208","23,298","2,680","2,871","4,364","8,282","18,197","88,763"
66-70,Sub-total,"5,569","3,643","17,967","7,646","34,825","6,542","9,202","10,269","26,013","12,654","20,356","33,010","7,469","12,373","10,582","17,233","2,791","50,448","6,284","6,545","9,253","17,823","39,905","184,201"
71 or above,M,"6,858","4,923","21,813","9,735","43,329","8,784","14,341","13,480","36,605","19,250","28,387","47,637","8,127","11,195","11,678","18,876","3,221","53,097","7,452","7,044","8,929","17,799","41,224","221,892"
71 or above,F,"6,802","5,175","24,157","10,774","46,908","8,491","14,768","14,334","37,593","23,979","29,121","53,100","7,687","10,312","11,168","18,092","3,249","50,508","8,263","7,588","9,410","17,727","42,988","231,097"
