age_group,category,a,b,c,d,hki_total,e,f,g,klw_total,h,j,kle_total,k,l,m,s,t,ntw_total,n,p,q,r,nte_total,total
18-20,F,"1,206",614,"4,150","1,924","7,894","1,243","2,254","1,983","5,480","3,718","4,887","8,605","1,747","4,375","5,120","3,896",922,"16,060","3,533","3,482","3,750","5,570","16,335","54,374"
18-20,M,"1,283",562,"4,141","1,819","7,805","1,268","2,139","1,948","5,355","3,899","5,086","8,985","1,842","4,856","5,659","3,843",936,"17,136","3,704","3,648","3,872","5,857","17,081","56,362"
18-20,Sub-total,"2,489","1,176","8,291","3,743","15,699","2,511","4,393","3,931","10,835","7,617","9,973","17,590","3,589","9,231","10,779","7,739","1,858","33,196","7,237","7,130","7,622","11,427","33,416","110,736"
21-25,F,"2,442","1,082","7,525","3,662","14,711","2,419","4,111","3,641","10,171","5,802","7,745","13,547","3,099","7,950","8,351","7,587","1,496","28,483","5,519","5,773","5,900","9,785","26,977","93,889"
21-25,M,"2,395","1,050","7,108","3,561","14,114","2,483","4,115","3,491","10,089","5,858","7,957","13,815","3,061","7,932","8,526","7,277","1,482","28,278","5,453","5,551","5,694","9,492","26,190","92,486"
21-25,Sub-total,"4,837","2,132","14,633","7,223","28,825","4,902","8,226","7,132","20,260","11,660","15,702","27,362","6,160","15,882","16,877","14,864","2,978","56,761","10,972","11,324","11,594","19,277","53,167","186,375"
26-30,F,"3,448","1,668","10,433","4,877","20,426","3,677","5,342","4,954","13,973","7,585","10,519","18,104","4,525","11,057","9,565","9,773","1,962","36,882","6,169","6,835","6,815","13,697","33,516","122,901"
26-30,M,"3,242","1,594","10,139","4,792","19,767","3,841","5,387","4,840","14,068","7,651","10,948","18,599","4,436","11,484","9,806","9,717","1,896","37,339","6,336","6,854","6,577","13,846","33,613","123,386"
26-30,Sub-total,"6,690","3,262","20,572","9,669","40,193","7,518","10,729","9,794","28,041","15,236","21,467","36,703","8,961","22,541","19,371","19,490","3,858","74,221","12,505","13,689","13,392","27,543","67,129","246,287"
31-35,F,"4,307","2,242","11,741","5,023","23,313","4,972","5,653","6,023","16,648","7,660","10,664","18,324","6,069","9,996","10,138","10,394","2,347","38,944","4,638","4,977","9,084","13,230","31,929","129,158"
31-35,M,"4,070","2,146","11,916","5,214","23,346","5,338","5,969","6,216","17,523","8,100","11,759","19,859","6,131","11,464","10,743","11,674","2,307","42,319","5,023","5,324","8,574","14,436","33,357","136,404"
31-35,Sub-total,"8,377","4,388","23,657","10,237","46,659","10,310","11,622","12,239","34,171","15,760","22,423","38,183","12,200","21,460","20,881","22,068","4,654","81,263","9,661","10,301","17,658","27,666","65,286","265,562"
36-40,F,"4,970","2,636","13,315","5,669","26,590","5,256","5,932","7,158","18,346","8,725","11,705","20,430","6,702","8,903","11,284","11,100","2,866","40,855","5,608","4,888","11,022","12,487","34,005","140,226"
36-40,M,"4,314","2,493","12,443","5,567","24,817","5,638","6,095","7,103","18,836","8,801","12,213","21,014","6,621","8,476","11,021","12,526","2,635","41,279","5,337","4,597","10,310","11,688","31,932","137,878"
36-40,Sub-total,"9,284","5,129","25,758","11,236","51,407","10,894","12,027","14,261","37,182","17,526","23,918","41,444","13,323","17,379","22,305","23,626","5,501","82,134","10,945","9,485","21,332","24,175","65,937","278,104"
41-45,F,"5,680","3,020","16,105","7,500","32,305","5,424","7,138","8,020","20,582","11,675","14,325","26,000","7,745","12,948","14,772","12,116","3,493","51,074","8,598","8,133","12,161","16,466","45,358","175,319"
41-45,M,"5,103","2,758","14,513","6,870","29,244","5,580","7,017","7,546","20,143","11,389","14,449","25,838","7,131","11,156","13,659","12,226","3,418","47,590","7,576","6,388","11,500","14,103","39,567","162,382"
41-45,Sub-total,"10,783","5,778","30,618","14,370","61,549","11,004","14,155","15,566","40,725","23,064","28,774","51,838","14,876","24,104","28,431","24,342","6,911","98,664","16,174","14,521","23,661","30,569","84,925","337,701"
46-50,F,"6,879","3,831","20,621","9,328","40,659","5,893","9,111","9,377","24,381","14,937","17,325","32,262","8,566","18,067","17,153","14,957","3,912","62,655","11,330","12,456","14,034","22,630","60,450","220,407"
46-50,M,"6,579","3,406","19,072","8,800","37,857","6,027","9,181","9,023","24,231","15,585","17,574","33,159","8,930","16,626","18,873","14,935","4,208","63,572","10,823","10,825","14,005","20,451","56,104","214,923"
46-50,Sub-total,"13,458","7,237","39,693","18,128","78,516","11,920","18,292","18,400","48,612","30,522","34,899","65,421","17,496","34,693","36,026","29,892","8,120","126,227","22,153","23,281","28,039","43,081","116,554","435,330"
51-55,F,"6,463","3,668","18,573","8,427","37,131","5,594","9,177","8,653","23,424","12,686","16,161","28,847","7,332","17,613","13,735","14,247","3,303","56,230","9,631","11,157","11,078","21,649","53,515","199,147"
51-55,M,"6,453","3,552","18,197","8,289","36,491","5,714","9,456","8,296","23,466","13,089","15,889","28,978","7,347","16,715","16,558","13,945","3,804","58,369","10,320","11,101","12,108","20,393","53,922","201,226"
51-55,Sub-total,"12,916","7,220","36,770","16,716","73,622","11,308","18,633","16,949","46,890","25,775","32,050","57,825","14,679","34,328","30,293","28,192","7,107","114,599","19,951","22,258","23,186","42,042","107,437","400,373"
56-60,F,"5,536","3,499","16,501","6,693","32,229","5,195","7,135","8,023","20,353","9,615","13,805","23,420","5,779","13,031","8,906","11,988","2,323","42,027","5,699","6,922","7,655","17,031","37,307","155,336"
56-60,M,"5,848","3,536","16,192","6,919","32,495","5,487","8,061","7,534","21,082","9,817","13,637","23,454","5,922","14,195","11,095","11,861","3,013","46,086","7,407","8,128","8,682","17,209","41,426","164,543"
56-60,Sub-total,"11,384","7,035","32,693","13,612","64,724","10,682","15,196","15,557","41,435","19,432","27,442","46,874","11,701","27,226","20,001","23,849","5,336","88,113","13,106","15,050","16,337","34,240","78,733","319,879"
61-65,F,"3,517","2,409","11,014","4,555","21,495","3,819","4,980","6,219","15,018","6,924","10,221","17,145","4,283","6,100","4,946","9,522","1,389","26,240","3,003","3,422","4,781","9,807","21,013","100,911"
61-65,M,"3,915","2,536","11,298","4,580","22,329","4,004","5,308","5,857","15,169","6,778","10,012","16,790","4,366","8,585","6,808","9,149","1,797","30,705","4,053","4,570","5,556","11,174","25,353","110,346"
61-65,Sub-total,"7,432","4,945","22,312","9,135","43,824","7,823","10,288","12,076","30,187","13,702","20,233","33,935","8,649","14,685","11,754","18,671","3,186","56,945","7,056","7,992","10,337","20,981","46,366","211,257"
66-70,F,"2,218","1,597","7,605","3,034","14,454","2,820","3,896","4,565","11,281","5,733","8,232","13,965","2,845","3,414","3,304","6,478",866,"16,907","2,049","2,149","3,024","5,537","12,759","69,366"
66-70,M,"2,480","1,779","8,153","3,174","15,586","3,225","4,699","4,860","12,784","6,028","9,889","15,917","3,453","5,648","4,933","8,320","1,191","23,545","2,900","2,984","3,714","7,614","17,212","85,044"
66-70,Sub-total,"4,698","3,376","15,758","6,208","30,040","6,045","8,595","9,425","24,065","11,761","18,121","29,882","6,298","9,062","8,237","14,798","2,057","40,452","4,949","5,133","6,738","13,151","29,971","154,410"
71 or above,F,"6,582","5,116","22,832","10,501","45,031","8,004","14,430","13,331","35,765","24,148","25,905","50,053","7,011","9,466","10,994","15,892","3,267","46,630","8,166","7,183","7,982","16,587","39,918","217,397"
71 or above,M,"6,956","5,069","20,986","9,656","42,667","8,735","14,505","13,111","36,351","20,011","26,132","46,143","7,450","9,561","10,961","16,997","3,102","48,071","7,145","6,411","7,447","15,696","36,699","209,931"
71 or above,Sub-total,"13,538","10,185","43,818","20,157","87,698","16,739","28,935","26,442","72,116","44,159","52,037","96,196","14,461","19,027","21,955","32,889","6,369","94,701","15,311","13,594","15,429","32,283","76,617","427,328"
