age_group,category,a,b,c,d,hki_total,e,f,g,klw_total,h,j,kle_total,k,l,m,s,t,ntw_total,n,p,q,r,nte_total,total
41-45,M,"5,597","3,021","15,966","7,380","31,964","5,817","7,551","8,104","21,472","12,525","15,409","27,934","7,780","12,628","14,995","12,840","3,658","51,901","8,311","7,365","12,366","15,707","43,749","177,020"
41-45,Sub-total,"11,808","6,305","33,516","15,513","67,142","11,531","15,217","16,814","43,562","25,390","30,547","55,937","16,150","27,289","30,920","25,853","7,343","107,555","17,785","16,858","25,286","33,931","93,860","368,056"
46-50,F,"6,940","3,934","20,579","9,360","40,813","5,873","9,447","9,396","24,716","14,829","17,131","31,960","8,515","18,367","16,558","15,000","3,796","62,236","11,223","12,645","13,744","23,132","60,744","220,469"
46-50,M,"6,797","3,545","19,444","9,079","38,865","6,033","9,647","9,194","24,874","15,806","17,555","33,361","8,959","17,293","19,054","15,275","4,204","64,785","11,115","11,647","14,240","21,340","58,342","220,227"
46-50,Sub-total,"13,737","7,479","40,023","18,439","79,678","11,906","19,094","18,590","49,590","30,635","34,686","65,321","17,474","35,660","35,612","30,275","8,000","127,021","22,338","24,292","27,984","44,472","119,086","440,696"
51-55,F,"6,409","3,686","17,995","7,995","36,085","5,511","8,826","8,556","22,893","11,933","15,467","27,400","6,984","16,916","12,624","13,670","3,107","53,301","8,738","10,438","10,247","20,727","50,150","189,829"
51-55,M,"6,422","3,650","17,676","8,003","35,751","5,741","9,278","8,164","23,183","12,411","15,158","27,569","6,957","16,301","15,293","13,340","3,612","55,503","9,631","10,558","11,226","19,695","51,110","193,116"
51-55,Sub-total,"12,831","7,336","35,671","15,998","71,836","11,252","18,104","16,720","46,076","24,344","30,625","54,969","13,941","33,217","27,917","27,010","6,719","108,804","18,369","20,996","21,473","40,422","101,260","382,945"
56-60,F,"5,517","3,502","16,225","6,577","31,821","5,215","6,930","8,089","20,234","9,315","13,219","22,534","5,701","11,838","8,116","11,840","2,162","39,657","5,145","6,257","7,132","16,072","34,606","148,852"
56-60,M,"5,884","3,633","16,187","6,793","32,497","5,473","7,881","7,712","21,066","9,436","13,202","22,638","5,937","13,741","10,354","11,627","2,863","44,522","6,779","7,721","8,240","16,763","39,503","160,226"
56-60,Sub-total,"11,401","7,135","32,412","13,370","64,318","10,688","14,811","15,801","41,300","18,751","26,421","45,172","11,638","25,579","18,470","23,467","5,025","84,179","11,924","13,978","15,372","32,835","74,109","309,078"
61-65,F,"3,015","2,168","9,600","4,005","18,788","3,423","4,563","5,649","13,635","6,320","9,302","15,622","3,923","5,205","4,356","8,736","1,202","23,422","2,591","2,982","4,195","8,361","18,129","89,596"
61-65,M,"3,436","2,306","9,949","4,081","19,772","3,812","5,014","5,511","14,337","6,383","9,458","15,841","4,143","7,790","6,120","8,990","1,600","28,643","3,654","4,016","4,970","10,104","22,744","101,337"
61-65,Sub-total,"6,451","4,474","19,549","8,086","38,560","7,235","9,577","11,160","27,972","12,703","18,760","31,463","8,066","12,995","10,476","17,726","2,802","52,065","6,245","6,998","9,165","18,465","40,873","190,933"
66-70,F,"2,333","1,747","7,799","3,187","15,066","3,011","4,199","4,878","12,088","6,219","8,411","14,630","2,923","3,391","3,348","6,384",871,"16,917","2,105","2,222","3,037","5,582","12,946","71,647"
66-70,M,"2,673","1,900","8,502","3,357","16,432","3,412","5,039","5,150","13,601","6,377","10,210","16,587","3,574","5,413","4,873","8,452","1,227","23,539","2,842","3,039","3,667","7,489","17,037","87,196"
66-70,Sub-total,"5,006","3,647","16,301","6,544","31,498","6,423","9,238","10,028","25,689","12,596","18,621","31,217","6,497","8,804","8,221","14,836","2,098","40,456","4,947","5,261","6,704","13,071","29,983","158,843"
71 or above,F,"6,417","4,991","22,016","10,142","43,566","7,717","14,138","12,985","34,840","23,568","24,827","48,395","6,648","9,163","10,654","15,324","3,200","44,989","7,977","7,066","7,675","16,046","38,764","210,554"
71 or above,M,"6,809","5,033","20,219","9,383","41,444","8,565","14,387","12,955","35,907","19,925","25,130","45,055","7,129","9,179","10,595","16,188","2,990","46,081","6,904","6,265","7,083","15,018","35,270","203,757"
71 or above,Sub-total,"13,226","10,024","42,235","19,525","85,010","16,282","28,525","25,940","70,747","43,493","49,957","93,450","13,777","18,342","21,249","31,512","6,190","91,070","14,881","13,331","14,758","31,064","74,034","414,311"
Total,F,"54,125","32,104","160,432","71,339","318,000","54,715","79,829","83,021","217,565","119,210","149,322","268,532","66,238","122,584","116,175","127,422","27,842","460,261","72,849","77,317","96,431","163,424","410,021","1,674,379"
Total,M,"53,735","31,401","154,773","69,748","309,657","58,199","83,266","81,305","222,770","117,854","154,263","272,117","67,441","126,728","126,415","132,724","29,592","482,900","74,786","76,543","97,609","161,246","410,184","1,697,628"
Grand Total,,"107,860","63,505 315,205 141,087",,,"627,657","112,914 163,095 164,326",,,"440,335","237,064","303,585","540,649","133,679","249,312","242,590","260,146 57,434",,"943,161","147,635 153,860 194,040 324,670",,,,"820,205","3,372,007"
