age_group,category,a,b,c,d,hki_total,e,f,g,klw_total,h,j,kle_total,k,l,m,s,t,ntw_total,n,p,q,r,nte_total,total
18-20,F,"1,234",591,"4,104","1,818","7,747","1,186","2,194","1,972","5,352","3,533","4,484","8,017","1,757","4,127","4,421","3,836",833,"14,974","3,333","3,323","3,534","5,181","15,371","51,461"
18-20,M,"1,244",513,"3,771","1,746","7,274","1,195","2,066","1,794","5,055","3,490","4,447","7,937","1,718","4,278","4,602","3,781",823,"15,202","3,339","3,215","3,414","5,161","15,129","50,597"
18-20,Sub-total,"2,478","1,104","7,875","3,564","15,021","2,381","4,260","3,766","10,407","7,023","8,931","15,954","3,475","8,405","9,023","7,617","1,656","30,176","6,672","6,538","6,948","10,342","30,500","102,058"
21-25,F,"2,695","1,223","8,001","4,038","15,957","2,582","4,370","3,841","10,793","5,950","7,998","13,948","3,286","8,357","8,434","7,883","1,579","29,539","5,729","6,144","5,976","10,336","28,185","98,422"
21-25,M,"2,608","1,147","7,665","3,905","15,325","2,622","4,290","3,753","10,665","6,059","8,354","14,413","3,143","8,200","8,455","7,463","1,513","28,774","5,541","5,913","5,798","9,982","27,234","96,411"
21-25,Sub-total,"5,303","2,370","15,666","7,943","31,282","5,204","8,660","7,594","21,458","12,009","16,352","28,361","6,429","16,557","16,889","15,346","3,092","58,313","11,270","12,057","11,774","20,318","55,419","194,833"
26-30,F,"3,660","1,797","10,827","4,940","21,224","3,906","5,466","5,306","14,678","7,631","10,622","18,253","4,893","11,347","9,567","9,801","2,033","37,641","5,766","6,545","7,008","13,869","33,188","124,984"
26-30,M,"3,432","1,748","10,568","4,817","20,565","4,190","5,540","5,076","14,806","7,744","10,978","18,722","4,821","12,110","9,797","9,965","1,971","38,664","6,059","6,739","6,726","14,265","33,789","126,546"
26-30,Sub-total,"7,092","3,545","21,395","9,757","41,789","8,096","11,006","10,382","29,484","15,375","21,600","36,975","9,714","23,457","19,364","19,766","4,004","76,305","11,825","13,284","13,734","28,134","66,977","251,530"
31-35,F,"4,631","2,440","12,135","5,217","24,423","5,325","5,950","6,400","17,675","8,009","10,814","18,823","6,426","9,847","10,541","11,018","2,497","40,329","4,725","5,049","9,868","13,252","32,894","134,144"
31-35,M,"4,316","2,327","12,294","5,440","24,377","5,728","6,235","6,675","18,638","8,587","12,113","20,700","6,557","11,080","11,102","12,387","2,425","43,551","5,091","5,258","9,392","14,308","34,049","141,315"
31-35,Sub-total,"8,947","4,767","24,429","10,657","48,800","11,053","12,185","13,075","36,313","16,596","22,927","39,523","12,983","20,927","21,643","23,405","4,922","83,880","9,816","10,307","19,260","27,560","66,943","275,459"
36-40,F,"5,063","2,741","13,601","5,927","27,332","5,252","6,080","7,239","18,571","9,038","11,909","20,947","6,812","9,365","11,631","10,917","2,877","41,602","6,043","5,153","11,095","12,642","34,933","143,385"
36-40,M,"4,517","2,578","12,532","5,764","25,391","5,611","6,338","7,217","19,166","9,111","12,249","21,360","6,723","8,715","11,175","12,416","2,706","41,735","5,520","4,807","10,487","11,414","32,228","139,880"
36-40,Sub-total,"9,580","5,319","26,133","11,691","52,723","10,863","12,418","14,456","37,737","18,149","24,158","42,307","13,535","18,080","22,806","23,333","5,583","83,337","11,563","9,960","21,582","24,056","67,161","283,265"
41-45,F,"6,211","3,284","17,550","8,133","35,178","5,714","7,666","8,710","22,090","12,865","15,138","28,003","8,370","14,661","15,925","13,013","3,685","55,654","9,474","9,493","12,920","18,224","50,111","191,036"
