age_group,category,a,b,c,d,hki_total,e,f,g,klw_total,h,j,kle_total,k,l,m,s,t,ntw_total,n,p,q,r,nte_total,total
18-20,F,"1,052",510,"3,312","1,689","6,563","1,070","1,763","1,614","4,447","2,415","3,142","5,557","1,346","3,836","3,803","3,108",537,"12,630","2,244","2,508","2,419","4,236","11,407","40,604"
18-20,M,"1,099",478,"3,188","1,557","6,322","1,075","1,677","1,574","4,326","2,558","3,371","5,929","1,360","3,729","3,702","3,089",541,"12,421","2,211","2,424","2,478","4,046","11,159","40,157"
18-20,Sub-total,"2,151",988,"6,500","3,246","12,885","2,145","3,440","3,188","8,773","4,973","6,513","11,486","2,706","7,565","7,505","6,197","1,078","25,051","4,455","4,932","4,897","8,282","22,566","80,761"
21-25,F,"3,033","1,405","8,962","4,411","17,811","2,914","4,599","4,268","11,781","6,843","9,195","16,038","3,553","9,684","7,973","8,561","1,504","31,275","5,923","6,754","5,654","12,221","30,552","107,457"
21-25,M,"2,823","1,385","8,628","4,288","17,124","2,979","4,475","4,017","11,471","6,717","9,535","16,252","3,384","9,643","7,809","8,155","1,392","30,383","5,624","6,404","5,337","11,905","29,270","104,500"
21-25,Sub-total,"5,856","2,790","17,590","8,699","34,935","5,893","9,074","8,285","23,252","13,560","18,730","32,290","6,937","19,327","15,782","16,716","2,896","61,658","11,547","13,158","10,991","24,126","59,822","211,957"
26-30,F,"3,813","2,107","11,269","4,732","21,921","4,326","5,175","5,634","15,135","7,854","10,346","18,200","4,901","10,857","9,048","10,104","1,850","36,760","4,622","5,315","7,095","13,762","30,794","122,810"
26-30,M,"3,829","2,059","11,527","4,929","22,344","4,718","5,377","5,879","15,974","8,178","11,329","19,507","5,196","11,931","9,390","10,931","1,874","39,322","4,931","5,620","6,886","14,685","32,122","129,269"
26-30,Sub-total,"7,642","4,166","22,796","9,661","44,265","9,044","10,552","11,513","31,109","16,032","21,675","37,707","10,097","22,788","18,438","21,035","3,724","76,082","9,553","10,935","13,981","28,447","62,916","252,079"
31-35,F,"4,614","2,447","12,528","5,297","24,886","5,085","5,352","6,673","17,110","8,728","11,054","19,782","6,002","8,823","9,954","11,042","2,294","38,115","5,184","4,718","9,862","12,540","32,304","132,197"
31-35,M,"4,425","2,526","12,479","5,404","24,834","5,712","5,855","7,136","18,703","9,333","11,930","21,263","6,065","9,026","10,374","12,780","2,250","40,495","5,162","4,697","9,406","12,413","31,678","136,973"
31-35,Sub-total,"9,039","4,973","25,007","10,701","49,720","10,797","11,207","13,809","35,813","18,061","22,984","41,045","12,067","17,849","20,328","23,822","4,544","78,610","10,346","9,415","19,268","24,953","63,982","269,170"
36-40,F,"5,502","2,941","14,823","6,727","29,993","4,988","6,096","7,488","18,572","10,324","12,762","23,086","7,161","11,717","12,579","10,939","2,750","45,146","7,454","7,011","11,099","14,977","40,541","157,338"
36-40,M,"4,966","2,759","13,849","6,330","27,904","5,449","6,392","7,265","19,106","10,932","13,810","24,742","6,737","10,727","12,500","12,058","2,824","44,846","6,875","6,034","10,889","13,463","37,261","153,859"
