age_group,category,a,b,c,d,hki_total,e,f,g,klw_total,h,j,kle_total,k,l,m,s,t,ntw_total,n,p,q,r,nte_total,total
36-40,Sub-total,"10,468","5,700","28,672","13,057","57,897","10,437","12,488","14,753","37,678","21,256","26,572","47,828","13,898","22,444","25,079","22,997","5,574","89,992","14,329","13,045","21,988","28,440","77,802","311,197"
41-45,F,"7,025","3,869","20,508","8,866","40,268","5,781","8,282","9,526","23,589","14,635","16,375","31,010","8,722","17,600","16,090","13,708","3,326","59,446","10,609","12,096","13,284","22,109","58,098","212,411"
41-45,M,"6,689","3,583","19,332","8,580","38,184","6,044","8,662","9,350","24,056","15,656","17,217","32,873","8,923","16,414","17,683","14,195","3,688","60,903","10,092","10,136","13,689","20,024","53,941","209,957"
41-45,Sub-total,"13,714","7,452","39,840","17,446","78,452","11,825","16,944","18,876","47,645","30,291","33,592","63,883","17,645","34,014","33,773","27,903","7,014","120,349","20,701","22,232","26,973","42,133","112,039","422,368"
46-50,F,"6,844","4,088","19,547","8,722","39,201","5,675","8,926","9,003","23,604","13,292","15,900","29,192","7,542","18,077","13,750","14,000","3,025","56,394","10,020","11,706","11,373","22,403","55,502","203,893"
46-50,M,"7,118","3,945","19,825","8,717","39,605","5,984","9,608","9,042","24,634","14,529","16,624","31,153","7,877","17,472","16,999","14,380","3,538","60,266","10,568","11,807","12,699","21,597","56,671","212,329"
46-50,Sub-total,"13,962","8,033","39,372","17,439","78,806","11,659","18,534","18,045","48,238","27,821","32,524","60,345","15,419","35,549","30,749","28,380","6,563","116,660","20,588","23,513","24,072","44,000","112,173","416,222"
51-55,F,"5,896","3,774","16,963","7,000","33,633","5,194","7,084","8,182","20,460","9,811","13,641","23,452","5,911","14,245","9,137","11,710","2,170","43,173","6,169","7,777","7,768","18,290","40,004","160,722"
51-55,M,"6,321","3,929","17,021","7,356","34,627","5,752","8,255","8,005","22,012","10,669","14,085","24,754","6,193","15,235","11,693","11,887","2,792","47,800","7,870","8,933","8,950","18,317","44,070","173,263"
51-55,Sub-total,"12,217","7,703","33,984","14,356","68,260","10,946","15,339","16,187","42,472","20,480","27,726","48,206","12,104","29,480","20,830","23,597","4,962","90,973","14,039","16,710","16,718","36,607","84,074","333,985"
56-60,F,"4,213","2,945","12,657","5,132","24,947","4,319","5,284","6,787","16,390","7,286","10,423","17,709","4,564","7,237","5,276","9,897","1,330","28,304","3,230","3,959","5,017","11,361","23,567","110,917"
56-60,M,"4,911","3,246","13,393","5,287","26,837","4,512","6,008","6,650","17,170","7,410","10,504","17,914","4,710","10,004","7,213","9,473","1,839","33,239","4,472","5,319","6,080","13,059","28,930","124,090"
56-60,Sub-total,"9,124","6,191","26,050","10,419","51,784","8,831","11,292","13,437","33,560","14,696","20,927","35,623","9,274","17,241","12,489","19,370","3,169","61,543","7,702","9,278","11,097","24,420","52,497","235,007"
61-65,F,"2,274","1,790","7,536","2,965","14,565","2,800","3,654","4,670","11,124","5,381","7,682","13,063","2,975","3,541","3,228","6,781",832,"17,357","1,989","2,158","3,059","5,897","13,103","69,212"
61-65,M,"2,737","2,033","8,650","3,216","16,636","3,483","4,573","5,107","13,163","6,042","9,780","15,822","3,691","6,274","5,079","8,756","1,133","24,933","3,003","3,241","3,932","8,286","18,462","89,016"
61-65,Sub-total,"5,011","3,823","16,186","6,181","31,201","6,283","8,227","9,777","24,287","11,423","17,462","28,885","6,666","9,815","8,307","15,537","1,965","42,290","4,992","5,399","6,991","14,183","31,565","158,228"
66-70,F,"2,374","1,900","8,102","3,452","15,828","3,046","4,324","5,106","12,476","7,671","8,843","16,514","2,887","3,296","3,524","6,222",912,"16,841","2,320","2,260","2,893","5,759","13,232","74,891"
66-70,M,"2,929","2,110","9,121","3,792","17,952","3,867","5,519","5,726","15,112","6,952","10,698","17,650","3,561","4,793","4,594","8,365","1,177","22,490","2,845","2,941","3,489","7,245","16,520","89,724"
66-70,Sub-total,"5,303","4,010","17,223","7,244","33,780","6,913","9,843","10,832","27,588","14,623","19,541","34,164","6,448","8,089","8,118","14,587","2,089","39,331","5,165","5,201","6,382","13,004","29,752","164,615"
71 or above,F,"5,343","4,495","18,999","9,189","38,026","6,510","12,265","10,491","29,266","20,523","21,316","41,839","5,548","8,082","9,079","13,095","2,847","38,651","7,005","6,213","6,622","14,161","34,001","181,783"
71 or above,M,"6,113","4,778","17,677","8,345","36,913","7,526","12,769","11,072","31,367","18,435","21,925","40,360","6,083","7,723","9,090","13,708","2,527","39,131","6,132","5,410","5,979","12,858","30,379","178,150"
71 or above,Sub-total,"11,456","9,273","36,676","17,534","74,939","14,036","25,034","21,563","60,633","38,958","43,241","82,199","11,631","15,805","18,169","26,803","5,374","77,782","13,137","11,623","12,601","27,019","64,380","359,933"
Total,F,"51,983","32,271","155,206","68,182","307,642","51,708","72,804","79,442","203,954","114,763","140,679","255,442","61,112","116,995","103,441","119,167","23,377","424,092","66,769","72,475","86,145","157,716","383,105","1,574,235"
Total,M,"53,960","32,831","154,690","67,801","309,282","57,101","79,170","80,823","217,094","117,411","150,808","268,219","63,780","122,971","116,126","127,777","25,575","456,229","69,785","72,966","89,814","157,898","390,463","1,641,287"
Grand Total,,"105,943","65,102","309,896","135,983","616,924","108,809","151,974","160,265","421,048","232,174","291,487","523,661","124,892","239,966","219,567","246,944","48,952","880,321","136,554","145,441","175,959","315,614","773,568","3,215,522"
