age_group,category,a,b,c,d,hki_total,e,f,g,kle_total,h,j,klw_total,k,l,m,s,t,ntw_total,n,p,q,r,nte_total,total
61-65,F,"4,690","2,970","15,025","6,055","28,740","4,788","6,558","7,630","18,976","9,109","14,080","23,189","5,363","10,306","7,631","11,736","2,121","37,157","4,602","5,410","7,027","14,727","31,766","139,828"
61-65,M,"4,907","3,020","14,615","6,139","28,681","4,891","6,901","7,184","18,976","8,751","13,063","21,814","5,383","12,166","9,708","10,703","2,721","40,681","6,204","6,713","7,865","15,418","36,200","146,352"
61-65,Sub-total,"9,597","5,990","29,640","12,194","57,421","9,679","13,459","14,814","37,952","17,860","27,143","45,003","10,746","22,472","17,339","22,439","4,842","77,838","10,806","12,123","14,892","30,145","67,966","286,180"
66-70,F,"2,281","1,585","7,777","3,416","15,059","2,848","4,073","4,869","11,790","5,870","9,155","15,025","3,345","4,311","3,904","7,849","1,022","20,431","2,420","2,494","3,764","6,963","15,641","77,946"
66-70,M,"2,503","1,567","7,902","3,178","15,150","3,108","4,357","4,496","11,961","5,758","9,774","15,532","3,521","6,457","5,556","8,304","1,326","25,164","3,306","3,304","4,306","8,503","19,419","87,226"
66-70,Sub-total,"4,784","3,152","15,679","6,594","30,209","5,956","8,430","9,365","23,751","11,628","18,929","30,557","6,866","10,768","9,460","16,153","2,348","45,595","5,726","5,798","8,070","15,466","35,060","165,172"
71 or above,F,"6,815","5,132","23,797","10,644","46,388","8,387","14,506","14,030","36,923","23,868","28,147","52,015","7,433","10,087","11,071","17,329","3,225","49,145","8,266","7,548","9,101","17,233","42,148","226,619"
71 or above,M,"6,923","4,945","21,541","9,709","43,118","8,770","14,288","13,361","36,419","19,232","27,659","46,891","7,789","10,729","11,373","18,197","3,158","51,246","7,359","6,891","8,521","17,095","39,866","217,540"
71 or above,Sub-total,"13,738","10,077","45,338","20,353","89,506","17,157","28,794","27,391","73,342","43,100","55,806","98,906","15,222","20,816","22,444","35,526","6,383","100,391","15,625","14,439","17,622","34,328","82,014","444,159"
Total,F,"51,800","29,563","158,705","70,843","310,911","55,676","81,633","83,028","220,337","121,156","162,307","283,463","68,994","127,025","131,880","131,185","30,734","489,818","79,818","81,224","107,365","172,345","440,752","1,745,281"
Total,M,"50,242","28,078","149,999","67,448","295,767","57,034","81,057","79,540","217,631","115,065","161,000","276,065","68,143","128,239","138,729","131,172","31,232","497,515","80,529","79,619","106,309","167,485","433,942","1,720,920"
Grand Total,,"102,042","57,641","308,704","138,291","606,678","112,710","162,690","162,568","437,968","236,221","323,307","559,528","137,137","255,264","270,609","262,357","61,966","987,333","160,347","160,843","213,674","339,830","874,694","3,466,201"
