,,,候選人名單編號 Candidiates List Number,,,,,,,,,,,,,,,,,,,
Counting Station 點票站,,,1 ,2 ,3 ,4 ,5 ,6 ,7 ,8 ,9 ,10 ,11 ,12 ,13 ,14 ,15 ,16 ,17 ,18 ,19 ,Total 總數
LC005,亞洲國際博覽館,AsiaWorld-Expo,7,2,1,0,4,4,3,0,1,8,1,1,7,1,3,0,1,3,1,48
,,,,,,,,,,,,,,,,,,,,,,
N,北區,NORTH DISTRICT,,,,,,,,,,,,,,,,,,,,
N0101,香海正覺蓮社佛教馬錦燦紀念英文中學,HHCKLA Buddhist Ma Kam Chan Memorial English Secondary School,316,117,137,10,57,101,281,37,528,292,31,104,199,611,148,6,54,57,16,3102
N0201,粉嶺公立學校,Fanling Public School,87,25,26,0,14,23,56,255,142,66,7,43,65,55,44,1,21,20,1,951
N0202,粉嶺官立中學,Fanling Government Secondary School,219,59,182,1,45,92,242,4,420,312,26,99,171,227,203,4,40,56,10,2412
N0203,明愛粉嶺陳震夏中學,Caritas Fanling Chan Chun Ha Secondary School,167,85,118,5,43,76,141,7,259,201,19,68,124,170,92,5,25,37,4,1646
N0301,祥華社區會堂,Cheung Wah Community Hall,658,351,311,18,49,205,459,30,955,471,39,135,311,839,192,22,70,91,18,5224
N0401,香海正覺蓮社佛教正覺蓮社學校,HHCKLA Buddhist Ching Kok Lin Association School,640,169,315,12,98,109,484,16,1664,530,64,181,337,640,300,8,94,88,39,5788
N0501,鳳溪廖潤琛紀念學校,Fung Kai Liu Yun Sum Memorial School,762,217,193,20,62,160,558,15,1244,483,37,246,223,586,211,16,76,69,29,5207
N0601,香海正覺蓮社佛教普光學校,HHCKLA Buddhist Po Kwong School,289,64,154,5,35,23,242,8,975,251,19,90,142,277,165,2,33,45,11,2830
N0602,路德會賽馬會雍盛綜合服務中心,Jockey Club Yung Shing Lutheran Integrated Service Centre,427,115,149,3,30,52,334,12,1686,273,41,110,120,277,124,5,51,31,24,3864
N0701,聖公會嘉福榮真小學,SKH Ka Fuk Wing Chun Primary School,583,503,250,15,96,168,461,28,886,465,52,185,319,393,242,8,88,73,58,4873
N0801,金錢村何東學校,Kam Tsin Village Ho Tung School,180,59,70,4,21,100,133,6,305,111,14,36,484,110,82,6,19,31,6,1777
N0802,建德公立學校,Kin Tak Public School,66,13,31,1,15,63,42,4,234,22,6,10,127,57,18,1,5,13,2,730
N0803,古洞公立愛華學校,Ku Tung Public Oi Wah School,99,25,34,11,8,73,66,8,266,49,6,24,271,162,39,0,14,27,6,1188
N0901,風采中學 (教育評議會主辦),Elegantia College (Sponsored by Education Convergence),413,217,156,8,43,154,371,6,1458,243,22,115,204,266,102,4,47,71,37,3937
N1001,保榮路體育館,Po Wing Road Sports Centre,434,530,181,10,93,166,310,13,543,386,48,146,253,442,205,6,62,78,22,3928
N1101,彩園會堂,Choi Yuen Estate Hall,553,379,192,15,80,257,434,24,1197,354,27,200,322,829,165,15,71,81,32,5227
N1201,龍琛路體育館,Lung Sum Avenue Sports Centre,348,320,101,8,46,151,307,12,434,242,20,109,238,614,148,4,37,41,8,3188
N1202,聖公會陳融中學,SKH Chan Young Secondary School,296,133,152,8,49,118,287,22,460,197,30,94,293,312,200,8,37,56,3,2755
