,,,候選人名單編號 Candidiates List Number,,,,,,,,,,,,,,,,,,,
Counting Station 點票站,,,1 ,2 ,3 ,4 ,5 ,6 ,7 ,8 ,9 ,10 ,11 ,12 ,13 ,14 ,15 ,16 ,17 ,18 ,19 ,Total 總數
LC002,亞洲國際博覽館,AsiaWorld-Expo,2,7,6,1,6,3,1,7,7,,,,,,,,,,,40
,,,,,,,,,,,,,,,,,,,,,,
E,油尖旺區,YAU TSIM MONG DISTRICT,,,,,,,,,,,,,,,,,,,,
E0101,仁愛堂陳鄭玉而幼稚園,Yan Oi Tong Chan Cheng Yuk Yee Kindergarten,78,501,124,15,528,167,6,315,484,,,,,,,,,,,2218
E0201,九龍公園體育館,Kowloon Park Sports Centre,23,406,139,47,840,386,16,161,374,,,,,,,,,,,2392
E0301,佐敦道官立小學,Jordan Road Government Primary School,57,611,226,74,1347,763,42,315,698,,,,,,,,,,,4133
E0401,梁顯利油麻地社區中心,Henry G. Leong Yau Ma Tei Community Centre,64,614,572,59,1423,686,29,363,742,,,,,,,,,,,4552
E0501,油蔴地天主教小學(海泓道),Yaumati Catholic Primary School (Hoi Wang Road),54,946,283,39,1141,697,20,351,896,,,,,,,,,,,4427
E0601,旺角社區會堂,Mong Kok Community Hall,33,527,189,47,629,681,24,586,551,,,,,,,,,,,3267
E0701,保良局陳守仁小學,PLK Camões Tan Siu Lin Primary School,81,862,300,55,852,747,16,1165,975,,,,,,,,,,,5053
E0801,香港保護兒童會中銀幼兒學校,Hong Kong Society for the Protection of Children BOC Nursery School,55,675,150,21,338,287,9,404,516,,,,,,,,,,,2455
E0901,路德會沙崙學校,Sharon Lutheran School,38,398,113,22,364,422,7,611,410,,,,,,,,,,,2385
E1001,大角嘴天主教小學,Tai Kok Tsui Catholic Primary School,36,575,245,49,913,662,18,428,629,,,,,,,,,,,3555
E1101,中華基督教會基全小學,CCC Kei Tsun Primary School,64,666,332,37,1037,669,20,439,524,,,,,,,,,,,3788
E1201,鮮魚行學校,Fresh Fish Traders' School,67,683,278,45,678,792,17,725,765,,,,,,,,,,,4050
E1301,聖公會基榮小學,SKH Kei Wing Primary School,31,282,107,29,339,412,10,425,349,,,,,,,,,,,1984
E1401,界限街二號體育館,Boundary Street Sports Centre No. 2,62,677,153,50,494,565,7,583,553,,,,,,,,,,,3144
E1501,優才書院,G.T. College,39,457,121,17,393,501,12,420,400,,,,,,,,,,,2360
E1601,東華三院羅裕積小學,TWGHs Lo Yu Chik Primary School,43,471,226,37,406,441,14,392,461,,,,,,,,,,,2491
E1602,油蔴地街坊會學校,Yaumati Kaifong Association School,52,403,116,18,392,200,1,226,340,,,,,,,,,,,1748
E1701,嘉諾撒聖瑪利學校,St. Mary's Canossian School,62,574,130,38,846,479,32,327,582,,,,,,,,,,,3070
,,,,,,,,,,,,,,,,,,,,,,
F,深水埗區,SHAM SHUI PO DISTRICT,,,,,,,,,,,,,,,,,,,,
F0101,保安道體育館,Po On Road Sports Centre,26,384,658,25,691,620,12,368,445,,,,,,,,,,,3229
F0201,福榮街官立小學,Fuk Wing Street Government Primary School,40,519,565,48,562,718,15,505,639,,,,,,,,,,,3611
F0301,聖方濟各英文小學,St. Francis of Assisi's English Primary School,29,335,612,34,930,714,15,206,442,,,,,,,,,,,3317
F0401,石硤尾社區會堂,Shek Kip Mei Community Hall,29,267,1493,42,735,772,18,439,416,,,,,,,,,,,4211
F0501,深水埔街坊福利事務促進會,Shamshuipo Kaifong Welfare Advancement Association,43,497,533,39,764,720,25,430,566,,,,,,,,,,,3617
F0601,北河街體育館,Pei Ho Street Sports Centre,31,273,472,21,1002,593,15,180,363,,,,,,,,,,,2950
F0701,南昌社區中心,Nam Cheong District Community Centre,31,233,949,23,514,547,14,254,320,,,,,,,,,,,2885
F0801,英華書院,Ying Wa College,29,158,1133,30,398,698,12,1517,376,,,,,,,,,,,4351
F0901,麗閣社區會堂,Lai Kok Community Hall,52,404,1424,51,913,775,33,452,561,,,,,,,,,,,4665
F1001,旅港開平商會學校,Hoi Ping Chamber of Commerce Primary School,31,222,775,33,625,350,14,181,265,,,,,,,,,,,2496
F1101,聖公會聖馬利亞堂莫慶堯中學,SKH St. Mary's Church Mok Hing Yiu College,44,405,2375,35,997,799,11,304,566,,,,,,,,,,,5536
F1201,美孚新邨孚佑堂,Mei Foo Sun Chuen Community Centre,81,948,265,57,1261,574,14,529,1417,,,,,,,,,,,5146
F1301,博愛醫院美孚荔灣街坊會梁之潛伉儷長者健康支援及進修中心,POH Mei Foo Lai Wan Kaifong Association Mr. and Mrs. Leung Chi Chim Elderly Health Support and Learning Centre,68,888,238,73,964,559,9,477,1051,,,,,,,,,,,4327
F1401,荔枝角公園體育館,Lai Chi Kok Park Sports Centre,78,991,315,41,938,650,8,534,1057,,,,,,,,,,,4612
F1501,荔枝角社區會堂,Lai Chi Kok Community Hall,86,1046,399,51,609,612,16,702,1010,,,,,,,,,,,4531
F1601,五邑工商總會學校,Five Districts Business Welfare Association School,22,288,363,30,397,370,6,150,324,,,,,,,,,,,1950
F1602,長沙灣體育館,Cheung Sha Wan Sports Centre,45,462,1125,37,1898,1032,17,286,566,,,,,,,,,,,5468
F1701,長沙灣社區中心,Cheung Sha Wan Community Centre,30,532,965,38,464,993,12,1044,614,,,,,,,,,,,4692
F1801,白田社區會堂,Pak Tin Community Hall,43,253,975,54,628,815,18,879,497,,,,,,,,,,,4162
F1901,聖母玫瑰書院,Our Lady of The Rosary College,95,674,346,26,552,342,7,441,703,,,,,,,,,,,3186
F2001,大坑東社區中心,Tai Hang Tung Community Centre,25,268,1745,26,332,723,7,1132,342,,,,,,,,,,,4600
F2101,白田邨13座地下3 - 4號,"Units 3 - 4, G/F, Block 13, Pak Tin Estate",25,118,592,23,238,401,4,269,180,,,,,,,,,,,1850
F2102,香港城市大學澤安中心,"Chak On Centre, City University of Hong Kong",37,275,736,8,368,256,5,341,333,,,,,,,,,,,2359
,,,,,,,,,,,,,,,,,,,,,,
G,九龍城區,KOWLOON CITY DISTRICT,,,,,,,,,,,,,,,,,,,,
G0101,馬頭涌官立小學,Ma Tau Chung Government Primary School,63,533,1140,34,1153,758,13,246,620,,,,,,,,,,,4560
G0201,土瓜灣體育館,To Kwa Wan Sports Centre,73,674,635,45,1069,849,15,465,831,,,,,,,,,,,4656
G0301,保良局林文燦英文小學,PLK Lam Man Chan English Primary School,33,475,173,27,653,565,12,560,386,,,,,,,,,,,2884
G0401,中華基督教會灣仔堂基道小學(九龍城),CCC Wanchai Church Kei To Primary School (Kowloon City),33,632,214,55,446,731,13,1674,522,,,,,,,,,,,4320
G0402,新亞中學,New Asia Middle School,44,570,239,28,498,328,7,420,553,,,,,,,,,,,2687
G0501,佛光街體育館,Fat Kwong Street Sports Centre,22,343,368,21,767,522,14,163,297,,,,,,,,,,,2517
G0502,循道衛理楊震社會服務處何文田青少年綜合發展中心,YMMSS Homantin Integrated Centre for Youth Development,20,219,393,25,641,439,9,142,233,,,,,,,,,,,2121
G0601,余振強紀念中學,Yu Chun Keung Memorial College,85,731,185,36,544,416,7,537,717,,,,,,,,,,,3258
G0602,何文田官立中學,Homantin Government Secondary School,46,450,118,19,316,206,6,340,410,,,,,,,,,,,1911
G0701,明愛九龍社區中心,Caritas Community Centre - Kowloon,55,333,100,23,305,193,5,268,368,,,,,,,,,,,1650
G0702,九龍總商會,Kowloon Chamber of Commerce,30,504,307,33,326,362,4,389,546,,,,,,,,,,,2501
G0801,喇沙小學,La Salle Primary School,556,699,181,35,628,439,4,337,674,,,,,,,,,,,3553
G0901,九龍塘官立小學,Kowloon Tong Government Primary School,110,691,193,29,594,396,7,442,724,,,,,,,,,,,3186
G0902,九龍方方樂趣幼稚兒園,Kowloon Funful Kindergarten & Children's Corner,18,92,25,2,125,45,2,113,91,,,,,,,,,,,513
G1001,九龍城體育館,Kowloon City Sports Centre,59,379,188,33,869,515,12,169,438,,,,,,,,,,,2662
G1101,聖三一堂小學,Holy Trinity Primary School,49,426,690,34,693,597,13,261,499,,,,,,,,,,,3262
