,,,候選人名單編號 Candidiates List Number,,,,,,,,,,,,,,,,,,,
Counting Station 點票站,,,1 ,2 ,3 ,4 ,5 ,6 ,7 ,8 ,9 ,10 ,11 ,12 ,13 ,14 ,15 ,16 ,17 ,18 ,19 ,Total 總數
LC001,亞洲國際博覽館,AsiaWorld-Expo,0,5,3,2,4,0,2,6,3,15,0,5,1,0,,,,,,46
,,,,,,,,,,,,,,,,,,,,,,
A,中西區,CENTRAL AND WESTERN DISTRICT,,,,,,,,,,,,,,,,,,,,
A0101,專業聯合中心,Joint Professional Centre,9,350,70,94,83,3,165,169,146,415,5,285,78,16,,,,,,1888
A0102,香港公園體育館,Hong Kong Park Sports Centre,16,258,78,71,200,1,131,290,118,581,1,314,368,12,,,,,,2439
A0201,高主教書院,Raimondi College,22,905,231,216,209,0,472,657,244,1324,3,688,498,23,,,,,,5492
A0401,德瑞國際學校,German Swiss International School,2,93,31,8,42,0,41,121,21,193,2,101,109,1,,,,,,765
A0501,聖士提反女子中學附屬小學,St. Stephen's Girls'  Primary School,28,948,282,207,258,7,539,738,175,1561,6,799,466,38,,,,,,6052
A0601,香港基督教女青年會西環綜合社會服務處,HKYWCA Western District Integrated Social Service Centre,28,461,205,234,119,2,400,296,213,873,5,890,158,41,,,,,,3925
A0701,士美非路體育館,Smithfield Sports Centre,27,500,202,251,147,8,367,330,297,918,7,1243,166,56,,,,,,4519
A0801,堅尼地城社區綜合大樓 (綜合用途室),Kennedy Town Community Complex (Multi-purpose Function Room),21,636,269,254,227,8,512,469,337,1246,7,1047,203,64,,,,,,5300
A0901,聖雅各福群會寶翠園幼稚園幼兒中心,St. James' Settlement Belcher Kindergarten Child Care Centre,34,677,214,270,246,19,470,418,334,1064,6,787,262,39,,,,,,4840
A1001,石塘咀體育館,Shek Tong Tsui Sports Centre,49,675,266,359,412,42,608,380,476,961,9,1150,197,47,,,,,,5631
A1101,中西區及離島區社會保障辦事處,Central and Western/ Islands Social Security Field Unit,9,146,68,68,90,3,105,86,94,224,2,367,42,6,,,,,,1310
A1102,中山紀念公園體育館,Sun Yat Sen Memorial Park Sports Centre,3,140,43,74,71,5,112,76,105,235,1,266,48,9,,,,,,1188
A1201,上環郵政局,Sheung Wan Post Office,19,443,137,151,136,4,248,267,209,602,4,535,162,27,,,,,,2944
A1301,新會商會學校,San Wui Commercial Society School,5,222,47,58,60,0,132,90,55,306,3,252,56,18,,,,,,1304
A1302,聖公會聖馬太小學,SKH St. Matthew's Primary School,11,372,113,114,108,1,233,185,141,464,4,461,99,22,,,,,,2328
A1401,基督教香港崇真會救恩堂及救恩學校,Tsung Tsin Mission of Hong Kong Kau Yan Church and Kau Yan School,23,550,219,183,124,9,439,284,366,787,0,536,137,47,,,,,,3704
