,,,候選人名單編號 Candidiates List Number,,,,,,,,,,,,,,,,,,,
Counting Station 點票站,,,1 ,2 ,3 ,4 ,5 ,6 ,7 ,8 ,9 ,10 ,11 ,12 ,13 ,14 ,15 ,16 ,17 ,18 ,19 ,Total 總數
LC003,亞洲國際博覽館,AsiaWorld-Expo,6,5,6,1,8,8,7,5,1,,,,,,,,,,,47
,,,,,,,,,,,,,,,,,,,,,,
H,黃大仙區,WONG TAI SIN DISTRICT,,,,,,,,,,,,,,,,,,,,
H0101,黃大仙社區中心,Wong Tai Sin Community Centre,655,1301,554,74,672,616,552,629,116,,,,,,,,,,,5169
H0201,聖公會基德小學,SKH Kei Tak Primary School,816,710,537,65,980,752,480,621,100,,,,,,,,,,,5061
H0301,龍翔官立中學,Lung Cheung Government Secondary School,413,1181,301,51,480,318,260,319,60,,,,,,,,,,,3383
H0401,聖文德書院,St. Bonaventure College & High School,515,357,359,56,607,358,443,443,90,,,,,,,,,,,3228
H0501,鳳德社區中心,Fung Tak Estate Community Centre,1100,642,577,88,1006,1009,631,759,801,,,,,,,,,,,6613
H0502,蒲崗村道體育館,Po Kong Village Road Sports Centre,335,286,203,26,388,497,232,303,68,,,,,,,,,,,2338
H0601,香港小童群益會賽馬會慈雲山青少年綜合服務中心,BGCA of HKJC Tsz Wan Shan Children & Youth Integrated Services Centre,619,417,357,34,462,282,641,445,506,,,,,,,,,,,3763
H0701,保良局何壽南小學,PLK Stanley Ho Sau Nan Primary School,336,222,229,33,245,243,555,298,34,,,,,,,,,,,2195
H0702,嘉諾撒小學(新蒲崗),Canossa Primary School (San Po Kong),583,376,259,45,440,316,670,384,54,,,,,,,,,,,3127
H0801,天主教伍華中學,Ng Wah Catholic Secondary School,645,624,416,40,553,677,472,564,99,,,,,,,,,,,4090
H0901,東頭社區中心,Tung Tau Community Centre,331,350,230,20,268,538,235,343,49,,,,,,,,,,,2364
H1001,香港傷殘青年協會(賽馬會活動中心),Hong Kong Federation of Handicapped Youth (Jockey Club Activity Centre),470,311,274,25,276,563,412,354,49,,,,,,,,,,,2734
H1002,華德學校,Bishop Walsh Primary School,334,253,158,22,205,215,418,295,33,,,,,,,,,,,1933
H1101,中華基督教會扶輪中學,CCC Rotary Secondary School,307,159,164,17,152,651,136,260,20,,,,,,,,,,,1866
H1102,香港青年協會賽馬會橫頭磡青年空間,The Hong Kong Federation of Youth Groups Jockey Club Wang Tau Hom Youth S.P.O.T.,463,237,242,36,279,569,376,381,38,,,,,,,,,,,2621
H1201,天主教博智小學,Price Memorial Catholic Primary School,755,386,345,53,376,339,566,415,64,,,,,,,,,,,3299
H1202,潔心林炳炎中學,Kit Sam Lam Bing Yim Secondary School,792,354,306,41,444,642,435,446,49,,,,,,,,,,,3509
H1301,嗇色園主辦可德幼稚園,Ho Tak Kindergarten (Sponsored by Sik Sik Yuen),345,479,422,25,244,228,334,327,34,,,,,,,,,,,2438
H1302,翠竹商場5樓,"Level 5, Tsui Chuk Commercial Complex",580,396,444,41,371,362,739,505,67,,,,,,,,,,,3505
H1401,竹園社區中心,Chuk Yuen Estate Community Centre,260,651,302,33,265,234,165,275,29,,,,,,,,,,,2214
H1402,浸信會天虹小學,Baptist Rainbow Primary School,263,569,257,19,196,149,179,302,28,,,,,,,,,,,1962
H1501,竹園體育館,Chuk Yuen Sports Centre,618,892,1191,58,415,420,1039,745,69,,,,,,,,,,,5447
H1601,慈雲山(南區)社區中心,Tsz Wan Shan (South) Estate Community Centre,531,632,470,51,1163,1177,361,687,71,,,,,,,,,,,5143
H1701,肖霞幼稚園,Chiu Ha Kindergarten,811,618,444,46,849,894,422,686,95,,,,,,,,,,,4865
H1801,慈雲山聖文德天主教小學,TWS St. Bonaventure Catholic Primary School,507,1397,632,59,888,764,352,906,63,,,,,,,,,,,5568
